fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD00008	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.3609	55.6058	72.536	23435334	105350484629	7110	349643	200	4495	3605	12.7	17.7	66213	2532223883	104966	6433404	3000	38243	14432	57	137	46.34	17.717	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381618	ERX10640881	ERX10640882	ERX10640883	ERX10929519
MFD00031	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	11.4075	55.4191	59.252	28223414	94569070290	6552	516326	200	3350	1842	15.1	17.7	54096	1900637087	99282	4795655	3000	35134	12851	33	140	42.807	11.851	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381619	ERX10607238	ERX10607239	ERX10607240	ERX10967324
MFD00032	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.893109449	57.49172952	68.271	21431287	98059431109	7570	407306	200	4575	3542	12.5	17.1	77971	2380701152	67930	2890125	3000	30533	13653	44	147	34.933	11.804	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381617	ERX10607235	ERX10607236	ERX10607237	ERX10965621
MFD00072	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	11.4082	55.4185	57.4	14194245	76122725059	8753	516197	200	5362	4237	16.5	17.4	58252	1929379020	78581	2668337	3000	33121	14091	18	113	35.269	5.374	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381621	ERX10599522	ERX10599523	ERX10599524	ERX10967452
MFD00082	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	9.974	56.7952	67.136	14121156	57219073863	5331	1563592	200	4052	3088	16.4	16.8	18573	1130923430	260638	6635579	3000	60890	15487	37	94	62.788	21.882	R10.4.1	400	4	P24	22.10.7	Guppy	6.3.9	1.0.1	ERS14381616	ERX10407526	ERX10407527	ERX10407528	ERX10967794
MFD00123	9150	Soil	Natural	Forests	Temperate forests	Beech forests Limestone	10.2384	56.1008	35.258	3376452	8589403830	6260	1092045	200	2543	840	16.7	17	14078	182463076	16732	488619	3000	12960	8741	0	5	20.612	0	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381620	ERX10599519	ERX10599520	ERX10599521	ERX10995503
MFD00125	9110	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum	9.3585	56.3674	67.31	17956176	62830783859	5977	943769	200	3499	2485	15.7	19.6	37687	1236634121	76456	2875956	3000	32813	13756	16	67	39.691	14.346	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928270	ERX11271169	ERX11271170	ERX11271171	ERX11420354
MFD00392	6612	Soil	Agriculture	Fields	Fabids	Fabales, Faba bean	11.6269	55.4231	64.266	27562765	177535242276	9619	844664	200	6441	6523	18.7	19.2	73795	3772507743	115172	4635829	3001	51121	22943	36	256	32.778	5.383	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252354	ERX11405813	ERX11405814	ERX11405815	ERX11423448
MFD00709	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.854411784	55.9091489	51.484	36396169	95250481784	5949	650397	200	2617	1147	14.8	18.4	74729	1677312514	43583	3237606	3000	22445	10767	10	123	26.726	2.09	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252355	ERX11398551	ERX11398552	ERX11398553	ERX11423440
MFD00731	2320	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum	10.2307	56.2289	75.536	23827255	157798915815	8407	878234	200	6622	5380	12.1	17.5	70131	3256364073	132933	7736568	3000	46432	17021	76	172	43.554	19.56	R10.4.1	400	4	P24	22.10.7	Guppy	6.3.9	1.0.1	ERS14381615	ERX10465200	ERX10465201	ERX10465202	ERX10970173
MFD00822	1300	Soil	Natural	Coastal	Salt marshes and salt meadows		9.612	56.9676	71.13	35828984	124178906303	6969	331254	200	3465	1874	15	17.3	76098	2557615464	90333	4833070	3000	33609	12726	62	133	40.371	14.134	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381647	ERX10675176	ERX10675177	ERX10675178	ERX10929525
MFD00905	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.831926013	55.91690451	60.752	46056053	137404198242	5675	631775	200	2983	1846	11.7	18.7	57591	2101331674	97537	7515525	3000	36487	13725	37	153	34.364	8.345	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928271	ERX11218571	ERX11218572	ERX11218573	ERX11419403
MFD00962	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	11.7698	55.5165	62.721	25908276	145032245117	8087	359252	200	5597	4727	11.4	17.2	136887	3902188818	63085	3597790	3000	28506	12869	38	198	31.144	6.058	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381627	ERX10639873	ERX10639874	ERX10639875	ERX10975310
