deep_seq	shallow_seq
MFD00008	MFD00008
MFD00008	MFD00041
MFD00008	MFD00080
MFD00008	MFD00253
MFD00008	MFD00256
MFD00008	MFD00265
MFD00008	MFD00278
MFD00008	MFD00279
MFD00008	MFD00290
MFD00008	MFD00411
MFD00008	MFD00432
MFD00008	MFD00438
MFD00008	MFD00713
MFD00008	MFD00887
MFD00008	MFD00969
MFD00008	MFD01024
MFD00008	MFD01317
MFD00008	MFD01320
MFD00008	MFD01557
MFD00008	MFD01756
MFD00008	MFD03341
MFD00008	MFD04445
MFD00008	MFD04564
MFD00008	MFD04799
MFD00008	MFD04825
MFD00008	MFD04829
MFD00008	MFD04842
MFD00008	MFD04941
MFD00008	MFD04943
MFD00008	MFD05542
MFD00008	MFD05615
MFD00008	MFD05709
MFD00008	MFD05712
MFD00008	MFD06069
MFD00008	MFD06453
MFD00008	MFD06456
MFD00008	MFD06481
MFD00008	MFD06484
MFD00008	MFD06561
MFD00008	MFD06590
MFD00008	MFD06632
MFD00008	MFD09237
MFD00008	MFD09247
MFD00008	MFD09254
MFD00008	MFD09255
MFD00008	MFD09274
MFD00008	MFD09286
MFD00008	MFD09629
MFD00008	MFD09665
MFD00008	MFD09724
MFD00031	MFD00013
MFD00031	MFD00019
MFD00031	MFD00031
MFD00031	MFD00232
MFD00031	MFD00352
MFD00031	MFD00505
MFD00031	MFD00532
MFD00031	MFD00563
MFD00031	MFD00743
MFD00031	MFD00880
MFD00031	MFD00893
MFD00031	MFD01249
MFD00031	MFD01259
MFD00031	MFD01282
MFD00031	MFD01414
MFD00031	MFD01746
MFD00031	MFD01939
MFD00031	MFD02130
MFD00031	MFD02147
MFD00031	MFD02294
MFD00031	MFD02427
MFD00031	MFD02495
MFD00031	MFD02686
MFD00031	MFD02716
MFD00031	MFD02797
MFD00031	MFD03040
MFD00031	MFD03354
MFD00031	MFD03598
MFD00031	MFD03795
MFD00031	MFD03876
MFD00031	MFD03940
MFD00031	MFD04364
MFD00031	MFD04401
MFD00031	MFD04472
MFD00031	MFD04793
MFD00031	MFD04965
MFD00031	MFD04976
MFD00031	MFD04977
MFD00031	MFD05753
MFD00031	MFD06618
MFD00031	MFD06750
MFD00031	MFD07104
MFD00031	MFD09236
MFD00031	MFD09317
MFD00031	MFD09477
MFD00031	MFD09573
MFD00031	MFD09584
MFD00031	MFD10612
MFD00031	MFD10621
MFD00031	MFD10642
MFD00032	MFD00032
MFD00032	MFD00108
MFD00032	MFD01441
MFD00032	MFD01488
MFD00032	MFD02225
MFD00032	MFD02257
MFD00032	MFD02313
MFD00032	MFD02337
MFD00032	MFD02583
MFD00032	MFD02692
MFD00032	MFD02703
MFD00032	MFD02763
MFD00032	MFD02794
MFD00032	MFD02808
MFD00032	MFD02829
MFD00032	MFD02975
MFD00032	MFD02976
MFD00032	MFD02981
MFD00032	MFD02998
MFD00032	MFD03070
MFD00032	MFD03096
MFD00032	MFD03615
MFD00032	MFD03629
MFD00032	MFD03632
MFD00032	MFD03715
MFD00032	MFD03719
MFD00032	MFD03750
MFD00032	MFD03771
MFD00032	MFD03783
MFD00032	MFD03799
MFD00032	MFD03802
MFD00032	MFD03842
MFD00032	MFD03923
MFD00032	MFD03961
MFD00032	MFD03979
MFD00032	MFD04228
MFD00032	MFD04243
MFD00032	MFD04321
MFD00032	MFD04362
MFD00032	MFD04569
MFD00032	MFD04641
MFD00032	MFD05626
MFD00032	MFD06816
MFD00032	MFD06847
MFD00032	MFD06970
MFD00032	MFD06971
MFD00032	MFD09323
MFD00032	MFD10014
MFD00032	MFD10032
MFD00032	MFD10052
MFD00072	MFD00025
MFD00072	MFD00072
MFD00072	MFD00380
MFD00072	MFD00385
MFD00072	MFD00465
MFD00072	MFD00552
MFD00072	MFD00665
MFD00072	MFD00759
MFD00072	MFD00851
MFD00072	MFD00897
MFD00072	MFD01214
MFD00072	MFD01354
MFD00072	MFD01405
MFD00072	MFD01412
MFD00072	MFD01708
MFD00072	MFD02360
MFD00072	MFD03903
MFD00072	MFD04042
MFD00072	MFD04139
MFD00072	MFD04153
MFD00072	MFD04169
MFD00072	MFD04211
MFD00072	MFD04257
MFD00072	MFD04267
MFD00072	MFD04296
MFD00072	MFD04315
MFD00072	MFD04392
MFD00072	MFD04582
MFD00072	MFD04740
MFD00072	MFD04766
MFD00072	MFD05208
MFD00072	MFD05567
MFD00072	MFD06695
MFD00072	MFD06802
MFD00072	MFD06824
MFD00072	MFD06846
MFD00072	MFD06899
MFD00072	MFD06980
MFD00072	MFD08284
MFD00072	MFD08444
MFD00072	MFD08502
MFD00072	MFD08736
MFD00072	MFD09102
MFD00072	MFD09244
MFD00072	MFD09532
MFD00072	MFD09767
MFD00072	MFD10009
MFD00072	MFD10013
MFD00072	MFD10034
MFD00072	MFD10147
MFD00082	MFD00007
MFD00082	MFD00015
MFD00082	MFD00078
MFD00082	MFD00080
MFD00082	MFD00082
MFD00082	MFD00086
MFD00082	MFD00128
MFD00082	MFD00256
MFD00082	MFD00308
MFD00082	MFD00328
MFD00082	MFD00432
MFD00082	MFD00501
MFD00082	MFD00594
MFD00082	MFD00673
MFD00082	MFD00863
MFD00082	MFD00971
MFD00082	MFD01155
MFD00082	MFD01159
MFD00082	MFD01192
MFD00082	MFD01317
MFD00082	MFD01633
MFD00082	MFD01703
MFD00082	MFD01805
MFD00082	MFD01828
MFD00082	MFD01836
MFD00082	MFD01921
MFD00082	MFD03649
MFD00082	MFD03800
MFD00082	MFD04432
MFD00082	MFD04478
MFD00082	MFD04516
MFD00082	MFD04521
MFD00082	MFD04737
MFD00082	MFD04799
MFD00082	MFD04813
MFD00082	MFD04835
MFD00082	MFD04936
MFD00082	MFD05512
MFD00082	MFD05517
MFD00082	MFD05565
MFD00082	MFD05605
MFD00082	MFD05623
MFD00082	MFD06236
MFD00082	MFD06414
MFD00082	MFD06481
MFD00082	MFD06591
MFD00082	MFD06593
MFD00082	MFD09530
MFD00082	MFD09551
MFD00082	MFD09665
MFD00123	MFD00300
MFD00123	MFD00465
MFD00123	MFD00665
MFD00123	MFD00772
MFD00123	MFD00897
MFD00123	MFD01524
MFD00123	MFD01663
MFD00123	MFD02277
MFD00123	MFD02283
MFD00123	MFD02985
MFD00123	MFD03583
MFD00123	MFD03617
MFD00123	MFD03789
MFD00123	MFD03903
MFD00123	MFD04211
MFD00123	MFD04260
MFD00123	MFD04297
MFD00123	MFD04351
MFD00123	MFD04358
MFD00123	MFD04766
MFD00123	MFD04881
MFD00123	MFD05461
MFD00123	MFD05554
MFD00123	MFD05567
MFD00123	MFD06159
MFD00123	MFD06242
MFD00123	MFD06730
MFD00123	MFD06781
MFD00123	MFD06818
MFD00123	MFD06846
MFD00123	MFD06899
MFD00123	MFD06976
MFD00123	MFD06980
MFD00123	MFD09410
MFD00123	MFD09764
MFD00123	MFD09767
MFD00123	MFD09772
MFD00123	MFD09789
MFD00123	MFD09798
MFD00123	MFD09816
MFD00123	MFD09846
MFD00123	MFD09854
MFD00123	MFD10002
MFD00123	MFD10009
MFD00123	MFD10013
MFD00123	MFD10034
MFD00123	MFD10046
MFD00123	MFD10147
MFD00123	MFD10182
MFD00123	MFD10681
MFD00125	MFD00022
MFD00125	MFD00125
MFD00125	MFD00271
MFD00125	MFD00321
MFD00125	MFD00600
MFD00125	MFD00698
MFD00125	MFD00953
MFD00125	MFD00961
MFD00125	MFD00994
MFD00125	MFD01088
MFD00125	MFD01294
MFD00125	MFD01344
MFD00125	MFD01700
MFD00125	MFD01755
MFD00125	MFD02386
MFD00125	MFD02453
MFD00125	MFD02492
MFD00125	MFD03309
MFD00125	MFD03357
MFD00125	MFD03612
MFD00125	MFD03955
MFD00125	MFD04427
MFD00125	MFD04516
MFD00125	MFD04526
MFD00125	MFD04738
MFD00125	MFD05034
MFD00125	MFD05432
MFD00125	MFD05449
MFD00125	MFD05452
MFD00125	MFD05453
MFD00125	MFD05504
MFD00125	MFD05650
MFD00125	MFD05699
MFD00125	MFD05712
MFD00125	MFD06094
MFD00125	MFD06142
MFD00125	MFD06173
MFD00125	MFD06210
MFD00125	MFD06651
MFD00125	MFD06671
MFD00125	MFD09192
MFD00125	MFD09232
MFD00125	MFD09274
MFD00125	MFD09356
MFD00125	MFD09471
MFD00125	MFD09493
MFD00125	MFD09542
MFD00125	MFD09598
MFD00125	MFD09724
MFD00125	MFD09753
MFD00392	MFD00388
MFD00392	MFD00396
MFD00392	MFD00403
MFD00392	MFD00478
MFD00392	MFD00538
MFD00392	MFD01160
MFD00392	MFD02471
MFD00392	MFD02768
MFD00392	MFD02864
MFD00392	MFD03010
MFD00392	MFD03041
MFD00392	MFD03073
MFD00392	MFD04014
MFD00392	MFD04065
MFD00392	MFD04128
MFD00392	MFD04715
MFD00392	MFD04781
MFD00392	MFD04961
MFD00392	MFD05035
MFD00392	MFD05096
MFD00392	MFD05112
MFD00392	MFD05146
MFD00392	MFD05158
MFD00392	MFD05197
MFD00392	MFD05306
MFD00392	MFD06107
MFD00392	MFD06253
MFD00392	MFD06262
MFD00392	MFD06264
MFD00392	MFD07042
MFD00392	MFD07091
MFD00392	MFD07128
MFD00392	MFD07140
MFD00392	MFD07334
MFD00392	MFD07396
MFD00392	MFD07451
MFD00392	MFD07464
MFD00392	MFD07475
MFD00392	MFD07536
MFD00392	MFD07778
MFD00392	MFD08108
MFD00392	MFD08376
MFD00392	MFD08703
MFD00392	MFD08713
MFD00392	MFD08767
MFD00392	MFD09024
MFD00392	MFD09454
