fieldsample_barcode	longitude	latitude	mfd_hab1_
MFD04780	9.7671	57.1929	Bogs, mires and fens
MFD09567	10.2565	55.2555	Bogs, mires and fens
MFD05379	8.8258	56.506	Bogs, mires and fens
MFD01223	9.4106	54.9741	Bogs, mires and fens
MFD02138	10.5085	56.4556	Bogs, mires and fens
MFD01872	8.4984	55.6264	Bogs, mires and fens
MFD06229	10.10668968	56.20455878	Bogs, mires and fens
MFD01188	10.271228	55.123677	Bogs, mires and fens
MFD01689	8.4696	55.595	Bogs, mires and fens
MFD02134	9.5887	56.0562	Bogs, mires and fens
MFD00082	9.974	56.7952	Bogs, mires and fens
MFD04752	9.427	55.4324	Bogs, mires and fens
MFD01828	9.912	56.8261	Bogs, mires and fens
MFD02579	10.9905	57.2803	Bogs, mires and fens
MFD04926	11.803	55.2941	Bogs, mires and fens
MFD05580	9.5148	56.3838	Bogs, mires and fens
MFD01112	8.5933	56.9351	Bogs, mires and fens
MFD02840	14.7807	55.0595	Coastal
MFD00822	9.612	56.9676	Coastal
MFD01721	10.5019	55.4485	Coastal
MFD05684	8.2638	55.5312	Coastal
MFD02416	9.5553	56.8577	Coastal
MFD05442	8.822	56.7368	Coastal
MFD02923	8.8343	56.765	Coastal
MFD02581	8.5876	56.7958	Coastal
MFD01633	10.4749	57.6666	Dunes
MFD09400	15.0763	54.9911	Dunes
MFD01213	10.4374	56.5224	Dunes
MFD09495	15.0805	54.9907	Dunes
MFD04212	12.2823	55.0396	Dunes
MFD05521	9.6658	57.3069	Dunes
MFD04580	9.0414	55.72	Dunes
MFD04463	8.2405	55.7443	Dunes
MFD04935	8.4297	55.3523	Dunes
MFD01275	10.8089	56.5332	Dunes
MFD00731	10.2307	56.2289	Dunes
MFD02671	8.4288	56.9818	Dunes
MFD01916	10.4385	57.5446	Dunes
MFD04434	8.2445	55.7463	Dunes
MFD00964	9.1593	56.0298	Dunes
MFD06714	9.988333	55.207112	Dunes
MFD10064	8.42712	56.91759	Dunes
MFD05705	8.2063	55.7153	Dunes
MFD09286	8.26815	56.81197	Dunes
MFD09671	15.0788	54.9903	Dunes
MFD09018	10.21337016	56.34373946	Fields
MFD00392	11.6269	55.4231	Fields
MFD09055	10.51551929	55.80125128	Fields
MFD08691	10.21337016	56.34373946	Fields
MFD05942	9.6177	56.7771	Fields
MFD08767	9.237157824	55.45094022	Fields
MFD07639	9.563648381	56.16870271	Fields
MFD08988	10.23671779	57.0622884	Fields
MFD05088	11.09569745	54.7141524	Fields
MFD07751	9.408349892	56.70837654	Fields
MFD08700	8.763379686	55.36108282	Fields
MFD07830	10.07445384	57.15362473	Fields
MFD07737	9.081092275	56.43949598	Fields
MFD07987	9.399815281	55.89979192	Fields
MFD08353	9.238241941	55.63065102	Fields
MFD08203	9.397977559	55.72009186	Fields
MFD08821	9.394363859	55.36067573	Fields
MFD08447	9.742093554	57.06619413	Fields
MFD07386	10.40836975	57.24016406	Fields
MFD05176	12.03933871	54.8739716	Fields
MFD08497	9.742093554	57.06619413	Fields
MFD08669	8.920947061	55.45114444	Fields
MFD08416	9.235554331	55.18136402	Fields
MFD08079	9.547155753	55.00063561	Fields
MFD07841	10.41180434	57.32996759	Fields
MFD07691	9.563648381	56.16870271	Fields
MFD08462	10.21910616	56.52338511	Fields
MFD09126	11.61913871	55.60291274	Fields
MFD08486	9.915848567	57.42438895	Fields
MFD00008	9.3609	55.6058	Forests
MFD00031	11.4075	55.4191	Forests
MFD00125	9.3585	56.3674	Forests
MFD01138	10.269441	55.134551	Forests
MFD05512	12.3921	55.7882	Forests
MFD00123	10.2384	56.1008	Forests
MFD06742	12.534405	54.992122	Forests
MFD05537	9.7462	55.2524	Forests
MFD04540	9.344	54.8082	Forests
MFD05513	10.1282	55.9873	Forests
MFD05841	9.9156	56.891	Forests
MFD04967	10.5207	54.8533	Forests
MFD09206	10.25672	56.90236	Grassland formations
MFD04570	9.821	56.8309	Grassland formations
MFD02199	9.655	55.5948	Grassland formations
MFD05747	12.4445	55.3414	Grassland formations
MFD05454	12.5121	54.9631	Grassland formations
MFD02360	8.7192	57.0795	Grassland formations
MFD02159	9.9165	56.3377	Grassland formations
MFD10113	10.53657601	56.22162665	Grassland formations
MFD02242	10.105	56.2065	Grassland formations
MFD00072	11.4082	55.4185	Grassland formations
MFD05567	9.8535	55.2293	Grassland formations
MFD09368	9.3861	54.8519	Grassland formations
MFD03399	9.77493	57.18586	Grassland formations
MFD09212	10.25675	56.90241	Grassland formations
MFD09267	9.28746	56.98291	Grassland formations
MFD04428	8.3158	55.7148	Grassland formations
MFD04944	10.5752	54.9596	Grassland formations
MFD06298	10.10253411	56.20216654	Grassland formations
MFD00962	11.7698	55.5165	Grassland formations
MFD06526	8.46523762	56.28098028	Grassland formations
MFD04850	8.6134	56.8489	Grassland formations
MFD03975	9.28	56.1497	Greenspaces
MFD02809	10.0546	56.815	Greenspaces
MFD10043	12.5417	56.075	Greenspaces
MFD03602	9.9789	57.5907	Greenspaces
MFD03066	10.5828	56.3609	Greenspaces
MFD01561	10.085	57.4821	Natural freshwater
MFD00905	9.831926013	55.91690451	Natural freshwater
MFD00032	9.893109449	57.49172952	Natural freshwater
MFD01231	9.410917085	54.97351103	Natural freshwater
MFD01476	8.826613964	56.50596583	Natural freshwater
MFD05377	8.85114178	56.93737774	Natural freshwater
MFD01299	8.627054339	55.80287147	Natural freshwater
MFD04492	9.699910829	56.05543277	Natural freshwater
MFD05674	9.842462439	54.90177423	Natural freshwater
MFD00709	9.854411784	55.9091489	Natural freshwater
MFD04651	9.996	56.1124	Natural freshwater
MFD00991	10.41869213	56.52110487	Natural freshwater
MFD06435	8.46320698	57.0278885	Natural freshwater
MFD03250	11.0731	55.677	Other
MFD09603	14.9796	55.2067	Other
MFD10097	10.146	56.121	Other
MFD06085	8.16335014	56.31252593	Other
MFD02832	14.7874	55.0538	Saltwater
MFD09779	8.1689	56.3361	Saltwater
MFD03551	10.4258	57.579	Saltwater
MFD09964	9.0763	56.5565	Saltwater
MFD06092	8.49378111	56.2604146	Temperate heath and scrub
MFD01248	9.6813	56.1067	Temperate heath and scrub
MFD02472	10.2692	56.8232	Temperate heath and scrub
MFD02248	10.9751	57.2786	Temperate heath and scrub
MFD01716	8.9253	56.4939	Temperate heath and scrub
MFD10071	9.26934	56.24389	Temperate heath and scrub
MFD03346	9.2692	56.2436	Temperate heath and scrub
MFD05502	10.3164	55.77	Temperate heath and scrub
MFD03323	9.6333	56.459	Temperate heath and scrub
MFD09222	9.2476	56.2643	Temperate heath and scrub
MFD03804	8.2025	56.6925	Urban freshwater
MFD04716	10.6081	57.7283	Urban freshwater
MFD02979	10.0517	56.323	Urban freshwater
MFD04408	9.5294	55.2455	Urban freshwater
MFD03726	9.3209	55.2451	Urban freshwater
MFD09730	12.0297	55.5412	Urban freshwater
MFD03899	10.1547	56.0667	Urban freshwater
MFD09848	12.025	55.4573	Urban freshwater
MFD03044	10.3691	56.425	Urban freshwater
MFD10007	12.4931	55.8579	Urban freshwater
MFD03638	9.0616	55.1881	Urban freshwater
