fieldsample_barcode	reads_size_bp	mfd_hab1_
MFD04780	38591829994	Bogs, mires and fens
MFD09567	85584626059	Bogs, mires and fens
MFD05379	10518282287	Bogs, mires and fens
MFD01223	25168453725	Bogs, mires and fens
MFD02138	38072146789	Bogs, mires and fens
MFD01872	159709926572	Bogs, mires and fens
MFD06229	156509733248	Bogs, mires and fens
MFD01188	39870086536	Bogs, mires and fens
MFD01689	63167746858	Bogs, mires and fens
MFD02134	138083956026	Bogs, mires and fens
MFD00082	57219073863	Bogs, mires and fens
MFD04752	47263887629	Bogs, mires and fens
MFD01828	50055493621	Bogs, mires and fens
MFD02579	63664690632	Bogs, mires and fens
MFD04926	8321580788	Bogs, mires and fens
MFD05580	81487662336	Bogs, mires and fens
MFD01112	32557534078	Bogs, mires and fens
MFD02840	149980411371	Coastal
MFD00822	124178906303	Coastal
MFD01721	135402933653	Coastal
MFD05684	143537147265	Coastal
MFD02416	148472945224	Coastal
MFD05442	156672348617	Coastal
MFD02923	62042620612	Coastal
MFD02581	103196214550	Coastal
MFD01633	46983408505	Dunes
MFD09400	6300419124	Dunes
MFD01213	112551473773	Dunes
MFD09495	59357829902	Dunes
MFD04212	118653086575	Dunes
MFD05521	152158795258	Dunes
MFD04580	76636069328	Dunes
MFD04463	139555105743	Dunes
MFD04935	111415338763	Dunes
MFD01275	112756902955	Dunes
MFD00731	157798915815	Dunes
MFD02671	73308698304	Dunes
MFD01916	92836955290	Dunes
MFD04434	103793170291	Dunes
MFD00964	143187387966	Dunes
MFD06714	119886166166	Dunes
MFD10064	32999006272	Dunes
MFD05705	143655535090	Dunes
MFD09286	120514646724	Dunes
MFD09671	96354697853	Dunes
MFD09018	76688722087	Fields
MFD00392	177535242276	Fields
MFD09055	61815835891	Fields
MFD08691	43745933741	Fields
MFD05942	146013592463	Fields
MFD08767	33575715986	Fields
MFD07639	66111352429	Fields
MFD08988	58461661461	Fields
MFD05088	94090872277	Fields
MFD07751	41926514245	Fields
MFD08700	40924306884	Fields
MFD07830	19712492774	Fields
MFD07737	33813341123	Fields
MFD07987	35219476291	Fields
MFD08353	33370201647	Fields
MFD08203	5718005615	Fields
MFD08821	42877897960	Fields
MFD08447	24820225827	Fields
MFD07386	51547813791	Fields
MFD05176	138568777359	Fields
MFD08497	109690379088	Fields
MFD08669	35311472982	Fields
MFD08416	41308194782	Fields
MFD08079	50785493945	Fields
MFD07841	40434121504	Fields
MFD07691	50345691875	Fields
MFD08462	43742086790	Fields
MFD09126	70815884568	Fields
MFD08486	25332766034	Fields
MFD00008	105350484629	Forests
MFD00031	94569070290	Forests
MFD00125	62830783859	Forests
MFD01138	80344142309	Forests
MFD05512	115385989045	Forests
MFD00123	8589403830	Forests
MFD06742	172373468121	Forests
MFD05537	70256492628	Forests
MFD04540	79565695205	Forests
MFD05513	145872912763	Forests
MFD05841	139715572018	Forests
MFD04967	91547245390	Forests
MFD09206	117247692474	Grassland formations
MFD04570	95638078196	Grassland formations
MFD02199	92531655410	Grassland formations
MFD05747	132514895863	Grassland formations
MFD05454	138391157077	Grassland formations
MFD02360	152851832053	Grassland formations
MFD02159	84328161597	Grassland formations
MFD10113	138438507760	Grassland formations
MFD02242	156412722843	Grassland formations
MFD00072	76122725059	Grassland formations
MFD05567	130946867929	Grassland formations
MFD09368	138643912556	Grassland formations
MFD03399	76232696160	Grassland formations
MFD09212	141278129301	Grassland formations
MFD09267	171377250327	Grassland formations
MFD04428	98147531072	Grassland formations
MFD04944	190465616801	Grassland formations
MFD06298	148693637902	Grassland formations
MFD00962	145032245117	Grassland formations
MFD06526	102009759034	Grassland formations
MFD04850	154574355958	Grassland formations
MFD03975	153648668498	Greenspaces
MFD02809	141479469560	Greenspaces
MFD10043	55947840133	Greenspaces
MFD03602	54615774482	Greenspaces
MFD03066	166199505837	Greenspaces
MFD01561	91870963397	Natural freshwater
MFD00905	137404198242	Natural freshwater
MFD00032	98059431109	Natural freshwater
MFD01231	63850420673	Natural freshwater
MFD01476	70453509186	Natural freshwater
MFD05377	134185781717	Natural freshwater
MFD01299	119201802621	Natural freshwater
MFD04492	88832403327	Natural freshwater
MFD05674	133498908841	Natural freshwater
MFD00709	95250481784	Natural freshwater
MFD04651	99804851777	Natural freshwater
MFD00991	91504173228	Natural freshwater
MFD06435	128556822167	Natural freshwater
MFD03250	102321211010	Other
MFD09603	166697730801	Other
MFD10097	51388468884	Other
MFD06085	116439198351	Other
MFD02832	98125466215	Saltwater
MFD09779	131989045709	Saltwater
MFD03551	85719556596	Saltwater
MFD09964	128248984035	Saltwater
MFD06092	117742179767	Temperate heath and scrub
MFD01248	55560145192	Temperate heath and scrub
MFD02472	37288737083	Temperate heath and scrub
MFD02248	116784577760	Temperate heath and scrub
MFD01716	112210146393	Temperate heath and scrub
MFD10071	73722522458	Temperate heath and scrub
MFD03346	73748563019	Temperate heath and scrub
MFD05502	131721789267	Temperate heath and scrub
MFD03323	49857460100	Temperate heath and scrub
MFD09222	96769495827	Temperate heath and scrub
MFD03804	105500864744	Urban freshwater
MFD04716	144052477240	Urban freshwater
MFD02979	111193943967	Urban freshwater
MFD04408	83557894425	Urban freshwater
MFD03726	82708823561	Urban freshwater
MFD09730	106872937197	Urban freshwater
MFD03899	109992793765	Urban freshwater
MFD09848	93661502148	Urban freshwater
MFD03044	90483535436	Urban freshwater
MFD10007	133231594655	Urban freshwater
MFD03638	6770812501	Urban freshwater
