fieldsample_barcode	reads_N50_bp	mfd_hab1_
MFD04780	5900	Bogs, mires and fens
MFD09567	4264	Bogs, mires and fens
MFD05379	1614	Bogs, mires and fens
MFD01223	4014	Bogs, mires and fens
MFD02138	1258	Bogs, mires and fens
MFD01872	7368	Bogs, mires and fens
MFD06229	8682	Bogs, mires and fens
MFD01188	4906	Bogs, mires and fens
MFD01689	3319	Bogs, mires and fens
MFD02134	6064	Bogs, mires and fens
MFD00082	5331	Bogs, mires and fens
MFD04752	2249	Bogs, mires and fens
MFD01828	5345	Bogs, mires and fens
MFD02579	9168	Bogs, mires and fens
MFD04926	722	Bogs, mires and fens
MFD05580	5174	Bogs, mires and fens
MFD01112	1269	Bogs, mires and fens
MFD02840	7452	Coastal
MFD00822	6969	Coastal
MFD01721	6419	Coastal
MFD05684	5523	Coastal
MFD02416	6227	Coastal
MFD05442	7194	Coastal
MFD02923	3166	Coastal
MFD02581	5426	Coastal
MFD01633	7485	Dunes
MFD09400	2315	Dunes
MFD01213	8513	Dunes
MFD09495	6599	Dunes
MFD04212	8492	Dunes
MFD05521	7916	Dunes
MFD04580	6146	Dunes
MFD04463	7448	Dunes
MFD04935	6032	Dunes
MFD01275	7335	Dunes
MFD00731	8407	Dunes
MFD02671	5825	Dunes
MFD01916	7939	Dunes
MFD04434	6020	Dunes
MFD00964	8254	Dunes
MFD06714	6187	Dunes
MFD10064	4957	Dunes
MFD05705	6615	Dunes
MFD09286	5166	Dunes
MFD09671	4248	Dunes
MFD09018	5358	Fields
MFD00392	9619	Fields
MFD09055	5670	Fields
MFD08691	3874	Fields
MFD05942	5698	Fields
MFD08767	5792	Fields
MFD07639	4675	Fields
MFD08988	4122	Fields
MFD05088	5332	Fields
MFD07751	4387	Fields
MFD08700	4848	Fields
MFD07830	2437	Fields
MFD07737	5342	Fields
MFD07987	3890	Fields
MFD08353	4114	Fields
MFD08203	2863	Fields
MFD08821	4554	Fields
MFD08447	4611	Fields
MFD07386	4207	Fields
MFD05176	5811	Fields
MFD08497	3883	Fields
MFD08669	4640	Fields
MFD08416	4724	Fields
MFD08079	4305	Fields
MFD07841	3962	Fields
MFD07691	5326	Fields
MFD08462	4105	Fields
MFD09126	5189	Fields
MFD08486	3756	Fields
MFD00008	7110	Forests
MFD00031	6552	Forests
MFD00125	5977	Forests
MFD01138	6616	Forests
MFD05512	5673	Forests
MFD00123	6260	Forests
MFD06742	7977	Forests
MFD05537	9945	Forests
MFD04540	3300	Forests
MFD05513	6944	Forests
MFD05841	6446	Forests
MFD04967	7355	Forests
MFD09206	7192	Grassland formations
MFD04570	6957	Grassland formations
MFD02199	10379	Grassland formations
MFD05747	6431	Grassland formations
MFD05454	8689	Grassland formations
MFD02360	7294	Grassland formations
MFD02159	6052	Grassland formations
MFD10113	6988	Grassland formations
MFD02242	7307	Grassland formations
MFD00072	8753	Grassland formations
MFD05567	6025	Grassland formations
MFD09368	6796	Grassland formations
MFD03399	6616	Grassland formations
MFD09212	7160	Grassland formations
MFD09267	7842	Grassland formations
MFD04428	7442	Grassland formations
MFD04944	6748	Grassland formations
MFD06298	8603	Grassland formations
MFD00962	8087	Grassland formations
MFD06526	7724	Grassland formations
MFD04850	9793	Grassland formations
MFD03975	7452	Greenspaces
MFD02809	6008	Greenspaces
MFD10043	7907	Greenspaces
MFD03602	7262	Greenspaces
MFD03066	6107	Greenspaces
MFD01561	7738	Natural freshwater
MFD00905	5675	Natural freshwater
MFD00032	7570	Natural freshwater
MFD01231	3084	Natural freshwater
MFD01476	7253	Natural freshwater
MFD05377	7819	Natural freshwater
MFD01299	4711	Natural freshwater
MFD04492	3935	Natural freshwater
MFD05674	5301	Natural freshwater
MFD00709	5949	Natural freshwater
MFD04651	7212	Natural freshwater
MFD00991	6908	Natural freshwater
MFD06435	8088	Natural freshwater
MFD03250	10521	Other
MFD09603	8671	Other
MFD10097	877	Other
MFD06085	6836	Other
MFD02832	3083	Saltwater
MFD09779	6121	Saltwater
MFD03551	2750	Saltwater
MFD09964	6343	Saltwater
MFD06092	5996	Temperate heath and scrub
MFD01248	6327	Temperate heath and scrub
MFD02472	3220	Temperate heath and scrub
MFD02248	6170	Temperate heath and scrub
MFD01716	6728	Temperate heath and scrub
MFD10071	5873	Temperate heath and scrub
MFD03346	6340	Temperate heath and scrub
MFD05502	7283	Temperate heath and scrub
MFD03323	3891	Temperate heath and scrub
MFD09222	4947	Temperate heath and scrub
MFD03804	6351	Urban freshwater
MFD04716	7475	Urban freshwater
MFD02979	6694	Urban freshwater
MFD04408	3893	Urban freshwater
MFD03726	4566	Urban freshwater
MFD09730	6830	Urban freshwater
MFD03899	6645	Urban freshwater
MFD09848	5527	Urban freshwater
MFD03044	3688	Urban freshwater
MFD10007	6251	Urban freshwater
MFD03638	717	Urban freshwater
