fieldsample_barcode	assembled	mfd_hab1_
MFD04780	62.187	Bogs, mires and fens
MFD09567	73.233	Bogs, mires and fens
MFD05379	47.173	Bogs, mires and fens
MFD01223	67.411	Bogs, mires and fens
MFD02138	50.774	Bogs, mires and fens
MFD01872	70.201	Bogs, mires and fens
MFD06229	59.864	Bogs, mires and fens
MFD01188	54.808	Bogs, mires and fens
MFD01689	61.683	Bogs, mires and fens
MFD02134	63.2	Bogs, mires and fens
MFD00082	67.136	Bogs, mires and fens
MFD04752	59.212	Bogs, mires and fens
MFD01828	68.622	Bogs, mires and fens
MFD02579	70.499	Bogs, mires and fens
MFD04926	43.811	Bogs, mires and fens
MFD05580	83.29	Bogs, mires and fens
MFD01112	52.619	Bogs, mires and fens
MFD02840	70.507	Coastal
MFD00822	71.13	Coastal
MFD01721	78.75	Coastal
MFD05684	77.065	Coastal
MFD02416	80.077	Coastal
MFD05442	70.593	Coastal
MFD02923	71.458	Coastal
MFD02581	66.887	Coastal
MFD01633	67.112	Dunes
MFD09400	25.969	Dunes
MFD01213	61.412	Dunes
MFD09495	67.603	Dunes
MFD04212	65.068	Dunes
MFD05521	68.277	Dunes
MFD04580	68.646	Dunes
MFD04463	77.239	Dunes
MFD04935	59.834	Dunes
MFD01275	68.9	Dunes
MFD00731	75.536	Dunes
MFD02671	69.874	Dunes
MFD01916	62.48	Dunes
MFD04434	72.865	Dunes
MFD00964	72.845	Dunes
MFD06714	70.827	Dunes
MFD10064	65.757	Dunes
MFD05705	76.515	Dunes
MFD09286	70.557	Dunes
MFD09671	66.556	Dunes
MFD09018	51.189	Fields
MFD00392	64.266	Fields
MFD09055	50.175	Fields
MFD08691	43.578	Fields
MFD05942	70.992	Fields
MFD08767	43.708	Fields
MFD07639	46.453	Fields
MFD08988	41.152	Fields
MFD05088	50.856	Fields
MFD07751	39.255	Fields
MFD08700	49.889	Fields
MFD07830	22.674	Fields
MFD07737	33.872	Fields
MFD07987	32.76	Fields
MFD08353	32.931	Fields
MFD08203	43.033	Fields
MFD08821	50.283	Fields
MFD08447	35.933	Fields
MFD07386	45.835	Fields
MFD05176	56.499	Fields
MFD08497	50.078	Fields
MFD08669	46.167	Fields
MFD08416	40.432	Fields
MFD08079	46.968	Fields
MFD07841	38.15	Fields
MFD07691	45.031	Fields
MFD08462	43.391	Fields
MFD09126	49.451	Fields
MFD08486	38.46	Fields
MFD00008	72.536	Forests
MFD00031	59.252	Forests
MFD00125	67.31	Forests
MFD01138	72.376	Forests
MFD05512	72.188	Forests
MFD00123	35.258	Forests
MFD06742	62.581	Forests
MFD05537	57.741	Forests
MFD04540	61.316	Forests
MFD05513	64.978	Forests
MFD05841	69.119	Forests
MFD04967	75.498	Forests
MFD09206	58.855	Grassland formations
MFD04570	64.391	Grassland formations
MFD02199	61.961	Grassland formations
MFD05747	61.095	Grassland formations
MFD05454	61.608	Grassland formations
MFD02360	60.722	Grassland formations
MFD02159	56.245	Grassland formations
MFD10113	60.211	Grassland formations
MFD02242	64.176	Grassland formations
MFD00072	57.4	Grassland formations
MFD05567	63.286	Grassland formations
MFD09368	62.862	Grassland formations
MFD03399	76.267	Grassland formations
MFD09212	58.51	Grassland formations
MFD09267	62.289	Grassland formations
MFD04428	65.64	Grassland formations
MFD04944	82.219	Grassland formations
MFD06298	64.965	Grassland formations
MFD00962	62.721	Grassland formations
MFD06526	56.36	Grassland formations
MFD04850	61.769	Grassland formations
MFD03975	57.254	Greenspaces
MFD02809	56.321	Greenspaces
MFD10043	61.747	Greenspaces
MFD03602	49.251	Greenspaces
MFD03066	51.302	Greenspaces
MFD01561	49.115	Natural freshwater
MFD00905	60.752	Natural freshwater
MFD00032	68.271	Natural freshwater
MFD01231	70.32	Natural freshwater
MFD01476	68.003	Natural freshwater
MFD05377	73.83	Natural freshwater
MFD01299	51.713	Natural freshwater
MFD04492	60.575	Natural freshwater
MFD05674	56.543	Natural freshwater
MFD00709	51.484	Natural freshwater
MFD04651	56.299	Natural freshwater
MFD00991	62.835	Natural freshwater
MFD06435	64.363	Natural freshwater
MFD03250	87.924	Other
MFD09603	77.452	Other
MFD10097	47.134	Other
MFD06085	60.427	Other
MFD02832	57.063	Saltwater
MFD09779	66.347	Saltwater
MFD03551	54.816	Saltwater
MFD09964	67.361	Saltwater
MFD06092	76.12	Temperate heath and scrub
MFD01248	75.923	Temperate heath and scrub
MFD02472	59.813	Temperate heath and scrub
MFD02248	73.676	Temperate heath and scrub
MFD01716	78.813	Temperate heath and scrub
MFD10071	68.277	Temperate heath and scrub
MFD03346	78.019	Temperate heath and scrub
MFD05502	74.822	Temperate heath and scrub
MFD03323	70.993	Temperate heath and scrub
MFD09222	74.008	Temperate heath and scrub
MFD03804	68.379	Urban freshwater
MFD04716	69.557	Urban freshwater
MFD02979	63.04	Urban freshwater
MFD04408	59.636	Urban freshwater
MFD03726	72.156	Urban freshwater
MFD09730	60.854	Urban freshwater
MFD03899	54.498	Urban freshwater
MFD09848	56.168	Urban freshwater
MFD03044	69.057	Urban freshwater
MFD10007	60.844	Urban freshwater
MFD03638	27.39	Urban freshwater
