fieldsample_barcode	assembled	r_abund	mfd_hab1_
MFD04780	62.187	45.089	Bogs, mires and fens
MFD09567	73.233	51.548	Bogs, mires and fens
MFD05379	47.173	51.467	Bogs, mires and fens
MFD01223	67.411	57.385	Bogs, mires and fens
MFD02138	50.774	48.72	Bogs, mires and fens
MFD01872	70.201	35.564	Bogs, mires and fens
MFD06229	59.864	28.997	Bogs, mires and fens
MFD01188	54.808	37.236	Bogs, mires and fens
MFD01689	61.683	53.431	Bogs, mires and fens
MFD02134	63.2	37.839	Bogs, mires and fens
MFD00082	67.136	62.788	Bogs, mires and fens
MFD04752	59.212	56.388	Bogs, mires and fens
MFD01828	68.622	52.235	Bogs, mires and fens
MFD02579	70.499	51.267	Bogs, mires and fens
MFD04926	43.811	55.608	Bogs, mires and fens
MFD05580	83.29	61.774	Bogs, mires and fens
MFD01112	52.619	47.087	Bogs, mires and fens
MFD02840	70.507	46.611	Coastal
MFD00822	71.13	40.371	Coastal
MFD01721	78.75	69.238	Coastal
MFD05684	77.065	57.788	Coastal
MFD02416	80.077	65.589	Coastal
MFD05442	70.593	53.522	Coastal
MFD02923	71.458	61.483	Coastal
MFD02581	66.887	52.831	Coastal
MFD01633	67.112	48.835	Dunes
MFD09400	25.969	15.437	Dunes
MFD01213	61.412	34.157	Dunes
MFD09495	67.603	51.733	Dunes
MFD04212	65.068	50.28	Dunes
MFD05521	68.277	38.54	Dunes
MFD04580	68.646	47.456	Dunes
MFD04463	77.239	53.416	Dunes
MFD04935	59.834	42.282	Dunes
MFD01275	68.9	44.016	Dunes
MFD00731	75.536	43.554	Dunes
MFD02671	69.874	53.637	Dunes
MFD01916	62.48	36.887	Dunes
MFD04434	72.865	53.762	Dunes
MFD00964	72.845	38.97	Dunes
MFD06714	70.827	39.22	Dunes
MFD10064	65.757	51.065	Dunes
MFD05705	76.515	50.81	Dunes
MFD09286	70.557	45.887	Dunes
MFD09671	66.556	46.1	Dunes
MFD09018	51.189	29.324	Fields
MFD00392	64.266	32.778	Fields
MFD09055	50.175	33.254	Fields
MFD08691	43.578	22.069	Fields
MFD05942	70.992	45.195	Fields
MFD08767	43.708	17.464	Fields
MFD07639	46.453	25.301	Fields
MFD08988	41.152	29.209	Fields
MFD05088	50.856	30.403	Fields
MFD07751	39.255	15.838	Fields
MFD08700	49.889	23.7	Fields
MFD07830	22.674	7.973	Fields
MFD07737	33.872	19.643	Fields
MFD07987	32.76	16.632	Fields
MFD08353	32.931	14.633	Fields
MFD08203	43.033	18.505	Fields
MFD08821	50.283	23.726	Fields
MFD08447	35.933	17.791	Fields
MFD07386	45.835	32.473	Fields
MFD05176	56.499	28.95	Fields
MFD08497	50.078	25.449	Fields
MFD08669	46.167	23.921	Fields
MFD08416	40.432	20.492	Fields
MFD08079	46.968	24.999	Fields
MFD07841	38.15	18.654	Fields
MFD07691	45.031	20.231	Fields
MFD08462	43.391	18.249	Fields
MFD09126	49.451	26.401	Fields
MFD08486	38.46	27.15	Fields
MFD00008	72.536	46.34	Forests
MFD00031	59.252	42.807	Forests
MFD00125	67.31	39.691	Forests
MFD01138	72.376	43.949	Forests
MFD05512	72.188	57.815	Forests
MFD00123	35.258	20.612	Forests
MFD06742	62.581	26.147	Forests
MFD05537	57.741	26.024	Forests
MFD04540	61.316	51.937	Forests
MFD05513	64.978	41.573	Forests
MFD05841	69.119	40.436	Forests
MFD04967	75.498	52.595	Forests
MFD09206	58.855	31.499	Grassland formations
MFD04570	64.391	27.553	Grassland formations
MFD02199	61.961	33.391	Grassland formations
MFD05747	61.095	28.406	Grassland formations
MFD05454	61.608	22.821	Grassland formations
MFD02360	60.722	28.236	Grassland formations
MFD02159	56.245	34.478	Grassland formations
MFD10113	60.211	31.819	Grassland formations
MFD02242	64.176	34.556	Grassland formations
MFD00072	57.4	35.269	Grassland formations
MFD05567	63.286	40.392	Grassland formations
MFD09368	62.862	37.607	Grassland formations
MFD03399	76.267	58.903	Grassland formations
MFD09212	58.51	37.371	Grassland formations
MFD09267	62.289	35.047	Grassland formations
MFD04428	65.64	30.688	Grassland formations
MFD04944	82.219	39.755	Grassland formations
MFD06298	64.965	26.012	Grassland formations
MFD00962	62.721	31.144	Grassland formations
MFD06526	56.36	23.019	Grassland formations
MFD04850	61.769	31.499	Grassland formations
MFD03975	57.254	31.716	Greenspaces
MFD02809	56.321	29.06	Greenspaces
MFD10043	61.747	27.797	Greenspaces
MFD03602	49.251	23.165	Greenspaces
MFD03066	51.302	25.37	Greenspaces
MFD01561	49.115	21.843	Natural freshwater
MFD00905	60.752	34.364	Natural freshwater
MFD00032	68.271	34.933	Natural freshwater
MFD01231	70.32	60.626	Natural freshwater
MFD01476	68.003	43.181	Natural freshwater
MFD05377	73.83	31.528	Natural freshwater
MFD01299	51.713	43.679	Natural freshwater
MFD04492	60.575	60.979	Natural freshwater
MFD05674	56.543	35.178	Natural freshwater
