fieldsample_barcode	HQ_mags	MQ_mags	mfd_hab1_
MFD04780	31	156	Bogs, mires and fens
MFD09567	28	90	Bogs, mires and fens
MFD05379	2	27	Bogs, mires and fens
MFD01223	24	79	Bogs, mires and fens
MFD02138	15	62	Bogs, mires and fens
MFD01872	72	214	Bogs, mires and fens
MFD06229	29	152	Bogs, mires and fens
MFD01188	23	92	Bogs, mires and fens
MFD01689	37	70	Bogs, mires and fens
MFD02134	46	169	Bogs, mires and fens
MFD00082	37	94	Bogs, mires and fens
MFD04752	26	112	Bogs, mires and fens
MFD01828	25	72	Bogs, mires and fens
MFD02579	34	58	Bogs, mires and fens
MFD04926	2	12	Bogs, mires and fens
MFD05580	55	86	Bogs, mires and fens
MFD01112	10	53	Bogs, mires and fens
MFD02840	94	243	Coastal
MFD00822	62	133	Coastal
MFD01721	153	186	Coastal
MFD05684	147	233	Coastal
MFD02416	158	222	Coastal
MFD05442	109	249	Coastal
MFD02923	55	98	Coastal
MFD02581	72	168	Coastal
MFD01633	47	143	Dunes
MFD09400	1	2	Dunes
MFD01213	40	143	Dunes
MFD09495	43	75	Dunes
MFD04212	82	165	Dunes
MFD05521	59	162	Dunes
MFD04580	45	97	Dunes
MFD04463	101	184	Dunes
MFD04935	38	110	Dunes
MFD01275	92	150	Dunes
MFD00731	76	172	Dunes
MFD02671	35	89	Dunes
MFD01916	32	85	Dunes
MFD04434	61	116	Dunes
MFD00964	68	184	Dunes
MFD06714	44	142	Dunes
MFD10064	37	99	Dunes
MFD05705	88	126	Dunes
MFD09286	63	148	Dunes
MFD09671	57	123	Dunes
MFD09018	14	76	Fields
MFD00392	36	256	Fields
MFD09055	4	68	Fields
MFD08691	7	76	Fields
MFD05942	85	257	Fields
MFD08767	4	45	Fields
MFD07639	7	49	Fields
MFD08988	3	43	Fields
MFD05088	12	129	Fields
MFD07751	1	48	Fields
MFD08700	12	61	Fields
MFD07830	3	5	Fields
MFD07737	9	25	Fields
MFD07987	5	26	Fields
MFD08353	1	14	Fields
MFD08203	3	5	Fields
MFD08821	10	79	Fields
MFD08447	2	27	Fields
MFD07386	2	34	Fields
MFD05176	22	191	Fields
MFD08497	9	106	Fields
MFD08669	10	83	Fields
MFD08416	9	51	Fields
MFD08079	5	36	Fields
MFD07841	2	52	Fields
MFD07691	1	32	Fields
MFD08462	3	57	Fields
MFD09126	9	56	Fields
MFD08486	3	17	Fields
MFD00008	57	137	Forests
MFD00031	33	140	Forests
MFD00125	16	67	Forests
MFD01138	35	89	Forests
MFD05512	84	162	Forests
MFD00123	0	5	Forests
MFD06742	26	168	Forests
MFD05537	10	50	Forests
MFD04540	53	90	Forests
MFD05513	56	164	Forests
MFD05841	46	180	Forests
MFD04967	59	134	Forests
MFD09206	36	126	Grassland formations
MFD04570	17	82	Grassland formations
MFD02199	20	139	Grassland formations
MFD05747	19	135	Grassland formations
MFD05454	19	179	Grassland formations
MFD02360	32	157	Grassland formations
MFD02159	20	94	Grassland formations
MFD10113	32	127	Grassland formations
MFD02242	45	194	Grassland formations
MFD00072	18	113	Grassland formations
MFD05567	50	202	Grassland formations
MFD09368	44	136	Grassland formations
MFD03399	60	97	Grassland formations
MFD09212	48	136	Grassland formations
MFD09267	48	243	Grassland formations
MFD04428	26	104	Grassland formations
MFD04944	114	187	Grassland formations
MFD06298	30	127	Grassland formations
MFD00962	38	198	Grassland formations
MFD06526	12	70	Grassland formations
MFD04850	41	214	Grassland formations
MFD03975	26	188	Greenspaces
MFD02809	25	196	Greenspaces
MFD10043	4	57	Greenspaces
MFD03602	5	37	Greenspaces
MFD03066	21	160	Greenspaces
MFD01561	9	68	Natural freshwater
MFD00905	37	153	Natural freshwater
MFD00032	44	147	Natural freshwater
MFD01231	33	65	Natural freshwater
MFD01476	60	144	Natural freshwater
MFD05377	46	119	Natural freshwater
MFD01299	36	143	Natural freshwater
MFD04492	40	131	Natural freshwater
MFD05674	33	139	Natural freshwater
MFD00709	10	123	Natural freshwater
MFD04651	59	121	Natural freshwater
MFD00991	26	106	Natural freshwater
MFD06435	35	146	Natural freshwater
MFD03250	98	78	Other
MFD09603	112	239	Other
MFD10097	12	31	Other
MFD06085	27	105	Other
MFD02832	56	96	Saltwater
MFD09779	112	194	Saltwater
MFD03551	27	101	Saltwater
MFD09964	120	212	Saltwater
MFD06092	64	173	Temperate heath and scrub
MFD01248	27	57	Temperate heath and scrub
MFD02472	10	58	Temperate heath and scrub
MFD02248	65	104	Temperate heath and scrub
MFD01716	75	127	Temperate heath and scrub
MFD10071	23	92	Temperate heath and scrub
MFD03346	43	87	Temperate heath and scrub
MFD05502	94	123	Temperate heath and scrub
MFD03323	19	102	Temperate heath and scrub
MFD09222	59	122	Temperate heath and scrub
MFD03804	81	151	Urban freshwater
MFD04716	100	215	Urban freshwater
MFD02979	51	152	Urban freshwater
MFD04408	34	135	Urban freshwater
MFD03726	73	131	Urban freshwater
MFD09730	19	118	Urban freshwater
MFD03899	25	125	Urban freshwater
MFD09848	15	72	Urban freshwater
MFD03044	51	96	Urban freshwater
MFD10007	43	129	Urban freshwater
MFD03638	0	4	Urban freshwater
