size_based.Assemblage	size_based.m	size_based.Method
Assemblage1	1	Rarefaction
Assemblage1	1325	Rarefaction
Assemblage1	2650	Rarefaction
Assemblage1	3974	Rarefaction
Assemblage1	5299	Rarefaction
Assemblage1	6623	Rarefaction
Assemblage1	7948	Rarefaction
Assemblage1	9272	Rarefaction
Assemblage1	10597	Rarefaction
Assemblage1	11921	Rarefaction
Assemblage1	13246	Rarefaction
Assemblage1	14570	Rarefaction
Assemblage1	15895	Rarefaction
Assemblage1	17219	Rarefaction
Assemblage1	18544	Rarefaction
Assemblage1	19868	Rarefaction
Assemblage1	21193	Rarefaction
Assemblage1	22517	Rarefaction
Assemblage1	23842	Rarefaction
Assemblage1	23843	Observed
Assemblage1	23844	Extrapolation
Assemblage1	25098	Extrapolation
Assemblage1	26353	Extrapolation
Assemblage1	27608	Extrapolation
Assemblage1	28863	Extrapolation
Assemblage1	30118	Extrapolation
Assemblage1	31373	Extrapolation
Assemblage1	32627	Extrapolation
Assemblage1	33882	Extrapolation
Assemblage1	35137	Extrapolation
Assemblage1	36392	Extrapolation
Assemblage1	37647	Extrapolation
Assemblage1	38902	Extrapolation
Assemblage1	40156	Extrapolation
Assemblage1	41411	Extrapolation
Assemblage1	42666	Extrapolation
Assemblage1	43921	Extrapolation
Assemblage1	45176	Extrapolation
Assemblage1	46431	Extrapolation
Assemblage1	47686	Extrapolation
