bin	cov	MAG_status
MFD00008.bin.1.215	55.299824	MQ
MFD00008.bin.1.91	28.502806	MQ
MFD00008.bin.2.1	21.69652	MQ
MFD00008.bin.2.102	23.712393	MQ
MFD00008.bin.2.103	15.094587	MQ
MFD00008.bin.2.104	12.002952	MQ
MFD00008.bin.2.115	13.794271	MQ
MFD00008.bin.2.116	25.400019	MQ
MFD00008.bin.2.117	20.191244	MQ
MFD00008.bin.2.118	15.544396	MQ
MFD00008.bin.2.120	59.518105	MQ
MFD00008.bin.2.123	94.13615	MQ
MFD00008.bin.2.127	27.268553	MQ
MFD00008.bin.2.129	42.42414	MQ
MFD00008.bin.2.132	17.1364	MQ
MFD00008.bin.2.133	35.48588	MQ
MFD00008.bin.2.135	20.033422	MQ
MFD00008.bin.2.138	23.453613	MQ
MFD00008.bin.2.149	24.572393	MQ
MFD00008.bin.2.151	32.524437	MQ
MFD00008.bin.2.152	37.15527	MQ
MFD00008.bin.2.153	36.10369	MQ
MFD00008.bin.2.164	34.071575	MQ
MFD00008.bin.2.165	14.623492	MQ
MFD00008.bin.2.17	27.388695	MQ
MFD00008.bin.2.170	19.568605	MQ
MFD00008.bin.2.171	16.933622	MQ
MFD00008.bin.2.178	54.005917	MQ
MFD00008.bin.2.19	12.389397	MQ
MFD00008.bin.2.2	26.377544	MQ
MFD00008.bin.2.20	42.721336	MQ
MFD00008.bin.2.22	17.023115	MQ
MFD00008.bin.2.26	19.484606	MQ
MFD00008.bin.2.28	24.921623	MQ
MFD00008.bin.2.29	39.076294	MQ
MFD00008.bin.2.30	12.63735	MQ
MFD00008.bin.2.35	62.801594	MQ
MFD00008.bin.2.40	29.079826	MQ
MFD00008.bin.2.41	19.399412	MQ
MFD00008.bin.2.45	38.91218	MQ
MFD00008.bin.2.49	14.597802	MQ
MFD00008.bin.2.5	35.20537	MQ
MFD00008.bin.2.54	14.450073	MQ
MFD00008.bin.2.56	18.552698	MQ
MFD00008.bin.2.63	38.93145	MQ
MFD00008.bin.2.65	16.323652	MQ
MFD00008.bin.2.66	22.725054	MQ
MFD00008.bin.2.70	14.54335	MQ
MFD00008.bin.2.72	21.506323	MQ
MFD00008.bin.2.74	14.641007	MQ
MFD00008.bin.2.80	14.68876	MQ
MFD00008.bin.2.98	15.444202	MQ
MFD00008.bin.3.132	19.313911	MQ
MFD00008.bin.3.143	14.274904	MQ
MFD00008.bin.3.171	13.55345	MQ
MFD00008.bin.3.313	32.235443	MQ
MFD00008.bin.3.39	123.02901	MQ
MFD00008.bin.3.78	23.435545	MQ
MFD00008.bin.4.505	19.860786	MQ
MFD00031.bin.1.203	20.709547	MQ
MFD00031.bin.2.10	13.708708	MQ
MFD00031.bin.2.102	23.061913	MQ
MFD00031.bin.2.104	33.198715	MQ
MFD00031.bin.2.107	23.12818	MQ
MFD00031.bin.2.11	25.704056	MQ
MFD00031.bin.2.110	111.49049	MQ
MFD00031.bin.2.112	24.35858	MQ
MFD00031.bin.2.114	26.232153	MQ
MFD00031.bin.2.116	16.93364	MQ
MFD00031.bin.2.117	30.132133	MQ
MFD00031.bin.2.119	21.164616	MQ
MFD00031.bin.2.123	27.540619	MQ
MFD00031.bin.2.126	14.535201	MQ
MFD00031.bin.2.135	33.002735	MQ
MFD00031.bin.2.139	18.5026	MQ
MFD00031.bin.2.14	18.17169	MQ
MFD00031.bin.2.140	31.993053	MQ
MFD00031.bin.2.144	26.10886	MQ
MFD00031.bin.2.145	24.736172	MQ
MFD00031.bin.2.146	19.41562	MQ
MFD00031.bin.2.147	19.151917	MQ
MFD00031.bin.2.149	27.148106	MQ
MFD00031.bin.2.153	29.054762	MQ
MFD00031.bin.2.154	18.594852	MQ
MFD00031.bin.2.16	15.258692	MQ
MFD00031.bin.2.164	40.734146	MQ
MFD00031.bin.2.166	20.436985	MQ
MFD00031.bin.2.172	15.743319	MQ
MFD00031.bin.2.173	40.956173	MQ
MFD00031.bin.2.175	15.572921	MQ
MFD00031.bin.2.176	33.242496	MQ
MFD00031.bin.2.178	30.488508	MQ
MFD00031.bin.2.181	20.86626	MQ
MFD00031.bin.2.19	24.393011	MQ
MFD00031.bin.2.23	23.58098	MQ
MFD00031.bin.2.24	17.82702	MQ
MFD00031.bin.2.3	18.692068	MQ
MFD00031.bin.2.32	36.953777	MQ
MFD00031.bin.2.36	17.835247	MQ
MFD00031.bin.2.48	18.769823	MQ
MFD00031.bin.2.49	17.604067	MQ
MFD00031.bin.2.5	29.836555	MQ
MFD00031.bin.2.50	24.648165	MQ
MFD00031.bin.2.51	13.020405	MQ
MFD00031.bin.2.52	16.641014	MQ
MFD00031.bin.2.58	36.030663	MQ
MFD00031.bin.2.59	51.989693	MQ
MFD00031.bin.2.6	33.614975	MQ
MFD00031.bin.2.61	21.757454	MQ
MFD00031.bin.2.65	22.913176	MQ
MFD00031.bin.2.66	15.707572	MQ
MFD00031.bin.2.7	19.124016	MQ
MFD00031.bin.2.73	22.73584	MQ
MFD00031.bin.2.74	20.938473	MQ
MFD00031.bin.2.75	18.32107	MQ
MFD00031.bin.2.84	18.151613	MQ
MFD00031.bin.2.90	14.982355	MQ
MFD00031.bin.2.92	26.83619	MQ
MFD00031.bin.2.93	22.516087	MQ
MFD00031.bin.3.170	34.18367	MQ
MFD00031.bin.3.182	11.901383	MQ
MFD00031.bin.3.285	13.422125	MQ
MFD00031.bin.3.307	16.025846	MQ
MFD00031.bin.3.59	20.703379	MQ
MFD00031.bin.3.60	16.14068	MQ
MFD00031.bin.3.69	24.776356	MQ
