group	type	bgc_all	bgc_full	frac
GEM	Arylpolyenes	2709	644	23.77
GEM	Betalactones	1868	909	48.66
GEM	NRPS	7003	1030	14.71
GEM	PKS	4778	879	18.4
GEM	RiPPs	15976	4852	30.37
GEM	Terpenes	10008	2200	21.98
MFD-LR	Arylpolyenes	1758	1325	75.37
MFD-LR	Betalactones	3854	3456	89.67
MFD-LR	NRPS	11230	8594	76.53
MFD-LR	PKS	9454	7333	77.57
MFD-LR	RiPPs	24583	19626	79.84
MFD-LR	Terpenes	14783	11733	79.37
MFD-SR	Arylpolyenes	1022	40	3.91
MFD-SR	Betalactones	501	96	19.16
MFD-SR	NRPS	7044	157	2.23
MFD-SR	PKS	4335	128	2.95
MFD-SR	RiPPs	8623	453	5.25
MFD-SR	Terpenes	5860	184	3.14
OWC	Arylpolyenes	423	8	1.89
OWC	Betalactones	107	6	5.61
OWC	NRPS	1392	15	1.08
OWC	PKS	759	5	0.66
OWC	RiPPs	1500	49	3.27
OWC	Terpenes	1337	22	1.65
RBG	Arylpolyenes	2763	257	9.3
RBG	Betalactones	1434	401	27.96
RBG	NRPS	7918	596	7.53
RBG	PKS	6255	611	9.77
RBG	RiPPs	17724	2571	14.51
RBG	Terpenes	12434	1517	12.2
SMAG	Arylpolyenes	3209	344	10.72
SMAG	Betalactones	2154	728	33.8
SMAG	NRPS	25690	1356	5.28
SMAG	PKS	12122	1135	9.36
SMAG	RiPPs	24630	3955	16.06
SMAG	Terpenes	17142	1992	11.62
SPIRE	Arylpolyenes	12342	1564	12.67
SPIRE	Betalactones	8416	2643	31.4
SPIRE	NRPS	41973	3358	8
SPIRE	PKS	24012	2601	10.83
SPIRE	RiPPs	74443	14001	18.81
SPIRE	Terpenes	44137	6167	13.97
TPMC	Arylpolyenes	1365	112	8.21
TPMC	Betalactones	824	291	35.32
TPMC	NRPS	4051	169	4.17
TPMC	PKS	4257	329	7.73
TPMC	RiPPs	6890	876	12.71
TPMC	Terpenes	10797	1243	11.51
