cluster	cluster_qual	OWC	MFD-SR	TPMC	MFD-LR	GEM	SMAG	RBG	SPIRE
2012990006_1	MQ	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
2013843002_1	MQ	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
2013843002_2	MQ	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
2019_bqzb-1_bin.10.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-1_bin.13.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_00709983	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_bqzb-1_bin.2.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-1_bin.24.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-1_bin.6.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-1_bin.8.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.12.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.17.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.21.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.23.purify	MQ	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2020_SQ-W-1_bin.83.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.28.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.36.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-2_bin.37.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
