group	type	rrna_all	rrna_operon	frac
GEM	16S rRNA	7597	2677	35.24
GEM	23S rRNA	6300	2674	42.44
GEM	5S rRNA	14499	2718	18.75
MFD-LR	16S rRNA	16030	12633	78.81
MFD-LR	23S rRNA	15920	12649	79.45
MFD-LR	5S rRNA	16347	12750	78
MFD-SR	16S rRNA	1213	184	15.17
MFD-SR	23S rRNA	1024	184	17.97
MFD-SR	5S rRNA	3158	187	5.92
OWC	16S rRNA	174	4	2.3
OWC	23S rRNA	81	4	4.94
OWC	5S rRNA	906	4	0.44
RBG	16S rRNA	4215	219	5.2
RBG	23S rRNA	3031	218	7.19
RBG	5S rRNA	10523	218	2.07
SMAG	16S rRNA	5783	592	10.24
SMAG	23S rRNA	4532	591	13.04
SMAG	5S rRNA	14135	593	4.2
SPIRE	16S rRNA	20650	2760	13.37
SPIRE	23S rRNA	12433	2758	22.18
SPIRE	5S rRNA	63047	2794	4.43
TPMC	16S rRNA	1656	122	7.37
TPMC	23S rRNA	1090	123	11.28
TPMC	5S rRNA	6235	123	1.97
