group	type	di_all	di_full	frac
GEM	BREX	549	351	63.93
GEM	CRISPR-Cas	7184	3210	44.68
GEM	RM	5449	4288	78.69
GEM	Wadjet	1113	860	77.27
MFD-LR	BREX	266	248	93.23
MFD-LR	CRISPR-Cas	2395	2191	91.48
MFD-LR	RM	2090	2042	97.7
MFD-LR	Wadjet	1117	1069	95.7
MFD-SR	BREX	78	34	43.59
MFD-SR	CRISPR-Cas	1107	230	20.78
MFD-SR	RM	747	511	68.41
MFD-SR	Wadjet	218	114	52.29
OWC	BREX	9	3	33.33
OWC	CRISPR-Cas	163	43	26.38
OWC	RM	55	36	65.45
OWC	Wadjet	42	14	33.33
RBG	BREX	564	296	52.48
RBG	CRISPR-Cas	7094	2019	28.46
RBG	RM	4170	2827	67.79
RBG	Wadjet	816	470	57.6
SMAG	BREX	211	129	61.14
SMAG	CRISPR-Cas	2714	1064	39.2
SMAG	RM	2034	1600	78.66
SMAG	Wadjet	1049	721	68.73
SPIRE	BREX	1923	1163	60.48
SPIRE	CRISPR-Cas	21035	7404	35.2
SPIRE	RM	19653	15021	76.43
SPIRE	Wadjet	4392	3150	71.72
TPMC	BREX	188	102	54.26
TPMC	CRISPR-Cas	2185	461	21.1
TPMC	RM	1588	1113	70.09
TPMC	Wadjet	305	205	67.21
