fieldsample_barcode	group	mfd_sampletype	class
MFD00226	GTDB	Sediment	13.1021
MFD00416	GTDB	Soil	1.7323
MFD00343	GTDB	Soil	2.2195
MFD00355	GTDB	Soil	1.0599
MFD00451	GTDB	Soil	1.9422
MFD00288	GTDB	Soil	1.7246
MFD00377	GTDB	Soil	5.2198
MFD00354	GTDB	Soil	1.346
MFD00532	GTDB	Soil	2.8566
MFD00154	GTDB	Soil	1.1368
MFD00112	GTDB	Sediment	5.1064
MFD00382	GTDB	Soil	5.5311
MFD00440	GTDB	Soil	2.1136
MFD00513	GTDB	Soil	9.4885
MFD00353	GTDB	Soil	6.1256
MFD00215	GTDB	Sediment	18.6289
MFD00441	GTDB	Soil	1.8913
MFD00392	GTDB	Soil	3.5634
MFD00504	GTDB	Soil	3.5784
MFD00560	GTDB	Soil	2.0936
MFD00275	GTDB	Soil	2.2376
MFD00258	GTDB	Soil	0
MFD00450	GTDB	Soil	3.6395
MFD00385	GTDB	Soil	4.5908
MFD00419	GTDB	Soil	1.7426
MFD00512	GTDB	Soil	8.4172
MFD00252	GTDB	Soil	0
MFD00205	GTDB	Sediment	7.2462
MFD00165	GTDB	Soil	0.8927
MFD00270	GTDB	Soil	1.863
MFD00537	GTDB	Soil	2.8125
MFD00304	GTDB	Soil	1.5809
MFD00417	GTDB	Soil	1.1816
MFD00500	GTDB	Soil	4.7252
MFD00372	GTDB	Soil	2.0511
MFD00005	GTDB	Soil	2.6367
MFD00480	GTDB	Soil	4.0521
MFD00011	GTDB	Sediment	4.0113
MFD00256	GTDB	Soil	1.511
MFD00164	GTDB	Soil	7.0592
MFD00286	GTDB	Soil	2.8873
MFD00101	GTDB	Sediment	2.6949
MFD00278	GTDB	Soil	1.6538
MFD00401	GTDB	Soil	3.2239
MFD00489	GTDB	Soil	1.8422
MFD00524	GTDB	Soil	4.0911
MFD00254	GTDB	Soil	0.8711
MFD00527	GTDB	Soil	2.3873
MFD00293	GTDB	Soil	0.3452
MFD00251	GTDB	Soil	3.8439
MFD00543	GTDB	Soil	9.0418
