project_id,fieldsample_barcode,sampling_date,latitude,longitude,habitat_typenumber,sitename,mfd_sampletype,mfd_areatype,mfd_hab1,mfd_hab2,mfd_hab3,coords_reliable
P08_1,MFD00001,2019-08-29,55.6771,9.2778,91E0,"6r, Bindeballe By, Randb?l",Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00002,2019-08-21,56.0239,9.9034,91E0,Junges Plantage,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00003,2019-08-15,55.3436,11.1495,9130,"TÜrnbygÜrd, nord",Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00004,2019-08-28,55.6664,9.2715,6230,"4ac, Bindeballe by, Randb?l",Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00005,2019-09-04,55.6526,8.3077,6430,19-160,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00006,2019-05-21,56.0287,9.9153,9130,Dyrehaven,Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00007,2019-08-15,56.9366,10.1784,7120,4632-3,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Degraded raised bog,Yes
P08_1,MFD00008,2019-08-29,55.6058,9.3609,91E0,"20, Hjelmdrup By, Egtved",Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00009,2019-08-28,55.4522,11.2251,7700,Mose-33,Soil,Natural,"Bogs, mires and fens",Wet thicket  (non-habitat type),,Yes
P08_1,MFD00010,2019-08-01,57.6541,10.4065,2130,4248-3,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P09_1,MFD00011,2019-09-03,57.38581885,10.01156865,3150,NOR82101,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00012,2019-07-22,56.7928,9.801,7120,4624-1,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Degraded raised bog,Yes
P08_1,MFD00013,2019-07-23,56.8289,9.6218,6210,S1069S10,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Calcareous grassland,Yes
P08_1,MFD00014,2019-07-30,56.8293,10.2708,2130,4216-1,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00015,2019-07-22,56.788,9.826,7110,s1099t29,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Active raised bogs,Yes
P08_1,MFD00016,2019-09-03,55.5667,9.9456,6230,Overdrev-277,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00017,2019-08-28,55.9379,9.7278,6430,615-H9-en-05,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00018,2019-08-20,56.1053,9.7775,9120,Prëstebakken (ID 874979),Soil,Natural,Forests,Temperate forests,Beech forests Acidophilous with Ilex,Yes
P08_1,MFD00019,2019-08-14,55.2606,11.2787,9160,Kold stubbe,Soil,Natural,Forests,Temperate forests,Oak-hornbeam mixed forest,Yes
P08_1,MFD00020,2019-07-29,56.8073,10.2753,2130,4217-1,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00021,2019-09-03,55.3678,9.9084,91E0,Mose-245,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00022,2019-08-27,55.6355,9.2349,4130,Spjarup Markvej,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00023,2019-08-28,55.9302,9.7674,7220,615-I10-mo-19,Soil,Natural,"Bogs, mires and fens",Calcareous fens,Petrifying springs,Yes
P08_1,MFD00024,2019-08-28,55.93,9.7671,6230,615-I10-ov-04,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00025,2019-08-29,55.8747,9.7951,6230,615-L11-ov-09,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00026,2019-08-14,56.0553,9.6263,4130,615-B6-he-05,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00027,2019-08-28,55.9367,9.7285,6430,615-H9-en-06,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00028,2019-08-28,55.4616,11.3781,6431,Eng-4,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Agricultural meadow (6430 subtype),Yes
P08_1,MFD00029,2019-07-25,56.8521,10.2559,5130,4528_11,Soil,Natural,Sclerophyllus scrub,Scrub,Juniper scrub,Yes
P08_1,MFD00030,2019-08-13,55.4575,11.2082,9160,Bilds? Skov,Soil,Natural,Forests,Temperate forests,Oak-hornbeam mixed forest,Yes
P08_1,MFD00031,2019-08-14,55.4191,11.4075,91E0,Oksebrovej,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P09_1,MFD00032,2019-09-03,57.49172952,9.893109449,3150,NOR82102,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
