Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_areatype,group_size,Core,prevalence,fidelity
Bacillus,188,177,1.65668662674651,Core,"Sediment, Natural",230,115,0.817391304347826,6
Clostridium_sensu_stricto_1,170,152,0.77931094333073,Core,"Sediment, Natural",230,115,0.739130434782609,3
Clostridium_sensu_stricto_13,143,121,0.761520437386097,Core,"Sediment, Natural",230,115,0.621739130434783,4
Mycobacterium,196,179,0.642627787902456,Core,"Sediment, Natural",230,115,0.852173913043478,7
Flavobacterium,167,123,0.580144059706674,Core,"Sediment, Natural",230,115,0.726086956521739,4
Luteolibacter,186,144,0.578842315369262,Core,"Sediment, Natural",230,115,0.808695652173913,3
MFD_g_2945,184,174,0.577106656252712,Core,"Sediment, Natural",230,115,0.8,2
Nocardioides,166,139,0.564089212878591,Core,"Sediment, Natural",230,115,0.721739130434783,6
MFD_g_782,182,175,0.536752581792936,Core,"Sediment, Natural",230,115,0.791304347826087,4
Sva0081_sediment_group,164,131,0.532413434001562,Core,"Sediment, Natural",230,115,0.71304347826087,3
Subgroup_10,188,144,0.502039399461946,Core,"Sediment, Natural",230,115,0.817391304347826,5
Hyphomicrobium,187,161,0.498568081228847,Core,"Sediment, Natural",230,115,0.81304347826087,4
Ilumatobacter,177,144,0.489455870866962,Core,"Sediment, Natural",230,115,0.769565217391304,5
Gaiella,162,144,0.451271370302873,Core,"Sediment, Natural",230,115,0.704347826086957,4
Desulfobacca,174,143,0.421331250542394,Core,"Sediment, Natural",230,115,0.756521739130435,2
MFD_g_4212,174,153,0.406578148051723,Core,"Sediment, Natural",230,115,0.756521739130435,2
Spirochaeta,169,129,0.401805085481212,Core,"Sediment, Natural",230,115,0.734782608695652,3
MFD_g_561,155,129,0.399201596806387,Core,"Sediment, Natural",230,115,0.673913043478261,2
Pir4_lineage,199,158,0.366657988371084,Core,"Sediment, Natural",230,115,0.865217391304348,6
Nitrospira,164,136,0.351037056322139,Core,"Sediment, Natural",230,115,0.71304347826087,4
Anaeromyxobacter,146,118,0.347999652868177,Core,"Sediment, Natural",230,115,0.634782608695652,2
MFD_g_2480,166,133,0.312418640978912,Core,"Sediment, Natural",230,115,0.721739130434783,2
MFD_g_5535,178,147,0.299835112383928,Core,"Sediment, Natural",230,115,0.773913043478261,4
Haliangium,180,141,0.298533368046516,Core,"Sediment, Natural",230,115,0.782608695652174,6
MFD_g_2750,164,134,0.295495964592554,Core,"Sediment, Natural",230,115,0.71304347826087,2
Ellin6067,164,128,0.283780265555845,Core,"Sediment, Natural",230,115,0.71304347826087,2
MFD_g_2744,164,127,0.279875032543609,Core,"Sediment, Natural",230,115,0.71304347826087,2
Pirellula,183,133,0.255141890132778,Core,"Sediment, Natural",230,115,0.795652173913044,3
MFD_g_8542,146,117,0.246029679770893,Core,"Sediment, Natural",230,115,0.634782608695652,2
Paenisporosarcina,19,18,3.3682634730539,Core,"Sediment, Subterranean",36,18,0.527777777777778,1
SEEP-SRB1,34,34,2.94965624306942,Core,"Sediment, Subterranean",36,18,0.944444444444444,1
MFD_g_2740,35,34,2.84985584386782,Core,"Sediment, Subterranean",36,18,0.972222222222222,1
Subgroup_23,36,34,1.53858948769128,Core,"Sediment, Subterranean",36,18,1,1
MFD_g_4585,34,29,1.21701042359725,Core,"Sediment, Subterranean",36,18,0.944444444444444,1
Subgroup_10,33,32,1.02849855843868,Core,"Sediment, Subterranean",36,18,0.916666666666667,5
MFD_g_2519,35,30,0.94810379241517,Core,"Sediment, Subterranean",36,18,0.972222222222222,1
MFD_g_412,32,28,0.912064759370149,Core,"Sediment, Subterranean",36,18,0.888888888888889,1
Sulfurovum,27,26,0.862164559769351,Core,"Sediment, Subterranean",36,18,0.75,1
Pir4_lineage,35,34,0.812264360168553,Core,"Sediment, Subterranean",36,18,0.972222222222222,6
MFD_g_2285,25,20,0.74573076070082,Core,"Sediment, Subterranean",36,18,0.694444444444445,1
Mycobacterium,33,33,0.74018629407851,Core,"Sediment, Subterranean",36,18,0.916666666666667,7
MFD_g_1316,31,25,0.737414060767355,Core,"Sediment, Subterranean",36,18,0.861111111111111,1
Desulfatiglans,30,29,0.715236194278111,Core,"Sediment, Subterranean",36,18,0.833333333333333,1
MFD_g_1435,33,29,0.687513861166556,Core,"Sediment, Subterranean",36,18,0.916666666666667,1
MFD_g_235141,27,22,0.637613661565758,Core,"Sediment, Subterranean",36,18,0.75,1
MFD_g_1342,31,29,0.59325792858727,Core,"Sediment, Subterranean",36,18,0.861111111111111,1
Sva0081_sediment_group,33,29,0.576624528720337,Core,"Sediment, Subterranean",36,18,0.916666666666667,3
MFD_g_841,32,25,0.537813262364161,Core,"Sediment, Subterranean",36,18,0.888888888888889,1
Clostridium_sensu_stricto_13,25,23,0.521179862497228,Core,"Sediment, Subterranean",36,18,0.694444444444445,4
MFD_g_9463,30,27,0.493457529385674,Core,"Sediment, Subterranean",36,18,0.833333333333333,1
MFD_g_3142,31,29,0.479596362829896,Core,"Sediment, Subterranean",36,18,0.861111111111111,1
MFD_g_2744,33,30,0.47127966289643,Core,"Sediment, Subterranean",36,18,0.916666666666667,2
MFD_g_3425,33,25,0.438012863162564,Core,"Sediment, Subterranean",36,18,0.916666666666667,1
Spirochaeta,27,24,0.435240629851409,Core,"Sediment, Subterranean",36,18,0.75,3
MFD_g_4140,30,26,0.424151696606787,Core,"Sediment, Subterranean",36,18,0.833333333333333,1
MFD_g_6603,27,24,0.413062763362164,Core,"Sediment, Subterranean",36,18,0.75,1
MFD_g_1112,27,24,0.407518296739854,Core,"Sediment, Subterranean",36,18,0.75,1
MFD_g_4912,26,26,0.390884896872921,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
MFD_g_1191,28,24,0.379795963628299,Core,"Sediment, Subterranean",36,18,0.777777777777778,1
MFD_g_3995,30,23,0.368707030383677,Core,"Sediment, Subterranean",36,18,0.833333333333333,1
Romboutsia,24,22,0.365934797072522,Core,"Sediment, Subterranean",36,18,0.666666666666667,1
MFD_g_36297,29,24,0.357618097139055,Core,"Sediment, Subterranean",36,18,0.805555555555556,1
MFD_g_3347,28,25,0.3548458638279,Core,"Sediment, Subterranean",36,18,0.777777777777778,1
MFD_g_4664,26,21,0.349301397205589,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
Woeseia,31,24,0.340984697272123,Core,"Sediment, Subterranean",36,18,0.861111111111111,1
MFD_g_2391,28,20,0.340984697272122,Core,"Sediment, Subterranean",36,18,0.777777777777778,1
MFD_g_6,29,20,0.32435129740519,Core,"Sediment, Subterranean",36,18,0.805555555555556,3
Pelolinea,26,21,0.318806830782879,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
Ilumatobacter,28,23,0.302173430915946,Core,"Sediment, Subterranean",36,18,0.777777777777778,5
MFD_g_13573,26,25,0.285540031049013,Core,"Sediment, Subterranean",36,18,0.722222222222222,1
