Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex1,group_size,Core,prevalence,fidelity
Bacillus,182,177,2.01290540611898,Core,"Sediment, Natural, Freshwater",189,95,0.962962962962963,13
Clostridium_sensu_stricto_1,170,152,0.94836781463528,Core,"Sediment, Natural, Freshwater",189,95,0.899470899470899,5
Clostridium_sensu_stricto_13,142,121,0.926189948146036,Core,"Sediment, Natural, Freshwater",189,95,0.751322751322751,5
Mycobacterium,187,175,0.774641193802871,Core,"Sediment, Natural, Freshwater",189,95,0.989417989417989,15
MFD_g_2945,180,174,0.700186927731838,Core,"Sediment, Natural, Freshwater",189,95,0.952380952380952,3
Nocardioides,155,133,0.663223816916432,Core,"Sediment, Natural, Freshwater",189,95,0.82010582010582,11
Flavobacterium,144,110,0.661111639155551,Core,"Sediment, Natural, Freshwater",189,95,0.761904761904762,5
Luteolibacter,163,131,0.657943372514231,Core,"Sediment, Natural, Freshwater",189,95,0.862433862433863,4
MFD_g_782,180,174,0.65055075035115,Core,"Sediment, Natural, Freshwater",189,95,0.952380952380952,7
Hyphomicrobium,179,159,0.598802395209581,Core,"Sediment, Natural, Freshwater",189,95,0.947089947089947,5
Gaiella,160,142,0.547054040068012,Core,"Sediment, Natural, Freshwater",189,95,0.846560846560847,7
Desulfobacca,170,143,0.510618973692826,Core,"Sediment, Natural, Freshwater",189,95,0.899470899470899,3
MFD_g_4212,171,152,0.490553284964463,Core,"Sediment, Natural, Freshwater",189,95,0.904761904761905,3
MFD_g_561,155,129,0.485800885002482,Core,"Sediment, Natural, Freshwater",189,95,0.82010582010582,2
Spirochaeta,154,122,0.47259977399698,Core,"Sediment, Natural, Freshwater",189,95,0.814814814814815,3
Anaeromyxobacter,145,118,0.422963596616292,Core,"Sediment, Natural, Freshwater",189,95,0.767195767195767,2
Crenothrix,140,108,0.41029053005101,Core,"Sediment, Natural, Freshwater",189,95,0.740740740740741,2
Pir4_lineage,166,134,0.405010085648808,Core,"Sediment, Natural, Freshwater",189,95,0.878306878306878,10
Nitrospira,143,121,0.396033330165067,Core,"Sediment, Natural, Freshwater",189,95,0.756613756613757,5
MFD_g_2480,165,132,0.377551774757364,Core,"Sediment, Natural, Freshwater",189,95,0.873015873015873,3
MFD_g_4614,128,101,0.374911552556263,Core,"Sediment, Natural, Freshwater",189,95,0.677248677248677,1
MFD_g_5535,175,146,0.362766530431201,Core,"Sediment, Natural, Freshwater",189,95,0.925925925925926,7
MFD_g_2750,163,134,0.359070219349661,Core,"Sediment, Natural, Freshwater",189,95,0.862433862433863,2
Haliangium,164,129,0.340060619501737,Core,"Sediment, Natural, Freshwater",189,95,0.867724867724868,12
Ellin6067,156,125,0.338476486181077,Core,"Sediment, Natural, Freshwater",189,95,0.825396825396825,5
Methanosaeta,133,98,0.332139952898436,Core,"Sediment, Natural, Freshwater",189,95,0.703703703703704,2
Syntrophorhabdus,145,111,0.328971686257115,Core,"Sediment, Natural, Freshwater",189,95,0.767195767195767,2
MFD_g_657,128,100,0.317354708572274,Core,"Sediment, Natural, Freshwater",189,95,0.677248677248677,2
Ilumatobacter,136,104,0.307849908648312,Core,"Sediment, Natural, Freshwater",189,95,0.71957671957672,7
MFD_g_40582,148,106,0.305209686447212,Core,"Sediment, Natural, Freshwater",189,95,0.783068783068783,2
MFD_g_6,149,110,0.29940119760479,Core,"Sediment, Natural, Freshwater",189,95,0.788359788359788,8
MFD_g_8542,145,116,0.29781706428413,Core,"Sediment, Natural, Freshwater",189,95,0.767195767195767,2
MFD_g_8204,152,110,0.291480531001489,Core,"Sediment, Natural, Freshwater",189,95,0.804232804232804,6
MFD_g_2744,131,100,0.290424442121049,Core,"Sediment, Natural, Freshwater",189,95,0.693121693121693,4
CL500-29_marine_group,139,104,0.276695286675327,Core,"Sediment, Natural, Freshwater",189,95,0.735449735449735,6
Subgroup_10,150,107,0.263494175669824,Core,"Sediment, Natural, Freshwater",189,95,0.793650793650794,7
Anaerolinea,147,106,0.262966131229604,Core,"Sediment, Natural, Freshwater",189,95,0.777777777777778,2
Pirellula,150,112,0.261910042349164,Core,"Sediment, Natural, Freshwater",189,95,0.793650793650794,7
Paenibacillus,148,110,0.257685686827403,Core,"Sediment, Natural, Freshwater",189,95,0.783068783068783,10
Conexibacter,153,112,0.246596753582782,Core,"Sediment, Natural, Freshwater",189,95,0.80952380952381,10
Pedomicrobium,126,96,0.241316309180581,Core,"Sediment, Natural, Freshwater",189,95,0.666666666666667,3
Syntrophus,133,96,0.213329953848916,Core,"Sediment, Natural, Freshwater",189,95,0.703703703703704,2
Woeseia,41,41,2.19804293851322,Core,"Sediment, Natural, Saltwater",41,21,1,2
Sva0081_sediment_group,41,39,1.8645635558152,Core,"Sediment, Natural, Saltwater",41,21,1,3
Subgroup_10,38,37,1.60167469938172,Core,"Sediment, Natural, Saltwater",41,21,0.926829268292683,7
Subgroup_23,37,35,1.36556155980721,Core,"Sediment, Natural, Saltwater",41,21,0.902439024390244,2
Ilumatobacter,41,40,1.32661506255781,Core,"Sediment, Natural, Saltwater",41,21,1,7
MFD_g_251212,40,38,1.23168297551239,Core,"Sediment, Natural, Saltwater",41,21,0.975609756097561,1
MFD_g_3995,40,37,1.00530646025023,Core,"Sediment, Natural, Saltwater",41,21,0.975609756097561,2
Muriicola,33,33,0.968794119078916,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,1
Maribacter,37,33,0.859257095564968,Core,"Sediment, Natural, Saltwater",41,21,0.902439024390244,2
Blastopirellula,41,40,0.805705661847038,Core,"Sediment, Natural, Saltwater",41,21,1,1
MFD_g_12100,39,33,0.693734482255002,Core,"Sediment, Natural, Saltwater",41,21,0.951219512195122,1
Maritimimonas,35,28,0.683997857942651,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
MFD_g_3142,34,30,0.654787985005599,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,2
Rhodopirellula,40,39,0.652353828927511,Core,"Sediment, Natural, Saltwater",41,21,0.975609756097561,2
Ca_Thiobios,35,34,0.647485516771336,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
Cyanobium_PCC-6307,29,24,0.630446424224722,Core,"Sediment, Natural, Saltwater",41,21,0.707317073170732,2
MFD_g_10515,32,29,0.520909400710774,Core,"Sediment, Natural, Saltwater",41,21,0.780487804878049,1
Klebsiella,40,38,0.520909400710773,Core,"Sediment, Natural, Saltwater",41,21,0.975609756097561,2
Desulfosarcina,34,27,0.484397059539458,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
Arcticiflavibacter,34,30,0.484397059539458,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
Urania-1B-19_marine_sediment_group,38,32,0.467357966992844,Core,"Sediment, Natural, Saltwater",41,21,0.926829268292683,1
Sva0996_marine_group,36,32,0.464923810914756,Core,"Sediment, Natural, Saltwater",41,21,0.878048780487805,2
MFD_g_1342,31,24,0.457621342680493,Core,"Sediment, Natural, Saltwater",41,21,0.75609756097561,2
MFD_g_34995,30,26,0.45031887444623,Core,"Sediment, Natural, Saltwater",41,21,0.731707317073171,1
