Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex2,group_size,Core,prevalence,fidelity
Bacillus,113,110,2.03663469521135,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,1,27
Flavobacterium,100,82,0.936180735873386,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.88495575221239,11
Luteolibacter,103,88,0.899086782187837,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.911504424778761,6
Hyphomicrobium,110,105,0.776323459276138,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.973451327433628,15
Clostridium_sensu_stricto_1,102,88,0.743645452457916,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.902654867256637,12
Nocardioides,104,99,0.737463126843658,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.920353982300885,23
MFD_g_782,112,109,0.727748043735538,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.991150442477876,16
Mycobacterium,112,107,0.703018741278505,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.991150442477876,30
Gaiella,109,102,0.695070036917316,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.964601769911504,19
MFD_g_2945,109,103,0.646494621376716,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.964601769911504,6
MFD_g_561,105,91,0.628830833907407,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.929203539823009,3
Clostridium_sensu_stricto_13,79,64,0.618232561425821,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.699115044247788,11
MFD_g_4212,110,103,0.599685584583047,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.973451327433628,5
Nitrospira,99,92,0.544044654054723,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.876106194690266,14
Crenothrix,93,73,0.520198540971156,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.823008849557522,2
MFD_g_2480,109,93,0.469856746683624,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.964601769911504,6
Anaeromyxobacter,90,77,0.468973557310159,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.79646017699115,3
MFD_g_4614,95,78,0.466323989189762,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.84070796460177,3
Pir4_lineage,104,90,0.453959337961246,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.920353982300885,23
Ellin6067,108,94,0.452192959214315,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.955752212389381,8
Desulfobacca,100,82,0.426580467383817,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.88495575221239,5
MFD_g_5535,111,96,0.409799869287973,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.982300884955752,17
CL500-29_marine_group,104,87,0.401851164926784,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.920353982300885,12
Ilumatobacter,95,75,0.371822726228958,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.84070796460177,11
MFD_g_2750,97,80,0.367406779361631,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.858407079646018,3
MFD_g_8542,100,85,0.367406779361631,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.88495575221239,2
MFD_g_8204,102,81,0.359458075000442,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.902654867256637,17
MFD_g_657,80,62,0.347093423771925,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.707964601769912,3
Pedomicrobium,96,79,0.33649515129034,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.849557522123894,14
Pirellula,103,83,0.33649515129034,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.911504424778761,9
MFD_g_6,94,77,0.327663257555685,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.831858407079646,16
Spirochaeta,87,64,0.325896878808754,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.769911504424779,5
Paenibacillus,97,73,0.306466712592514,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.858407079646018,21
Subgroup_10,102,80,0.304700333845583,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.902654867256637,20
Ferruginibacter,89,64,0.301167576351721,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.787610619469027,4
Arenimonas,76,57,0.298518008231325,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.672566371681416,1
Haliangium,95,76,0.287919735749739,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.84070796460177,27
