fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases
MFD00001	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.27783	55.6771	LIB-MJ050-D8_02_v_LIB-MJ408-E10_04.fastq.gz	24076654	3566731721
MFD00002	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.90344	56.0239	LIB-MJ050-D9_02.fastq.gz	16338954	2446494079
MFD00003	9130	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	11.14956	55.34366	LIB-MJ048-A2_04.fastq.gz	25092472	3750842033
MFD00004	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.27156	55.66642	LIB-MJ050-E3_02.fastq.gz	24932064	3605014595
MFD00005	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	8.3078	55.65267	LIB-MJ044-D2_03.fastq.gz	25648756	3725662936
MFD00006	9130	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	9.9154	56.0287	LIB-MJ050-E10_02.fastq.gz	25446350	3694406614
MFD00007	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	10.17847	56.93668	LIB-MJ050-A12_02.fastq.gz	29967430	4307137089
MFD00008	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.36096	55.60587	LIB-MJ050-B8_02.fastq.gz	26560908	3854942771
MFD00009	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		11.22514	55.45227	LIB-MJ050-A1_02.fastq.gz	23505838	3414310986
MFD00010	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.40661	57.65409	LIB-MJ051-H6_02.fastq.gz	21600476	3172105199
MFD00011	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	10.01156865	57.38581885	LIB-MJ044-D4_03.fastq.gz	27650204	4009783816
MFD00012	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	9.79287	56.79287	LIB-MJ050-F11_02.fastq.gz	25024188	3646158219
MFD00013	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	9.62185	56.82899	LIB-MJ050-A10_02.fastq.gz	27290372	4020441733
MFD00014	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.27082	56.82935	LIB-MJ050-H2_02.fastq.gz	45632038	6383664782
MFD00015	7110	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs	9.82602	56.78806	LIB-MJ051-C12_02.fastq.gz	21052644	3088298341
MFD00016	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.94134	55.38705	LIB-MJ050-B7_02.fastq.gz	29871776	4340994732
MFD00017	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.72784	55.93792	LIB-MJ054-G1_03.fastq.gz	22347742	3333052394
MFD00018	9120	Soil	Natural	Forests	Temperate forests	Beech forests Acidophilous with Ilex	9.77753	56.10538	LIB-MJ050-H9_02.fastq.gz	27098820	3870047317
MFD00019	9160	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest	11.27879	55.26067	LIB-MJ050-A11_02.fastq.gz	30164804	4400847184
MFD00020	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.27531	56.80729	LIB-MJ050-E2_02.fastq.gz	29534544	4283711496
MFD00021	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.90533	55.36789	LIB-MJ050-A7_02.fastq.gz	27442416	4032387755
MFD00022	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	9.23497	55.63553	LIB-MJ050-G2_02.fastq.gz	24175152	3576492125
MFD00023	7220	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs	9.76744	55.93024	LIB-MJ051-H2_02.fastq.gz	22978240	3430712385
MFD00024	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.76711	55.93008	LIB-MJ050-B4_02.fastq.gz	27444000	3918315167
MFD00025	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.79518	55.87478	LIB-MJ050-A4_02.fastq.gz	23738602	3450133634
MFD00026	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	9.6263	56.05531	LIB-MJ050-C9_02.fastq.gz	29241296	4347041043
MFD00027	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.7285	55.9367	LIB-MJ051-H4_02.fastq.gz	28632236	4263494547
MFD00028	6431	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Agricultural meadow (6430 subtype)	11.37823	55.46346	LIB-MJ050-E1_02.fastq.gz	24442554	3596603184
MFD00029	5130	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub	10.25593	56.85213	LIB-MJ050-D11_02.fastq.gz	17402620	2603719316
MFD00030	9160	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest	11.2083	55.45758	LIB-MJ050-H11_02.fastq.gz	27584538	4125355115
MFD00031	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	11.40765	55.41914	LIB-MJ050-C11_02.fastq.gz	20749288	3093879316
MFD00032	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.893109449	57.49172952	LIB-MJ048-C2_04.fastq.gz	21525680	3190692944
MFD00033	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.33657	57.61801	LIB-MJ050-F4_02.fastq.gz	26929794	3928944577
MFD00034	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.851490562	57.15875886	LIB-MJ044-F8_03.fastq.gz	24769072	3430659327
MFD00035	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.81461	56.4414	LIB-MJ051-C7_02.fastq.gz	26009038	3884673025
MFD00036	7220	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs	9.81075	56.44223	LIB-MJ050-E9_02.fastq.gz	25917284	3733061354
MFD00037	7200	Soil	Natural	Bogs, mires and fens	Calcareous fens		9.83868	56.44228	LIB-MJ050-G8_02.fastq.gz	25470232	3752306366
MFD00038	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		9.89698	55.3725	LIB-MJ054-F9_03.fastq.gz	24252734	3604018637
MFD00039	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.87574	55.37323	LIB-MJ050-H4_02.fastq.gz	56128020	8004014767
MFD00040	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.90312	55.36569	LIB-MJ050-F7_02.fastq.gz	29150234	4208422702
MFD00041	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	9.62817	56.05454	LIB-MJ050-B12_02.fastq.gz	22048798	3219435601
MFD00042	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.93004	55.37266	LIB-MJ050-G3_02.fastq.gz	26453430	3913433545
MFD00044	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.93834	55.38715	LIB-MJ050-F5_02.fastq.gz	26109052	3758942179
MFD00045	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.79389	56.40766	LIB-MJ050-F8_02_v_LIB-MJ408-G10_04.fastq.gz	27455908	4041194161
MFD00046	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.93972	55.38535	LIB-MJ050-C4_02.fastq.gz	25577292	3821571046
MFD00048	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.81398	56.44392	LIB-MJ050-B10_02.fastq.gz	26246630	3810028613
MFD00049	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	10.22613	56.86151	LIB-MJ050-A9_02.fastq.gz	25997408	3773149603
MFD00050	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.26982	56.84823	LIB-MJ050-E5_02.fastq.gz	27103688	3934578181
MFD00051	9100	Soil	Natural	Forests	Temperate forests		8.92736	55.56388	LIB-MJ050-D10_02.fastq.gz	16956444	2537497448
MFD00052	9100	Soil	Natural	Forests	Temperate forests		8.91451	55.59741	LIB-MJ050-B1_02_v_LIB-MJ408-A10_04.fastq.gz	18127786	2688509245
MFD00053	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	10.50563	57.48342	LIB-MJ050-H6_02.fastq.gz	26731558	3855830831
MFD00054	5130	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub	10.24873	56.84222	LIB-MJ050-F2_02.fastq.gz	23973184	3457290474
MFD00055	9190	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	8.90629	55.56946	LIB-MJ050-F9_02.fastq.gz	28296276	4077754304
MFD00056	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	8.61135	56.2239	LIB-MJ050-H8_02.fastq.gz	72423150	10466235404
MFD00057	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	11.49394	55.81215	LIB-MJ050-G11_02.fastq.gz	26612596	3958720052
MFD00058	9130	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	11.36659	55.3951	LIB-MJ050-G10_02.fastq.gz	24944514	3710551241
MFD00059	9190	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	8.91961	55.56505	LIB-MJ050-B9_02.fastq.gz	24135300	3488725519
MFD00060	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.91584	56.83841	LIB-MJ050-D1_02.fastq.gz	17914802	2682293879
MFD00061	6400	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows		8.8925	55.6053	LIB-MJ050-H7_02.fastq.gz	34547046	5042533129
MFD00062	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.3637	57.03097	LIB-MJ050-B2_02.fastq.gz	23829676	3441553635
MFD00063	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	11.51726	55.7936	LIB-MJ051-C5_02.fastq.gz	23244078	3471139402
MFD00064	9130	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	11.2816	55.2635	LIB-MJ054-C9_03.fastq.gz	21884234	3255032173
MFD00065	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.33446	55.57446	LIB-MJ050-H10_02.fastq.gz	29139312	4218707275
MFD00066	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	9.3801	55.66116	LIB-MJ050-D5_02.fastq.gz	19057748	2850805222
MFD00067	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		9.29727	55.87475	LIB-MJ050-F6_02.fastq.gz	25924120	3748318224
MFD00068	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.36095	55.87862	LIB-MJ050-A3_02.fastq.gz	29917330	4322510681
MFD00069	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	8.8833	55.6018	LIB-MJ055-G2_04.fastq.gz	25832294	3831824050
MFD00070	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	9.27894	55.58469	LIB-MJ050-G9_02.fastq.gz	31998142	4730038733
MFD00071	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.62928	56.05408	LIB-MJ054-H8_03.fastq.gz	25941094	3860401707
MFD00072	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	11.40823	55.41854	LIB-MJ050-E11_02.fastq.gz	26165430	3795214382
MFD00073	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	9.62278	56.05568	LIB-MJ050-C12_02.fastq.gz	19965940	2985078156
MFD00074	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.30073	55.67859	LIB-MJ050-G4_02.fastq.gz	17772402	2653234849
MFD00075	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.34693	55.60006	LIB-MJ050-D4_02.fastq.gz	17626410	2639359085
MFD00076	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.9242	55.37368	LIB-MJ048-F6_04.fastq.gz	23193070	3464424381
MFD00077	7100	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs		10.22508	56.8589	LIB-MJ048-A4_04.fastq.gz	24182852	3611242576
MFD00078	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	10.20075	56.87155	LIB-MJ055-F9_04.fastq.gz	21954522	3261852781
MFD00079	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.34653	55.56901	LIB-MJ050-B11_02.fastq.gz	24779094	3584694179
MFD00080	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	8.91039	55.5729	LIB-MJ050-B6_02.fastq.gz	25243062	3686359997
MFD00081	1330	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows	9.87626	55.35929	LIB-MJ048-B1_04.fastq.gz	28754730	4297203416
MFD00082	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	9.974	56.79525	LIB-MJ048-C9_04.fastq.gz	25005236	3726500918
MFD00083	5130	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub	8.9002	55.59831	LIB-MJ050-A2_02.fastq.gz	22658786	3302928016
MFD00084	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	9.43894	55.4305	LIB-MJ054-D10_03.fastq.gz	27315842	4056160475
MFD00085	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.30861	57.6228	LIB-MJ050-C2_02.fastq.gz	21484826	3204856817
MFD00086	7110	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs	9.9821	56.79014	LIB-MJ048-B5_04.fastq.gz	27460696	4064093946
MFD00087	9100	Soil	Natural	Forests	Temperate forests		8.91251	55.59291	LIB-MJ050-F1_02.fastq.gz	17689580	2536283474
MFD00088	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.30594	57.6275	LIB-MJ050-B3_02.fastq.gz	22722282	3323044618
MFD00089	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	8.288747359	56.76726363	LIB-MJ051-B12_02.fastq.gz	20842714	3084144488
MFD00090	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	11.40341	55.27277	LIB-MJ050-H1_02.fastq.gz	23272056	3394630335
MFD00091	3130	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	8.481888091	56.99529015	LIB-MJ054-H11_03.fastq.gz	29575518	4344340117
MFD00092	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	8.886989915	57.05494642	LIB-MJ055-H2_04.fastq.gz	21198224	3141140972
MFD00093	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.799110271	56.71661776	LIB-MJ048-B9_04.fastq.gz	30164066	4482867215
MFD00094	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		11.39085	55.46202	LIB-MJ048-B7_04.fastq.gz	31478406	4693554074
MFD00095	3130	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	9.415277998	56.86861734	LIB-MJ054-D3_03.fastq.gz	28177584	4154886679
MFD00096	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.860014546	57.04085179	LIB-MJ054-C2_03.fastq.gz	30790898	4528014035
MFD00097	3130	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	8.329326624	56.87326598	LIB-MJ044-E8_03.fastq.gz	22321482	3148381146
MFD00098	7700	Soil	Natural	Bogs, mires and fens	Wet thicket  (non-habitat type)		11.38659	55.46255	LIB-MJ055-E2_04.fastq.gz	69965022	10454832316
MFD00099	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	8.316557135	56.81869104	LIB-MJ048-H3_04.fastq.gz	22518732	3336952214
MFD00100	3170	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons	8.511604843	56.69892491	LIB-MJ054-A1_03.fastq.gz	27035196	4021721936
MFD00101	3170	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons	8.827516343	56.86828113	LIB-MJ044-D8_03.fastq.gz	25628942	3657161646
MFD00102	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	11.21523	55.45542	LIB-MJ050-D2_02.fastq.gz	15634632	2341860582
MFD00103	7230	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	11.28997	55.40668	LIB-MJ051-C6_02.fastq.gz	24339854	3632172384
MFD00104	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	8.594150706	56.93706833	LIB-MJ055-H1_04.fastq.gz	24314272	3516429396
MFD00105	3100	Sediment	Natural	Freshwater	Standing freshwater		8.315940599	56.83634122	LIB-MJ051-A11_02.fastq.gz	24150032	3543446423
MFD00106	3130	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	8.476376247	56.99630932	LIB-MJ054-B2_03.fastq.gz	27528118	4066230329
MFD00107	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	11.40879	55.31738	LIB-MJ050-A5_02.fastq.gz	30180218	4405822917
MFD00108	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.928697571	56.97581165	LIB-MJ044-G11_03.fastq.gz	24683244	3482289528
MFD00109	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	10.26413432	57.35799579	LIB-MJ055-G4_04.fastq.gz	21213192	3136277907
MFD00110	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	11.2039	55.3642	LIB-MJ050-D7_02.fastq.gz	18180810	2720894500
MFD00111	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.857837977	56.70262512	LIB-MJ055-A6_04.fastq.gz	20564810	3025814153
MFD00112	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	9.801683656	56.72775966	LIB-MJ044-A9_03.fastq.gz	22475086	3091128103
MFD00113	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.799817251	56.68525812	LIB-MJ055-G11_04.fastq.gz	21999316	3225726137
MFD00114	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	10.20501369	57.49810154	LIB-MJ048-B11_04.fastq.gz	28568016	4238945744
MFD00115	7220	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs	11.41903	55.31663	LIB-MJ050-E7_02.fastq.gz	27179946	4014729548
MFD00116	3170	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons	9.170872596	56.88549608	LIB-MJ055-G8_04.fastq.gz	25610634	3801748685
MFD00117	6430	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Hydrophilous tall-herb swamp	11.40555	55.27255	LIB-MJ050-E8_02.fastq.gz	26375052	3879593440
MFD00118	9190	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	8.89843	56.481	LIB-MJ050-G5_02.fastq.gz	29378922	4332599412
MFD00119	91E0	Soil	Natural	Forests	Temperate forests	Alluvial woodland	9.49935	56.12547	LIB-MJ051-A2_02.fastq.gz	24925306	3697966412
