fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases	lib_id
MFD05280	6429	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Other	9.240447322	55.99005669	LIB-MJ139-E7_01.fastq.gz	23935190	3548343881	LIB-MJ139-E7_01
MFD05294	6411	Soil	Agriculture	Fields	Asterids	Asterales, Lettuce	9.240447322	55.99005669	LIB-MJ138-G1_03.fastq.gz	23900564	3520736307	LIB-MJ138-G1_03
MFD07715	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	9.913612316	57.33457102	LIB-MJ175-F6_02.fastq.gz	20202768	2997493830	LIB-MJ175-F6_02
MFD08386	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	9.913612316	57.33457102	LIB-MJ215-D11_01.fastq.gz	23484898	3455274692	LIB-MJ215-D11_01
MFD08303	6429	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Other	9.408349892	56.70837654	LIB-MJ282-H6_03.fastq.gz	27169486	3930738934	LIB-MJ282-H6_03
MFD08409	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	9.235554331	55.18136402	LIB-MJ213-H6_01.fastq.gz	29224882	4307355074	LIB-MJ213-H6_01
MFD05315	6411	Soil	Agriculture	Fields	Asterids	Asterales, Lettuce	9.240447322	55.99005669	LIB-MJ150-D2_03.fastq.gz	27648270	4074491798	LIB-MJ150-D2_03
MFD08391	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	9.235554331	55.18136402	LIB-MJ216-D9_02.fastq.gz	19554406	2888307300	LIB-MJ216-D9_02
MFD08664	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	10.08499343	57.5128811	LIB-MJ253-H7_01.fastq.gz	20391298	2960927932	LIB-MJ253-H7_01
MFD05145	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	8.763379686	55.36108282	LIB-MJ151-E11_04.fastq.gz	26822556	3967901299	LIB-MJ151-E11_04
MFD07849	6429	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Other	9.408349892	56.70837654	LIB-MJ174-E1_01.fastq.gz	24616766	3620542275	LIB-MJ174-E1_01
MFD08564	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	10.07445384	57.15362473	LIB-MJ260-G7_01.fastq.gz	20311144	2927989585	LIB-MJ260-G7_01
MFD07654	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	10.57399287	57.23819821	LIB-MJ176-G8_03.fastq.gz	19622314	2902665332	LIB-MJ176-G8_03
