sample	kmer_uniq	kmer_dist	kmer_total	kmer_max
MFD00392_20	12630282789	14824386496	19928585032	2263768
MFD00392_40	21736900772	26497319264	39857136376	4545838
MFD00392_60	29551383280	36839880895	59785773018	6806999
MFD00392_80	36572078919	46339974517	79714393716	9053483
MFD00392_100	43037924463	55227676542	99642971067	11321759
MFD05176_20	13901852795	15797308521	19883446969	1672545
MFD05176_40	24574296914	28853975220	39767021424	3171262
MFD05176_60	33967151646	40666603529	59650458850	4614388
MFD05176_80	42559882390	51665532330	79534106698	6162664
MFD05176_100	50592865291	62076722896	99417513920	7717074
MFD08497_20	13981737518	15848260626	19828465795	2147895
MFD08497_40	24823845749	29072981459	39656915526	4257681
MFD08497_60	34326633823	41052830362	59485374385	6431165
MFD08497_80	42983672601	52216452290	79313754889	8509683
MFD08497_100	51009535140	62753423337	99142195313	10661191
MFD02416_20	8406944797	10505817984	19877072044	991962
MFD02416_40	14644893834	18303321149	39754156095	2007506
MFD02416_60	20327590236	25342303542	59631249013	3044080
MFD02416_80	25678114542	31941022886	79508263366	4023002
MFD02416_100	30782341471	38229244816	99385277865	5007212
MFD05684_20	8750813568	10894520536	19882182241	975914
MFD05684_40	15129238103	18981211446	39764264078	1981951
MFD05684_60	20885866882	26229505054	59646423330	2970605
MFD05684_80	26278029428	32996101995	79528484195	3932903
MFD05684_100	31408181104	39423102327	99410633216	4902825
MFD01721_20	8087432519	10194313169	19904281136	666851
MFD01721_40	13919834962	17669437345	39808517372	1327107
MFD01721_60	19142184661	24353330875	59712756585	1997097
MFD01721_80	23975017751	30544684921	79617075603	2679775
MFD01721_100	28559757973	36420322583	99521227884	3350482
