sample	kaiju_contig_n	kaiju_contig_bp	kaiju_contig_n50
MFD00392_20	83	1189121	14979
MFD00392_40	262	3707269	15685
MFD00392_60	660	9316472	15939
MFD00392_80	1090	15456703	16106
MFD00392_100	1637	21225565	14099
MFD05176_20	331	2847618	10271
MFD05176_40	1102	8103778	8152
MFD05176_60	2148	14909746	7452
MFD05176_80	3409	23858631	7578
MFD05176_100	4905	33899274	7420
MFD08497_20	953	5614838	6106
MFD08497_40	2923	17954642	6207
MFD08497_60	5683	32424029	5830
MFD08497_80	8800	50230705	5862
MFD08497_100	12419	70474776	5821
MFD02416_20	1178	9289562	9114
MFD02416_40	2602	20942342	9126
MFD02416_60	4214	32688190	8573
MFD02416_80	5876	46575948	8901
MFD02416_100	7470	58220003	8741
MFD05684_20	1571	16037732	12008
MFD05684_40	3568	25681343	7982
MFD05684_60	5683	42496147	8099
MFD05684_80	7736	59317269	8324
MFD05684_100	9839	72658446	8036
MFD01721_20	873	8644147	11948
MFD01721_40	2524	25279499	12225
MFD01721_60	4479	48631475	14601
MFD01721_80	6669	76515864	15914
MFD01721_100	8795	99165284	15054
