sample	melon_contig_otus
MFD00392_100	940
MFD00392_20	216
MFD00392_40	447
MFD00392_60	639
MFD00392_80	798
MFD01721_100	932
MFD01721_20	318
MFD01721_40	530
MFD01721_60	662
MFD01721_80	807
MFD02416_100	929
MFD02416_20	342
MFD02416_40	531
MFD02416_60	675
MFD02416_80	817
MFD05176_100	958
MFD05176_20	203
MFD05176_40	424
MFD05176_60	674
MFD05176_80	817
MFD05684_100	961
MFD05684_20	334
MFD05684_40	563
MFD05684_60	734
MFD05684_80	847
MFD08497_100	976
MFD08497_20	203
MFD08497_40	436
MFD08497_60	625
MFD08497_80	801
