fieldsample_barcode	otu_nov_g	otu_nov_f	otu_nov_o
MFD00001	55	10	0
MFD00002	101	18	0
MFD00003	57	13	0
MFD00004	79	11	1
MFD00005	115	9	0
MFD00006	63	7	0
MFD00007	88	11	0
MFD00008	88	18	0
MFD00009	132	14	1
MFD00010	69	7	0
MFD00011	180	20	0
MFD00012	75	14	0
MFD00013	99	9	0
MFD00014	76	4	0
MFD00015	97	10	0
MFD00016	93	14	1
MFD00017	169	5	1
MFD00018	64	9	0
MFD00019	91	14	0
MFD00020	78	7	0
MFD00021	157	10	1
MFD00022	72	6	0
MFD00023	124	10	1
MFD00024	88	9	0
MFD00025	119	10	1
MFD00026	64	10	0
MFD00027	131	10	2
MFD00028	130	12	1
MFD00029	73	12	2
MFD00030	94	12	0
MFD00031	126	12	1
MFD00032	121	9	0
MFD00033	53	12	0
MFD00034	201	14	1
MFD00035	94	9	0
MFD00036	159	14	1
MFD00037	145	12	0
MFD00038	158	15	1
MFD00039	163	12	1
MFD00040	148	10	1
MFD00041	111	15	1
MFD00042	90	7	2
MFD00044	80	10	0
MFD00045	77	5	1
MFD00046	59	6	0
MFD00048	121	16	1
MFD00049	142	20	1
MFD00050	122	7	0
MFD00051	71	16	0
MFD00052	7	1	0
MFD00053	110	17	1
MFD00054	57	6	0
MFD00055	59	8	0
MFD00056	55	8	0
MFD00057	125	10	2
MFD00058	105	9	0
MFD00059	70	10	0
MFD00060	64	11	0
MFD00061	61	13	0
MFD00062	76	8	0
MFD00063	165	11	1
MFD00064	65	9	0
MFD00065	108	13	1
MFD00066	112	14	1
MFD00067	152	14	0
MFD00068	100	9	0
MFD00069	134	18	0
MFD00070	71	13	0
MFD00071	61	8	0
MFD00072	112	8	0
MFD00073	148	11	0
MFD00074	92	12	1
MFD00075	114	11	0
MFD00076	152	10	1
MFD00077	160	16	1
MFD00078	80	11	0
MFD00079	92	15	1
MFD00080	88	8	0
MFD00081	148	9	1
MFD00082	102	11	0
MFD00083	79	11	0
MFD00084	130	13	1
MFD00085	77	14	0
MFD00086	95	8	0
MFD00087	69	11	0
MFD00088	88	8	0
MFD00089	175	16	2
MFD00090	100	11	0
MFD00091	150	16	0
MFD00092	179	22	1
MFD00093	193	23	0
MFD00094	187	13	1
MFD00095	153	21	0
MFD00096	216	19	0
MFD00097	153	13	0
MFD00098	185	13	1
MFD00099	183	29	1
MFD00100	126	9	1
MFD00101	120	7	0
MFD00102	174	12	1
MFD00103	175	14	2
MFD00104	146	23	0
MFD00105	171	15	1
MFD00106	178	22	0
MFD00107	187	13	1
MFD00108	131	10	0
MFD00109	147	7	1
MFD00110	141	10	1
MFD00111	162	16	0
MFD00112	143	14	0
MFD00113	163	21	0
MFD00114	189	15	2
MFD00115	166	11	1
MFD00116	181	22	0
MFD00117	169	14	1
MFD00118	69	7	0
MFD00119	180	18	1
MFD00120	132	6	1
MFD00121	78	11	1
MFD00122	128	14	1
MFD00123	131	7	1
MFD00124	62	10	0
MFD00125	70	9	0
MFD00126	78	12	0
MFD00127	114	9	1
MFD00128	90	14	0
MFD00129	185	14	1
MFD00130	47	8	1
MFD00131	203	12	0
MFD00132	53	7	0
MFD00133	48	7	0
MFD00134	74	10	0
MFD00135	128	13	0
MFD00136	47	4	0
MFD00137	63	10	0
MFD00138	95	7	0
MFD00142	72	10	0
MFD00143	89	8	0
MFD00144	87	12	0
MFD00145	93	11	0
MFD00146	108	4	0
MFD00147	95	14	0
MFD00148	130	9	1
MFD00149	31	7	0
MFD00150	112	9	0
MFD00151	47	4	0
MFD00152	131	16	1
MFD00154	80	9	0
MFD00155	97	11	0
MFD00156	66	14	0
MFD00157	144	6	0
MFD00158	48	6	0
MFD00159	63	4	0
MFD00160	137	13	0
MFD00161	144	18	1
MFD00162	90	12	1
MFD00163	70	8	0
MFD00164	93	12	0
MFD00165	135	6	1
MFD00166	109	10	0
MFD00198	92	7	1
MFD00199	59	4	0
MFD00200	31	3	0
MFD00201	57	5	1
MFD00202	42	4	0
MFD00203	100	9	0
MFD00204	41	1	0
MFD00205	113	9	0
MFD00206	49	4	0
MFD00207	54	5	0
MFD00208	83	3	0
MFD00209	132	15	1
MFD00210	33	5	0
MFD00211	45	4	0
MFD00212	40	7	0
MFD00215	42	5	1
MFD00216	111	6	1
MFD00217	74	7	0
MFD00220	76	4	0
MFD00221	73	5	1
MFD00222	43	1	0
MFD00223	37	1	0
MFD00224	76	3	0
MFD00226	55	3	0
MFD00227	70	3	0
