bin	contig	len
BL1bin.10	BL1bin.10k141_1770259	2956
BL1bin.6	BL1bin.6k141_2471810	82397
BL1bin.6	BL1bin.6k141_2131664	119922
BL1bin.6	BL1bin.6k141_143684	14823
BL1bin.6	BL1bin.6k141_899290	113816
BL1bin.6	BL1bin.6k141_2395809	26096
BL1bin.6	BL1bin.6k141_2110252	130353
BL1bin.6	BL1bin.6k141_3489994	67192
BL2bin.3	BL2bin.3k141_47742	4573
BL2bin.3	BL2bin.3k141_2046471	5344
BRice_132bin.2	BRice_132bin.2k141_228226	2366
BRice_133bin.1	BRice_133bin.1k141_644272	40628
BRice_133bin.1	BRice_133bin.1k141_515255	36250
BRice_133bin.1	BRice_133bin.1k141_387105	4871
BRice_133bin.1	BRice_133bin.1k141_162214	12920
BRice_133bin.1	BRice_133bin.1k141_440705	5446
BRice_139bin.2	BRice_139bin.2k141_665449	15950
BRice_139bin.2	BRice_139bin.2k141_461	6758
BRice_139bin.2	BRice_139bin.2k141_126814	20843
BRice_139bin.2	BRice_139bin.2k141_546351	42440
BRice_139bin.2	BRice_139bin.2k141_507106	4817
BRice_139bin.2	BRice_139bin.2k141_136566	17752
BRice_139bin.2	BRice_139bin.2k141_143228	13998
BRice_139bin.2	BRice_139bin.2k141_28036	10616
BRice_139bin.2	BRice_139bin.2k141_112269	9476
BRice_139bin.2	BRice_139bin.2k141_661876	8425
BRice_139bin.2	BRice_139bin.2k141_123426	29526
BRice_139bin.5	BRice_139bin.5k141_433449	4404
BRice_140bin.1	BRice_140bin.1k141_728639	2684
BRice_140bin.1	BRice_140bin.1k141_796329	7085
BRice_140bin.1	BRice_140bin.1k141_334067	11358
BRice_140bin.1	BRice_140bin.1k141_189428	5012
BRice_17rbin.1	BRice_17rbin.1k141_869490	244688
BRice_17rbin.1	BRice_17rbin.1k141_988376	103753
BRice_17rbin.3	BRice_17rbin.3k141_2803	13521
BRice_17rbin.3	BRice_17rbin.3k141_664780	23751
BRice_17rbin.3	BRice_17rbin.3k141_864246	33526
BRice_17rbin.3	BRice_17rbin.3k141_995175	27195
BRice_17rbin.7	BRice_17rbin.7k141_946816	44103
BRice_17rbin.7	BRice_17rbin.7k141_225557	28472
BRice_18rbin.9	BRice_18rbin.9k141_1231088	15395
BRice_19rbin.11	BRice_19rbin.11k141_785902	66326
BRice_19rbin.9	BRice_19rbin.9k141_535093	13683
BRice_21rbin.1	BRice_21rbin.1k141_414736	5201
BRice_42rbin.4	BRice_42rbin.4k141_1147226	14054
Cshang1bin.11	Cshang1bin.11k141_393205	11912
Cshang1bin.5	Cshang1bin.5k141_1180363	14930
Cshang1bin.7	Cshang1bin.7k141_194638	6140
Cshang2bin.18	Cshang2bin.18k141_227734	191836
Cshang4bin.10	Cshang4bin.10k141_535417	7929
Cshang5bin.10	Cshang5bin.10k141_561648	11470
Cxia4_Bbin.2	Cxia4_Bbin.2k141_249285	41403
Cxia5_Bbin.7	Cxia5_Bbin.7k141_560630	5512
D1rbin.1	D1rbin.1k141_279741	28245
D1rbin.1	D1rbin.1k141_385331	7535
D1rbin.13	D1rbin.13k141_217436	6484
D1rbin.13	D1rbin.13k141_735777	4952
D1rbin.13	D1rbin.13k141_1303985	4114
D1rbin.13	D1rbin.13k141_1309428	6208
D1rbin.13	D1rbin.13k141_1378212	16815
D1rbin.2	D1rbin.2k141_96272	13520
D1rbin.2	D1rbin.2k141_535753	26205
D1rbin.2	D1rbin.2k141_536248	40967
D1rbin.2	D1rbin.2k141_947742	94443
D1rbin.2	D1rbin.2k141_1348200	147826
D1rbin.2	D1rbin.2k141_1398538	72710
D1rbin.5	D1rbin.5k141_713779	1877
D2rbin.13	D2rbin.13k141_2724413	12865
D2rbin.13	D2rbin.13k141_1065680	33740
D2rbin.14	D2rbin.14k141_987601	49134
D2rbin.14	D2rbin.14k141_989675	41941
D2rbin.14	D2rbin.14k141_1382067	38905
D2rbin.14	D2rbin.14k141_2588067	54057
D2rbin.14	D2rbin.14k141_2259084	25888
D2rbin.3	D2rbin.3k141_2713413	10216
D2rbin.5	D2rbin.5k141_1787245	75030
D2rbin.5	D2rbin.5k141_2604762	138311
D2rbin.5	D2rbin.5k141_1058138	32806
D2rbin.5	D2rbin.5k141_866108	110409
D2rbin.7	D2rbin.7k141_1815	5736
D2rbin.7	D2rbin.7k141_1614037	11828
D2rbin.7	D2rbin.7k141_272219	9965
D2rbin.7	D2rbin.7k141_1870746	15882
D2rbin.7	D2rbin.7k141_720438	2797
D2rbin.7	D2rbin.7k141_534949	8706
D2rbin.9	D2rbin.9k141_662443	38608
D2rbin.9	D2rbin.9k141_2487470	35782
D3rbin.1	D3rbin.1k141_1791857	152291
D3rbin.1	D3rbin.1k141_1989562	109329
D3rbin.1	D3rbin.1k141_2540391	107846
D3rbin.1	D3rbin.1k141_1739800	15469
D3rbin.1	D3rbin.1k141_332927	117507
D3rbin.11	D3rbin.11k141_1776247	19215
D3rbin.11	D3rbin.11k141_1790904	5318
D3rbin.11	D3rbin.11k141_1450150	25084
D3rbin.11	D3rbin.11k141_1828286	10585
D3rbin.11	D3rbin.11k141_1828354	5187
D3rbin.12	D3rbin.12k141_2557447	4937
D3rbin.13	D3rbin.13k141_989312	4045
D3rbin.13	D3rbin.13k141_1696680	22534
D3rbin.14	D3rbin.14k141_866696	7055
D3rbin.17	D3rbin.17k141_2125747	27203
D3rbin.17	D3rbin.17k141_1779676	6618
D3rbin.17	D3rbin.17k141_839309	16785
D3rbin.19	D3rbin.19k141_2297702	10337
D3rbin.19	D3rbin.19k141_222218	5032
D3rbin.20	D3rbin.20k141_680698	3783
D3rbin.3	D3rbin.3k141_623291	11296
D3rbin.3	D3rbin.3k141_640659	46661
D3rbin.4	D3rbin.4k141_183062	66060
D3rbin.4	D3rbin.4k141_1207621	12751
D3rbin.6	D3rbin.6k141_2154363	48466
D3rbin.6	D3rbin.6k141_2511540	17283
D3rbin.9	D3rbin.9k141_1337	25572
D3rbin.9	D3rbin.9k141_380965	17130
D3rbin.9	D3rbin.9k141_202062	26168
D3rbin.9	D3rbin.9k141_2428401	67223
D3rbin.9	D3rbin.9k141_143406	39759
D4rbin.1	D4rbin.1k141_1113840	23652
D4rbin.1	D4rbin.1k141_1116948	8917
D4rbin.1	D4rbin.1k141_43011	23121
D4rbin.1	D4rbin.1k141_1150193	143467
D4rbin.1	D4rbin.1k141_124788	29607
D4rbin.1	D4rbin.1k141_1925460	33233
D4rbin.1	D4rbin.1k141_352184	36824
D4rbin.1	D4rbin.1k141_177397	30682
D4rbin.1	D4rbin.1k141_2157594	22979
D4rbin.1	D4rbin.1k141_2538367	9268
D4rbin.1	D4rbin.1k141_1073255	6443
D4rbin.13	D4rbin.13k141_1255395	3440
D4rbin.13	D4rbin.13k141_1622028	7955
D4rbin.14	D4rbin.14k141_2596114	36022
D4rbin.14	D4rbin.14k141_1718854	149893
D4rbin.14	D4rbin.14k141_1190709	53200
