bin	contig	start	end	strand	rrna
LIB-MJ044-A12_03.10	k127_17307	3262	3355	-	(partial) 5S
LIB-MJ044-A7_03.8	k127_3940	1	1599	-	(partial) 23S
LIB-MJ044-A7_03.8	k127_264397	18983	19099	-	5S
LIB-MJ044-A9_03.1	k127_8009	11106	11222	-	5S
LIB-MJ044-B12_03.1	k127_14361	47	168	-	5S
LIB-MJ044-B12_03.1	k127_14361	415	3338	-	23S
LIB-MJ044-B12_03.1	k127_14361	3570	5044	-	16S
LIB-MJ044-B2_03.12	k127_165290	9	124	+	5S
LIB-MJ044-B2_03.12	k127_216930	1861	1976	-	5S
LIB-MJ044-B2_03.12	k127_172726	1853	1968	-	5S
LIB-MJ044-B2_03.12	k127_173842	21	136	+	5S
LIB-MJ044-B2_03.12	k127_62851	5	120	+	5S
LIB-MJ044-D4_03.4	k127_133595	2757	2870	-	5S
LIB-MJ044-D5_03.7	k127_94270	4	120	+	5S
LIB-MJ044-D6_03.6	k127_198593	1386	1500	-	5S
LIB-MJ044-D8_03.6	k127_123434	16323	16439	-	5S
LIB-MJ044-D8_03.6	k127_123434	16518	18849	-	(partial) 23S
LIB-MJ044-D8_03.6	k127_166925	82	1632	-	16S
LIB-MJ044-E2_03.3	k127_80963	1	592	-	(partial) 16S
LIB-MJ044-E2_03.3	k127_106106	485	600	+	5S
LIB-MJ044-E2_03.6	k127_194713	1596	1712	-	5S
LIB-MJ044-E2_03.7	k127_96587	12230	12346	-	5S
LIB-MJ044-E4_03_v_LIB-MJ404-H11_03.5	k127_84958	6291	9264	-	23S
LIB-MJ044-E4_03_v_LIB-MJ404-H11_03.5	k127_84958	9500	10975	-	16S
LIB-MJ044-E4_03_v_LIB-MJ404-H11_03.5	k127_170390	3193	3312	+	5S
LIB-MJ044-E7_03.5	k127_127986	2493	2608	-	5S
LIB-MJ044-E7_03.5	k127_12298	10	125	+	5S
LIB-MJ044-E7_03.5	k127_118816	1550	1665	-	5S
LIB-MJ044-F1_03.15	k127_332255	2012	2127	-	5S
LIB-MJ044-F2_03.9	k127_104276	218	333	+	5S
LIB-MJ044-F2_03.9	k127_106126	13706	13821	-	5S
LIB-MJ044-F2_03.9	k127_106174	20	135	+	5S
LIB-MJ044-F4_03.8	k127_188837	1915	2499	+	(partial) 16S
LIB-MJ044-F4_03.8	k127_9274	22124	22239	-	5S
LIB-MJ044-G5_03.1	k127_51097	1593	1709	-	5S
LIB-MJ044-H6_03.10	k127_115998	21	133	-	5S
LIB-MJ044-H6_03.10	k127_115998	289	3164	-	23S
LIB-MJ044-H6_03.10	k127_101520	1	966	-	(partial) 16S
LIB-MJ044-H6_03.2	k127_64506	2	117	+	5S
LIB-MJ044-H6_03.9	k127_117711	1	109	+	(5' truncated) 5S
LIB-MJ044-H6_03.9	k127_135012	8971	9081	-	(5' truncated) 5S
LIB-MJ044-H6_03.9	k127_22717	1	650	-	(partial) 16S
LIB-MJ044-H6_03.9	k127_128850	8987	9097	-	(5' truncated) 5S
LIB-MJ048-A10_04.1	k127_55488	3991	4105	-	5S
LIB-MJ048-A10_04.8	k127_101982	1722	1836	-	5S
LIB-MJ048-A1_04.12	k127_55197	2218	2336	-	5S
LIB-MJ048-A2_04.1	k127_152663	572	688	+	5S
LIB-MJ048-A2_04.14	k127_10091	144196	145695	+	16S
LIB-MJ048-A2_04.14	k127_10091	146224	149270	+	23S
LIB-MJ048-A2_04.14	k127_10091	150281	150397	+	5S
LIB-MJ048-A2_04.25	k127_258360	92	208	+	5S
LIB-MJ048-A3_04.10	k127_186638	1	691	-	(partial) 16S
LIB-MJ048-A3_04.10	k127_247126	639	753	+	5S
LIB-MJ048-A6_04.10	k127_103948	7	119	+	5S
LIB-MJ048-A6_04.4	k127_212609	1	1830	-	(partial) 23S
LIB-MJ048-A7_04.10	k127_11673	1630	1722	-	(partial) 5S
LIB-MJ048-A9_04.11	k127_191342	1227	1341	-	5S
LIB-MJ048-A9_04.14	k127_181114	45	161	+	5S
LIB-MJ048-A9_04.14	k127_216283	2804	2920	-	5S
LIB-MJ048-B10_04.14	k127_88558	1	1242	-	(3' truncated) 16S
LIB-MJ048-B10_04.17	k127_45690	353	469	+	5S
LIB-MJ048-B10_04.17	k127_265370	6968	8501	+	16S
LIB-MJ048-B1_04.19	k127_10970	382	498	+	5S
LIB-MJ048-B3_04.7	k127_148363	1886	2002	-	5S
LIB-MJ048-B3_04.7	k127_148363	2102	4496	-	(5' truncated) 23S
LIB-MJ048-B5_04.11	k127_163064	285	401	+	5S
LIB-MJ048-B5_04.3	k127_278084	3953	4070	-	5S
LIB-MJ048-B9_04.5	k127_17311	599	715	+	5S
LIB-MJ048-B9_04.6	k127_51918	12536	12656	-	5S
LIB-MJ048-B9_04.6	k127_51918	12807	15781	-	23S
LIB-MJ048-B9_04.6	k127_51918	16137	17627	-	16S
LIB-MJ048-C12_04.7	k127_229378	1422	1536	-	5S
LIB-MJ048-C1_04.9	k127_35633	2631	2747	-	5S
LIB-MJ048-C2_04.10	k127_71085	173	289	+	5S
LIB-MJ048-C2_04.14	k127_69783	8	121	+	5S
LIB-MJ048-C2_04.14	k127_285772	4831	4944	-	5S
LIB-MJ048-C2_04.20	k127_209411	1	1019	+	(partial) 23S
LIB-MJ048-C2_04.20	k127_209411	1104	1220	+	5S
LIB-MJ048-C5_04.5	k127_81469	15	129	+	5S
LIB-MJ048-D10_04.6	k127_161066	1629	1743	-	5S
LIB-MJ048-D10_04.8	k127_175877	244	357	+	5S
LIB-MJ048-D10_04.8	k127_148048	445	559	+	5S
