bin	contig	len
MFD00008.bin.1.10	contig_19500	433629
MFD00008.bin.1.10	contig_39705	1296838
MFD00008.bin.1.116	contig_22156	397196
MFD00008.bin.1.116	contig_76106	450309
MFD00008.bin.1.117	contig_4297	4227881
MFD00008.bin.1.121	contig_31143	327960
MFD00008.bin.1.123	contig_8367	4864187
MFD00008.bin.1.129	contig_26461	565803
MFD00008.bin.1.129	contig_28170	411921
MFD00008.bin.1.132	contig_31016	668761
MFD00008.bin.1.132	contig_9442	2862869
MFD00008.bin.1.136	contig_13449	433770
MFD00008.bin.1.136	contig_13462	171581
MFD00008.bin.1.136	contig_74906	162619
MFD00008.bin.1.139	contig_14793	1124257
MFD00008.bin.1.139	contig_31699	203910
MFD00008.bin.1.139	contig_34885	298509
MFD00008.bin.1.139	contig_37169	683424
MFD00008.bin.1.139	contig_40962	773636
MFD00008.bin.1.139	contig_4305	490578
MFD00008.bin.1.139	contig_4722	960754
MFD00008.bin.1.14	contig_11578	687509
MFD00008.bin.1.14	contig_11589	489557
MFD00008.bin.1.14	contig_19257	133750
MFD00008.bin.1.142	contig_55129	441602
MFD00008.bin.1.142	contig_8380	188783
MFD00008.bin.1.149	contig_17938	2649296
MFD00008.bin.1.149	contig_29281	956053
MFD00008.bin.1.149	contig_54553	629709
MFD00008.bin.1.15	contig_30673	1147877
MFD00008.bin.1.15	contig_5274	641059
MFD00008.bin.1.15	contig_64999	516791
MFD00008.bin.1.15	contig_90368	289069
MFD00008.bin.1.150	contig_21524	2084478
MFD00008.bin.1.150	contig_30391	476953
MFD00008.bin.1.150	contig_49007	477618
MFD00008.bin.1.150	contig_49017	394954
MFD00008.bin.1.161	contig_12192	127250
MFD00008.bin.1.161	contig_19516	175150
MFD00008.bin.1.161	contig_42407	352984
MFD00008.bin.1.167	contig_31754	568430
MFD00008.bin.1.195	contig_4192	885933
MFD00008.bin.1.195	contig_49443	655759
MFD00008.bin.1.195	contig_75229	517891
MFD00008.bin.1.195	contig_78163	238179
MFD00008.bin.1.197	contig_30169	306727
MFD00008.bin.1.197	contig_7745	1924485
MFD00008.bin.1.203	contig_41203	173681
MFD00008.bin.1.203	contig_50976	430810
MFD00008.bin.1.203	contig_63565	58065
MFD00008.bin.1.215	contig_22944	326987
MFD00008.bin.1.215	contig_23554	1984868
MFD00008.bin.1.215	contig_83083	329536
MFD00008.bin.1.216	contig_50810	596606
MFD00008.bin.1.22	contig_2435	1015809
MFD00008.bin.1.22	contig_3675	1839799
MFD00008.bin.1.221	contig_22683	162680
MFD00008.bin.1.221	contig_28744	337668
MFD00008.bin.1.221	contig_30988	200482
MFD00008.bin.1.221	contig_42952	338036
MFD00008.bin.1.221	contig_53042	460948
MFD00008.bin.1.221	contig_58091	445128
MFD00008.bin.1.221	contig_9575	642064
MFD00008.bin.1.224	contig_42920	380519
MFD00008.bin.1.225	contig_45273	666658
MFD00008.bin.1.228	contig_14615	1783088
MFD00008.bin.1.236	contig_19502	898829
MFD00008.bin.1.236	contig_32163	381585
MFD00008.bin.1.24	contig_12215	1320495
MFD00008.bin.1.30	contig_14314	1085927
MFD00008.bin.1.30	contig_17397	1781009
MFD00008.bin.1.30	contig_55103	892547
MFD00008.bin.1.30	contig_77193	475232
MFD00008.bin.1.34	contig_44796	124322
MFD00008.bin.1.34	contig_46241	37235
MFD00008.bin.1.40	contig_35133	153291
MFD00008.bin.1.45	contig_29880	392238
MFD00008.bin.1.45	contig_39359	201739
MFD00008.bin.1.45	contig_8807	545335
