file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_perc	record_desc
OWC_1921	OWC_1921_k121_2203722	1	0	5386	True	terpene				OWC_1921_k121_2203722
OWC_1921	OWC_1921_k121_7661121	1	0	3722	True	arylpolyene	aryl polyenes	BGC0002008	11	OWC_1921_k121_7661121
OWC_1921	OWC_1921_k121_3137532	1	0	3371	True	arylpolyene				OWC_1921_k121_3137532
OWC_1921	OWC_1921_k121_7533270	1	0	7338	True	NRPS-like				OWC_1921_k121_7533270
OWC_1921	OWC_1921_k121_2693965	1	0	9837	True	terpene				OWC_1921_k121_2693965
OWC_1921	OWC_1921_k121_1426777	1	0	2938	True	NRPS-like				OWC_1921_k121_1426777
OWC_0755	OWC_0755_k121_8215070	1	0	7039	True	RRE-containing				OWC_0755_k121_8215070
OWC_1821	OWC_1821_k121_39423337	1	0	5909	True	terpene				OWC_1821_k121_39423337
OWC_0031	OWC_0031_scaffold_11734	1	0	6660	True	thioamitides				OWC_0031_scaffold_11734
OWC_1785	OWC_1785_k121_4066938	1	0	12590	True	T3PKS				OWC_1785_k121_4066938
OWC_1785	OWC_1785_k121_7410315	1	0	4769	True	HR-T2PKS	simocyclinone D8	BGC0001072	4	OWC_1785_k121_7410315
OWC_1487	OWC_1487_k121_3816608	1	0	12651	True	RRE-containing / lassopeptide				OWC_1487_k121_3816608
OWC_1487	OWC_1487_k121_35008539	1	0	20273	True	NRPS / NRPS-like				OWC_1487_k121_35008539
OWC_1487	OWC_1487_k121_32599247	1	0	9976	True	RRE-containing				OWC_1487_k121_32599247
OWC_1487	OWC_1487_k121_11626468	1	0	15776	True	RRE-containing				OWC_1487_k121_11626468
OWC_1532	OWC_1532_k121_1994221	1	0	10631	True	hydrogen-cyanide				OWC_1532_k121_1994221
OWC_1532	OWC_1532_k121_8367564	1	0	9132	True	T3PKS				OWC_1532_k121_8367564
OWC_0083	OWC_0083_scaffold_2420	1	0	7038	True	RiPP-like				OWC_0083_scaffold_2420
OWC_0643	OWC_0643_k121_1439604	1	0	2773	True	RRE-containing				OWC_0643_k121_1439604
OWC_0643	OWC_0643_k121_12946069	1	0	7654	True	terpene				OWC_0643_k121_12946069
OWC_0643	OWC_0643_k121_16293993	1	0	5362	True	RRE-containing				OWC_0643_k121_16293993
OWC_0643	OWC_0643_k121_18693178	1	0	9499	True	RRE-containing				OWC_0643_k121_18693178
OWC_2341	OWC_2341_scaffold_18538	1	0	3167	True	RiPP-like				OWC_2341_scaffold_18538
OWC_2341	OWC_2341_scaffold_32095	1	0	2509	True	terpene				OWC_2341_scaffold_32095
OWC_2341	OWC_2341_scaffold_113403	1	0	2565	True	NRPS-like				OWC_2341_scaffold_113403
OWC_1560	OWC_1560_k121_7556683	1	0	3968	True	phosphonate				OWC_1560_k121_7556683
OWC_1560	OWC_1560_k121_11033223	1	0	4175	True	RiPP-like				OWC_1560_k121_11033223
OWC_1560	OWC_1560_k121_13817111	1	0	3343	True	T3PKS				OWC_1560_k121_13817111
OWC_1560	OWC_1560_k121_15874838	1	0	3011	True	hydrogen-cyanide				OWC_1560_k121_15874838
OWC_1560	OWC_1560_k121_20346561	1	0	10539	True	NRPS-like				OWC_1560_k121_20346561
OWC_1560	OWC_1560_k121_27520683	1	0	3462	True	arylpolyene				OWC_1560_k121_27520683
