bin	contig	len
LIB-MJ044-A2_03.3	k127_142980	3230
LIB-MJ044-A2_03.3	k127_91880	4602
LIB-MJ044-A2_03.3	k127_61619	9184
LIB-MJ044-A5_03.2	k127_45818	1952
LIB-MJ044-A5_03.2	k127_28707	6018
LIB-MJ044-A5_03.2	k127_35802	4315
LIB-MJ044-A7_03.1	k127_266873	1599
LIB-MJ044-A7_03.8	k127_267009	3099
LIB-MJ044-A9_03.1	k127_28883	8549
LIB-MJ044-A9_03.1	k127_2282	8884
LIB-MJ044-A9_03.1	k127_59543	7605
LIB-MJ044-A9_03.1	k127_62646	18544
LIB-MJ044-A9_03.1	k127_23211	10712
LIB-MJ044-A9_03.1	k127_18176	35942
LIB-MJ044-B12_03.1	k127_15236	4784
LIB-MJ044-B12_03.1	k127_15778	6052
LIB-MJ044-B6_03.7	k127_130547	4206
LIB-MJ044-B7_03.1	k127_182564	8273
LIB-MJ044-C1_03_v_LIB-MJ404-F11_03.2	k127_6305	9323
LIB-MJ044-E2_03.3	k127_177971	3306
LIB-MJ044-E2_03.7	k127_219071	7124
LIB-MJ044-F1_03.15	k127_11552	6695
LIB-MJ044-F1_03.15	k127_101193	4419
LIB-MJ044-F1_03.7	k127_197419	3583
LIB-MJ044-F2_03.13	k127_82812	8918
LIB-MJ044-F2_03.13	k127_10919	14059
LIB-MJ044-F6_03.4	k127_71724	5690
LIB-MJ044-F6_03.4	k127_129451	17480
LIB-MJ044-F9_03.11	k127_64904	4793
LIB-MJ044-F9_03.2	k127_45357	3280
LIB-MJ044-F9_03.2	k127_91074	4219
LIB-MJ044-G5_03.3	k127_74316	2787
LIB-MJ044-G5_03.3	k127_39886	3750
LIB-MJ044-G5_03.3	k127_17433	3640
LIB-MJ044-G6_03.11	k127_73106	3986
LIB-MJ044-H5_03.2	k127_79151	3355
LIB-MJ044-H6_03.9	k127_117711	18265
LIB-MJ044-H6_03.9	k127_68906	12445
LIB-MJ044-H6_03.9	k127_38055	8350
LIB-MJ048-A2_04.20	k127_187016	2304
LIB-MJ048-A2_04.20	k127_187612	2236
LIB-MJ048-A2_04.20	k127_188628	3966
LIB-MJ048-A2_04.20	k127_86414	2712
LIB-MJ048-A3_04.10	k127_242050	4669
LIB-MJ048-A3_04.10	k127_38520	6101
LIB-MJ048-A7_04.10	k127_90370	5775
LIB-MJ048-A7_04.10	k127_13621	8800
LIB-MJ048-A7_04.10	k127_212620	4663
LIB-MJ048-A9_04.14	k127_81780	1629
LIB-MJ048-A9_04.14	k127_35368	1944
LIB-MJ048-B10_04.10	k127_184327	7118
LIB-MJ048-B10_04.10	k127_314679	3610
LIB-MJ048-B10_04.10	k127_246520	8152
LIB-MJ048-B10_04.17	k127_328741	2386
LIB-MJ048-B10_04.21	k127_330862	1621
LIB-MJ048-B10_04.28	k127_116927	2769
LIB-MJ048-B10_04.28	k127_251939	7843
LIB-MJ048-B10_04.28	k127_217442	2021
LIB-MJ048-B12_04.11	k127_11228	2166
LIB-MJ048-B12_04.11	k127_168654	8637
LIB-MJ048-B1_04.19	k127_229472	2938
LIB-MJ048-B1_04.20	k127_123951	2576
