bin	contig	start	end	strand	rrna
MFD00008.bin.1.10	contig_19500	39	155	-	5S
MFD00008.bin.1.10	contig_19500	568	4155	-	23S
MFD00008.bin.1.10	contig_19500	5464	6965	-	16S
MFD00008.bin.1.116	contig_11622	1230528	1232056	-	16S
MFD00008.bin.1.116	contig_61419	158897	159013	-	5S
MFD00008.bin.1.116	contig_61419	159253	162227	-	23S
MFD00008.bin.1.117	contig_4297	621984	622101	-	5S
MFD00008.bin.1.117	contig_4297	622521	625482	-	23S
MFD00008.bin.1.117	contig_4297	626698	628199	-	16S
MFD00008.bin.1.121	contig_22383	732522	732638	-	5S
MFD00008.bin.1.121	contig_22383	732736	736447	-	23S
MFD00008.bin.1.121	contig_22383	736787	738333	-	16S
MFD00008.bin.1.123	contig_8367	209661	209777	-	5S
MFD00008.bin.1.123	contig_8367	1065945	1068923	-	23S
MFD00008.bin.1.123	contig_8367	1069239	1070719	-	16S
MFD00008.bin.1.123	contig_8367	1072014	1072130	+	5S
MFD00008.bin.1.123	contig_8367	1284737	1287715	-	23S
MFD00008.bin.1.123	contig_8367	1404460	1405940	+	16S
MFD00008.bin.1.123	contig_8367	1406334	1406450	+	5S
MFD00008.bin.1.123	contig_8367	1819400	1819516	+	5S
MFD00008.bin.1.123	contig_8367	1923690	1923806	+	5S
MFD00008.bin.1.123	contig_8367	1924127	1927105	-	23S
MFD00008.bin.1.123	contig_8367	1927414	1928894	-	16S
MFD00008.bin.1.123	contig_8367	1933606	1933722	+	5S
MFD00008.bin.1.123	contig_8367	1938029	1941007	-	23S
MFD00008.bin.1.123	contig_8367	1941317	1942797	-	16S
MFD00008.bin.1.123	contig_8367	2519810	2521290	+	16S
MFD00008.bin.1.123	contig_8367	2521600	2524578	+	23S
MFD00008.bin.1.123	contig_8367	3804060	3805540	+	16S
MFD00008.bin.1.123	contig_8367	3805855	3808832	+	23S
MFD00008.bin.1.125	contig_23988	1141156	1142642	+	16S
MFD00008.bin.1.125	contig_23988	1143546	1146377	+	23S
MFD00008.bin.1.125	contig_23988	1146540	1146654	+	5S
MFD00008.bin.1.128	contig_8063	79565	81080	+	16S
MFD00008.bin.1.128	contig_8063	81408	84610	+	23S
MFD00008.bin.1.128	contig_8063	84739	84855	+	5S
MFD00008.bin.1.129	contig_26461	32893	33009	-	5S
MFD00008.bin.1.129	contig_26461	33104	36119	-	23S
MFD00008.bin.1.129	contig_26461	36621	38178	-	16S
MFD00008.bin.1.131	contig_93650	722	2208	-	16S
MFD00008.bin.1.132	contig_9442	1153698	1153814	-	5S
MFD00008.bin.1.132	contig_9442	1154143	1157103	-	23S
MFD00008.bin.1.132	contig_9442	1158109	1159611	-	16S
MFD00008.bin.1.136	contig_13449	431609	433095	+	16S
MFD00008.bin.1.136	contig_13453	11650	13135	+	16S
MFD00008.bin.1.136	contig_13453	14012	16747	+	23S
MFD00008.bin.1.136	contig_13453	16470	17956	+	16S
MFD00008.bin.1.136	contig_13453	18850	21671	+	23S
MFD00008.bin.1.136	contig_13453	21757	21871	+	5S
MFD00008.bin.1.139	contig_4722	267269	267385	-	5S
MFD00008.bin.1.139	contig_4722	267717	271210	-	23S
MFD00008.bin.1.139	contig_4722	272500	274001	-	16S
MFD00008.bin.1.14	contig_11589	3490	4991	+	16S
MFD00008.bin.1.14	contig_11589	5860	8822	+	23S
MFD00008.bin.1.14	contig_11589	9196	9312	+	5S
MFD00008.bin.1.142	contig_5869	80429	81928	+	16S
MFD00008.bin.1.142	contig_5869	82804	85724	+	23S
MFD00008.bin.1.142	contig_5869	86038	86153	+	5S
MFD00008.bin.1.145	contig_48582	1	1966	-	(partial) 23S
MFD00008.bin.1.145	contig_48582	2182	3732	-	16S
MFD00008.bin.1.145	contig_7986	1	1010	+	(partial) 23S
MFD00008.bin.1.145	contig_7986	1075	1191	+	5S
MFD00008.bin.1.149	contig_17938	699762	701262	+	16S
MFD00008.bin.1.149	contig_17938	701955	704900	+	23S
MFD00008.bin.1.149	contig_17938	705032	705148	+	5S
MFD00008.bin.1.149	contig_17938	708380	708496	+	5S
MFD00008.bin.1.15	contig_22450	1827484	1827600	-	5S
MFD00008.bin.1.15	contig_22450	1827743	1830690	-	23S
MFD00008.bin.1.15	contig_30264	131825	133358	-	16S
MFD00008.bin.1.150	contig_31418	98906	99020	-	5S
MFD00008.bin.1.150	contig_31418	99158	102003	-	23S
MFD00008.bin.1.150	contig_31418	102926	104414	-	16S
MFD00008.bin.1.161	contig_19503	413	529	-	5S
MFD00008.bin.1.161	contig_19503	881	3844	-	23S
MFD00008.bin.1.161	contig_19503	5013	6514	-	16S
MFD00008.bin.1.165	contig_23981	110825	112311	+	16S
MFD00008.bin.1.165	contig_23981	113251	116072	+	23S
MFD00008.bin.1.165	contig_23981	116186	116300	+	5S
MFD00008.bin.1.167	contig_31754	170241	170360	-	5S
MFD00008.bin.1.167	contig_9281	178998	181994	-	23S
MFD00008.bin.1.167	contig_9281	182150	183626	-	16S
MFD00008.bin.1.168	contig_63438	119	1665	+	16S
MFD00008.bin.1.168	contig_63438	2133	5870	+	23S
MFD00008.bin.1.168	contig_63438	5964	6080	+	5S
MFD00008.bin.1.195	contig_20930	198389	199875	+	16S
MFD00008.bin.1.197	contig_11588	306903	308404	+	16S
MFD00008.bin.1.197	contig_11588	309297	312261	+	23S
MFD00008.bin.1.197	contig_11588	312461	312577	+	5S
MFD00008.bin.1.203	contig_32095	8470	8584	-	5S
MFD00008.bin.1.203	contig_32095	8691	11439	-	23S
MFD00008.bin.1.203	contig_32095	12172	13664	-	16S
MFD00008.bin.1.21	contig_15495	1366575	1368107	+	16S
MFD00008.bin.1.21	contig_15495	1368536	1371765	+	23S
MFD00008.bin.1.21	contig_15495	1372625	1372741	+	5S
MFD00008.bin.1.215	contig_25600	354623	354735	-	5S
MFD00008.bin.1.216	contig_24955	762832	762948	-	5S
MFD00008.bin.1.216	contig_24955	763318	766279	-	23S
MFD00008.bin.1.216	contig_24955	767780	769296	-	16S
MFD00008.bin.1.22	contig_2436	192700	192816	-	5S
MFD00008.bin.1.22	contig_2436	192917	196115	-	23S
MFD00008.bin.1.22	contig_2436	196428	197942	-	16S
MFD00008.bin.1.221	contig_11603	83847	83963	-	5S
MFD00008.bin.1.221	contig_11603	84469	87423	-	23S
MFD00008.bin.1.221	contig_11603	88314	89815	-	16S
MFD00008.bin.1.224	contig_27300	793662	795199	-	16S
MFD00008.bin.1.224	contig_42920	293090	293206	-	5S
MFD00008.bin.1.224	contig_42920	293429	296376	-	23S
MFD00008.bin.1.225	contig_45068	356408	357937	-	16S
MFD00008.bin.1.225	contig_57752	214211	217807	+	23S
MFD00008.bin.1.225	contig_57752	218136	218252	+	5S
MFD00008.bin.1.228	contig_50465	27591	27708	-	5S
MFD00008.bin.1.228	contig_50465	28084	31472	-	23S
MFD00008.bin.1.228	contig_50465	33005	34507	-	16S
MFD00008.bin.1.234	contig_23985	93381	94867	+	16S
MFD00008.bin.1.234	contig_23985	95730	98568	+	23S
MFD00008.bin.1.234	contig_23985	98757	98871	+	5S
MFD00008.bin.1.236	contig_19502	57864	57980	-	5S
MFD00008.bin.1.236	contig_19502	58291	61250	-	23S
MFD00008.bin.1.236	contig_19502	62523	64024	-	16S
MFD00008.bin.1.24	contig_27039	1	925	+	(partial) 23S
MFD00008.bin.1.24	contig_27039	1134	1251	+	5S
MFD00008.bin.1.24	contig_27044	1	998	-	(partial) 23S
MFD00008.bin.1.24	contig_27044	1734	3299	-	16S
MFD00008.bin.1.30	contig_14314	1469	1584	-	5S
MFD00008.bin.1.30	contig_14314	1719	6026	-	23S
MFD00008.bin.1.30	contig_14314	6585	8122	-	16S
MFD00008.bin.1.34	contig_17396	272099	272215	-	5S
MFD00008.bin.1.34	contig_17396	272464	276047	-	23S
