bin	contig	start	end	strand	rrna
2019_TBCBL-01_bin.20.purify	2019_TBCBL-01_bin.20.purify_k141_438951	3343	3442	-	(5' truncated) 5S
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_617547	1	1224	-	(partial) 16S
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_116689	24	137	+	5S
2019_TBCBL-01_bin.31.purify	2019_TBCBL-01_bin.31.purify_k141_403738	22187	22832	+	(partial) 16S
2019_TBCBL-01_bin.31.purify	2019_TBCBL-01_bin.31.purify_k141_541904	9810	9924	-	5S
2019_TBCBL-01_bin.39.purify	2019_TBCBL-01_bin.39.purify_k141_367122	12109	12221	-	5S
2019_TBCBL-01_bin.53.purify	2019_TBCBL-01_bin.53.purify_k141_417204	5579	5690	-	5S
2019_TBCBL-01_bin.55.purify	2019_TBCBL-01_bin.55.purify_k141_491293	2518	3195	+	(partial) 16S
2019_TBCBL-01_bin.56.purify	2019_TBCBL-01_bin.56.purify_k141_114087	14546	14657	-	5S
2019_TBCBL-01_bin.8.purify	2019_TBCBL-01_bin.8.purify_k141_208167	21	134	+	5S
2019_TBCBL-02_bin.11.purify	2019_TBCBL-02_bin.11.purify_k141_187176	302	414	+	5S
2019_TBCBL-02_bin.11.purify	2019_TBCBL-02_bin.11.purify_k141_191357	4172	4284	-	5S
2019_TBCBL-02_bin.33.purify	2019_TBCBL-02_bin.33.purify_k141_456429	29	139	+	5S
2019_TBCBL-02_bin.33.purify	2019_TBCBL-02_bin.33.purify_k141_661797	29	139	+	5S
2019_TBCBL-02_bin.47.purify	2019_TBCBL-02_bin.47.purify_k141_302590	2896	3007	-	5S
2019_TBCBL-02_bin.50.purify	2019_TBCBL-02_bin.50.purify_k141_31688	503	619	-	5S
2019_TBCBL-02_bin.50.purify	2019_TBCBL-02_bin.50.purify_k141_457297	79	1625	-	16S
2019_TBCBL-04_bin.28.purify	2019_TBCBL-04_bin.28.purify_k141_95132	334	444	+	5S
2019_TBCBL-04_bin.28.purify	2019_TBCBL-04_bin.28.purify_k141_293915	356	466	+	5S
2019_TBCBL-04_bin.29.purify	2019_TBCBL-04_bin.29.purify_k141_98201	9619	9712	-	(partial) 5S
2019_TBCBL-04_bin.29.purify	2019_TBCBL-04_bin.29.purify_k141_422708	1	94	+	(partial) 5S
2019_TBCBL-04_bin.3.purify	2019_TBCBL-04_bin.3.purify_k141_41835	1	83	+	(partial) 5S
2019_TBCBL-04_bin.3.purify	2019_TBCBL-04_bin.3.purify_k141_94478	11410	12943	+	16S
