bin	phylum	class	order	family	genus	species	novelty
MFD01689.bin.1.29	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAKLIN01	s_novel_1_1	Species
MFD00709.bin.2.157	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	s_novel_10_0	Species
MFD04716.bin.2.164	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanoregula	s_novel_100_0	Species
MFD00032.bin.2.31	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	JARKPB01	s_novel_1000_1	Species
MFD04716.bin.2.60	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	g_novel_bac_112	s_novel_1000_2	Genus
MFD00032.bin.1.149	Bacteroidota	UBA10030	UBA10030	UBA6906	UBA6906	s_novel_10000_1	Species
MFD05942.bin.1.109	Bacteroidota	UBA10030	UBA10030	UBA6906	UBA6906	s_novel_10000_2	Species
MFD01872.bin.1.283	Bacteroidota	UBA10030	UBA10030	UBA6906	g_novel_bac_1729	s_novel_10001_0	Genus
MFD01872.bin.1.311	Bacteroidota	UBA10030	UBA10030	UBA6906	g_novel_bac_1729	s_novel_10002_0	Genus
MFD05942.bin.1.94	Bacteroidota	UBA10030	UBA10030	UBA6906	g_novel_bac_1729	s_novel_10003_0	Genus
MFD05942.bin.1.310	Bacteroidota	UBA10030	UBA10030	UBA6906	Fen-1255	s_novel_10004_0	Species
MFD05942.bin.1.74	Bacteroidota	UBA10030	UBA10030	UBA6906	Fen-1255	s_novel_10005_0	Species
MFD02979.bin.3.125	Bacteroidota	UBA10030	UBA10030	UBA6906	UBA6906	s_novel_10006_0	Species
MFD00032.bin.2.15	Bacteroidota	UBA10030	UBA10030	UBA6906	g_novel_bac_1725	s_novel_10007_0	Genus
MFD04716.bin.1.116	Bacteroidota	UBA10030	UBA10030	UBA6906	g_novel_bac_1725	s_novel_10008_0	Genus
MFD05674.bin.2.33	Electryoneota	RPQS01	RPQS01	RPQS01	g_novel_bac_1754	s_novel_10009_0	Genus
MFD00709.bin.2.144	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	g_novel_bac_112	s_novel_1001_0	Genus
MFD08669.bin.1.13	Bacillota	Bacilli	Thermoactinomycetales	Novibacillaceae	Novibacillus	Novibacillus thermophilus	Known
MFD01275.bin.2.168	Armatimonadota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	g_novel_bac_609	s_novel_10011_1	Genus
MFD00032.bin.c.1	Elusimicrobiota	Elusimicrobia	2-01-FULL-59-12	2-01-FULL-59-12	g_novel_bac_1576	s_novel_10012_0	Genus
MFD09603.bin.1.268	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10013_0	Species
