bin	contig	start	end	strand	rrna
2012990006_1	2012990006.a:JC3AJCVIAssemblies_1106445189145	23908	24028	-	5S
2013843002_1	2013843002.a:DCKB1_C3126	8596	10116	+	16S
2013843002_1	2013843002.a:DCKB1_C3126	10490	13434	+	23S
2013843002_1	2013843002.a:DCKB1_C3126	13498	13614	+	5S
2022920002_3	2022920002.a:YNPsite03_CeleraDRAF_scf1118686649184	99305	102391	-	23S
2022920002_3	2022920002.a:YNPsite03_CeleraDRAF_scf1118686649184	102576	104079	-	16S
2022920002_3	2022920002.a:YNPsite03_CeleraDRAF_scf1118686649184	403611	403730	-	5S
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098878	1385992	1387455	+	16S
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098878	1387823	1389191	+	16S
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098878	1388014	1388135	+	5S
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098878	1389563	1392474	+	23S
2025206003_7	2025206003.a:LTJ07As871_J07ABscf098848	30448	30562	+	5S
2025206003_7	2025206003.a:LTJ07As871_J07ABscf098840	61724	63210	-	16S
2025206003_8	2025206003.a:LTJ07As871_J07ABscf098837	31247	32669	+	16S
2025206003_8	2025206003.a:LTJ07As871_J07ABscf098837	38271	39762	+	16S
2025206003_8	2025206003.a:LTJ07As871_J07ABscf098842	37202	37316	+	5S
2025206003_8	2025206003.a:LTJ07As871_J07ABscf098839	187612	191312	-	23S
2029527003_1	2029527003.a:APTF_contig43825	75134	75245	-	5S
2030936003_1	2030936003.a:ANAMFRP_C7849	1	760	-	(partial) 16S
2032320007_1	2032320007.a:ATED1026_contig23881	24112	24228	-	5S
2035918000_1	2035918000.a:AECF_contig36660	60	175	+	5S
2044078007_2	2044078007.a:SPBFG_contig10127	13560	13673	-	5S
2044078007_2	2044078007.a:SPBFG_contig11548	169	282	+	5S
2044078007_4	2044078007.a:SPBFG_contig00141	49	164	+	5S
2044078007_4	2044078007.a:SPBFG_contig16013	74	189	+	5S
2044078007_4	2044078007.a:SPBFG_contig16345	493	608	+	5S
2044078007_4	2044078007.a:SPBFG_contig16345	780	895	+	5S
2044078007_4	2044078007.a:SPBFG_contig16392	187	302	+	5S
2044078007_4	2044078007.a:SPBFG_contig16001	30413	30528	-	5S
2049941000_36	2049941000.a:900MB_Assembly_NODE_1045825_len_211514_cov_6_577300	67195	68543	+	16S
2049941000_36	2049941000.a:900MB_Assembly_NODE_219321_len_1604791_cov_5_927423	1549712	1551055	+	16S
2049941000_36	2049941000.a:900MB_Assembly_NODE_219321_len_1604791_cov_5_927423	1557420	1557529	+	5S
2049941000_44	2049941000.a:900MB_Assembly_NODE_1027914_len_370283_cov_19_463972	225177	225291	-	5S
2049941000_44	2049941000.a:900MB_Assembly_NODE_1027914_len_370283_cov_19_463972	234531	238461	-	23S
2049941000_44	2049941000.a:900MB_Assembly_NODE_1027914_len_370283_cov_19_463972	238780	240340	-	16S
2049941000_68	2049941000.a:900MB_Assembly_NODE_842793_len_528228_cov_11_479242	99584	99699	+	5S
2049941000_73	2049941000.a:900MB_Assembly_NODE_1045191_len_138695_cov_6_011565	96311	97830	+	16S
2049941000_73	2049941000.a:900MB_Assembly_NODE_1045191_len_138695_cov_6_011565	98251	101298	+	23S
2049941000_73	2049941000.a:900MB_Assembly_NODE_1045191_len_138695_cov_6_011565	101414	101529	+	5S
2049941000_74	2049941000.a:900MB_Assembly_NODE_1046366_len_1339642_cov_15_189746	409597	409715	-	5S
2049941000_74	2049941000.a:900MB_Assembly_NODE_1046366_len_1339642_cov_15_189746	409880	414946	-	23S
2049941000_74	2049941000.a:900MB_Assembly_NODE_1046366_len_1339642_cov_15_189746	413810	415182	-	16S
2049941000_82	2049941000.a:900MB_Assembly_NODE_1038327_len_277060_cov_5_989089	42837	44293	+	16S
2049941000_82	2049941000.a:900MB_Assembly_NODE_1038327_len_277060_cov_5_989089	62280	63785	+	16S
2049941000_82	2049941000.a:900MB_Assembly_NODE_1038327_len_277060_cov_5_989089	63918	67526	+	23S
2049941000_82	2049941000.a:900MB_Assembly_NODE_1038327_len_277060_cov_5_989089	261617	261733	+	5S
2049941000_85	2049941000.a:900MB_Assembly_NODE_1033762_len_107996_cov_4_619060	499	2043	+	16S
2049941000_85	2049941000.a:900MB_Assembly_NODE_1033762_len_107996_cov_4_619060	2902	5687	+	23S
2049941000_85	2049941000.a:900MB_Assembly_NODE_1033762_len_107996_cov_4_619060	5786	5900	+	5S
2049941002_2	2049941002.a:LHMISPF_alex1_c942	1	2142	+	(partial) 23S
2049941002_2	2049941002.a:LHMISPF_alex1_c1594	2861	2977	-	5S
2049941002_2	2049941002.a:LHMISPF_alex1_c930	1	1087	-	(partial) 16S
2049941002_2	2049941002.a:LHMISPF_alex1_c1688	1	598	-	(partial) 16S
2049941002_2	2049941002.a:LHMISPF_alex1_c1209	4372	5164	+	(partial) 16S
2051774008_1	2051774008.a:GSLNARP_contig12727	201	322	+	5S
2061766007_100	2061766007.a:rumenHiSeq_NODE_2618116_len_1213326_cov_3_989461	1206127	1206246	-	5S
2061766007_100	2061766007.a:rumenHiSeq_NODE_113079_len_481580_cov_4_390566	346461	347829	-	16S
2061766007_100	2061766007.a:rumenHiSeq_NODE_113079_len_481580_cov_4_390566	350598	350713	+	5S
2061766007_107	2061766007.a:rumenHiSeq_NODE_3629350_len_58645_cov_2_762077	55127	55239	-	5S
2061766007_107	2061766007.a:rumenHiSeq_NODE_3681302_len_94287_cov_2_702260	79408	80766	-	16S
2061766007_111	2061766007.a:rumenHiSeq_NODE_1076276_len_34137_cov_3_112312	1967	3657	+	16S
2061766007_111	2061766007.a:rumenHiSeq_NODE_1076276_len_34137_cov_3_112312	10023	10137	-	5S
2061766007_111	2061766007.a:rumenHiSeq_NODE_4161928_len_110280_cov_2_683116	49202	49316	+	5S
2061766007_118	2061766007.a:rumenHiSeq_NODE_3548601_len_487096_cov_3_164031	89466	91224	+	16S
2061766007_118	2061766007.a:rumenHiSeq_NODE_3548601_len_487096_cov_3_164031	91806	94806	+	23S
2061766007_118	2061766007.a:rumenHiSeq_NODE_3548601_len_487096_cov_3_164031	95079	95195	+	5S
2061766007_124	2061766007.a:rumenHiSeq_NODE_4300815_len_169710_cov_5_328560	11510	12969	+	16S
2061766007_124	2061766007.a:rumenHiSeq_NODE_4300815_len_169710_cov_5_328560	20555	20676	+	5S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	5287	5405	-	5S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	5570	8299	-	23S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	8868	10281	-	16S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	12193	13685	+	16S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	14324	18161	+	23S
2061766007_144	2061766007.a:rumenHiSeq_NODE_1142263_len_225020_cov_4_148453	18345	18463	+	5S
2061766007_49	2061766007.a:rumenHiSeq_NODE_3886268_len_499230_cov_2_708804	113404	117955	+	23S
2061766007_49	2061766007.a:rumenHiSeq_NODE_1502_len_562652_cov_3_102646	236759	236871	-	5S
2061766007_49	2061766007.a:rumenHiSeq_NODE_1502_len_562652_cov_3_102646	323145	323257	-	5S
2061766007_49	2061766007.a:rumenHiSeq_NODE_1502_len_562652_cov_3_102646	326013	328413	-	16S
2061766007_57	2061766007.a:rumenHiSeq_NODE_498404_len_978722_cov_10_147888	589	697	+	5S
2061766007_57	2061766007.a:rumenHiSeq_NODE_498404_len_978722_cov_10_147888	707807	709531	+	16S
2061766007_57	2061766007.a:rumenHiSeq_NODE_498404_len_978722_cov_10_147888	833792	837723	-	23S
2061766007_57	2061766007.a:rumenHiSeq_NODE_498404_len_978722_cov_10_147888	834308	834420	-	5S
2061766007_65	2061766007.a:rumenHiSeq_NODE_2859513_len_1529587_cov_5_161252	646424	646540	-	5S
2061766007_65	2061766007.a:rumenHiSeq_NODE_2859513_len_1529587_cov_5_161252	646619	649829	-	23S
2061766007_65	2061766007.a:rumenHiSeq_NODE_2859513_len_1529587_cov_5_161252	650243	652024	-	16S
2061766007_67	2061766007.a:rumenHiSeq_NODE_4372830_len_59269_cov_2_757580	3341	4755	+	16S
2061766007_67	2061766007.a:rumenHiSeq_NODE_4372830_len_59269_cov_2_757580	4813	4930	+	5S
2061766007_68	2061766007.a:rumenHiSeq_NODE_4196623_len_163950_cov_5_076602	18568	18684	+	5S
2061766007_68	2061766007.a:rumenHiSeq_NODE_4196623_len_163950_cov_5_076602	156517	158080	+	16S
2061766007_77	2061766007.a:rumenHiSeq_NODE_1810570_len_341568_cov_3_720070	318537	318654	+	5S
2061766007_77	2061766007.a:rumenHiSeq_NODE_1810570_len_341568_cov_3_720070	319885	320002	-	5S
2061766007_77	2061766007.a:rumenHiSeq_NODE_1810570_len_341568_cov_3_720070	320086	320203	-	5S
2061766007_77	2061766007.a:rumenHiSeq_NODE_1810570_len_341568_cov_3_720070	320276	321973	-	16S
2061766007_77	2061766007.a:rumenHiSeq_NODE_3318337_len_646865_cov_4_297829	275188	276837	+	16S
2061766007_77	2061766007.a:rumenHiSeq_NODE_3318337_len_646865_cov_4_297829	277424	277541	+	5S
2061766007_81	2061766007.a:rumenHiSeq_NODE_4372828_len_241079_cov_4_175586	205629	205745	-	5S
2061766007_81	2061766007.a:rumenHiSeq_NODE_4372828_len_241079_cov_4_175586	205845	209462	-	23S
2061766007_81	2061766007.a:rumenHiSeq_NODE_4372828_len_241079_cov_4_175586	216291	217709	-	16S
2061766007_87	2061766007.a:rumenHiSeq_NODE_4238105_len_148344_cov_2_134619	144100	145847	+	16S
2061766007_87	2061766007.a:rumenHiSeq_NODE_4238105_len_148344_cov_2_134619	146081	146198	+	5S
2061766007_87	2061766007.a:rumenHiSeq_NODE_4238105_len_148344_cov_2_134619	146638	146755	+	5S
2061766007_88	2061766007.a:rumenHiSeq_NODE_2807560_len_104442_cov_4_337642	68870	70439	+	16S
2061766007_92	2061766007.a:rumenHiSeq_NODE_3694340_len_424740_cov_4_337997	363331	363443	+	5S
2061766007_92	2061766007.a:rumenHiSeq_NODE_3590184_len_123504_cov_3_726681	1	958	-	(partial) 16S
2061766007_97	2061766007.a:rumenHiSeq_NODE_2134489_len_636853_cov_2_698995	404056	405725	+	16S
2061766007_98	2061766007.a:rumenHiSeq_NODE_3884441_len_306284_cov_5_051296	65322	66953	+	16S
2061766007_98	2061766007.a:rumenHiSeq_NODE_4278134_len_363636_cov_5_034699	142275	143769	-	16S
2061766007_98	2061766007.a:rumenHiSeq_NODE_3689788_len_95302_cov_5_018090	1270	1386	+	5S
2077657019_1	2077657019.a:ASA123_contig00008	161189	161303	-	5S
2077657019_1	2077657019.a:ASA123_contig00028	53537	53651	-	5S
2077657019_1	2077657019.a:ASA123_contig00007	101	215	+	5S
2077657019_1	2077657019.a:ASA123_contig00003	147	261	+	5S
2077657019_1	2077657019.a:ASA123_contig00017	85586	85700	-	5S
2084038008_2	2084038008.a:XAGC_contig09807	7784	7898	-	5S
2084038021_1	2084038021.a:ASA129_contig00602	3433	3549	+	5S
2124908030_5	2124908030.a:A07AB_A07ABscf075397	114693	116048	+	16S
2124908030_5	2124908030.a:A07AB_A07ABscf075397	117338	117459	+	5S
2140918017_3	2140918017.a:Contig_408	154	275	+	5S
2140918017_3	2140918017.a:Contig_141	1	2150	-	(partial) 23S
2140918017_3	2140918017.a:Contig_141	2481	3960	-	16S
2140918017_3	2140918017.a:Contig_8086	176	297	+	5S
2189573022_11	2189573022.a:PRSSG2_Sequence0000001186	12448	12567	-	5S
2189573022_9	2189573022.a:PRSSG2_Sequence0000005973	211	327	+	5S
2189573022_9	2189573022.a:PRSSG2_Sequence0000006905	212	328	+	5S
2189573022_9	2189573022.a:PRSSG2_Sequence0000003134	1	90	+	(partial) 5S
2189573022_9	2189573022.a:PRSSG2_Sequence0000001310	1	99	+	(5' truncated) 5S
