bin	Contig_N50	MAG_status
MFD00008.bin.1.215	455043	MQ
MFD00008.bin.1.91	752961	MQ
MFD00008.bin.2.1	1235182	MQ
MFD00008.bin.2.102	3146098	MQ
MFD00008.bin.2.103	579172	MQ
MFD00008.bin.2.104	403642	MQ
MFD00008.bin.2.115	141133	MQ
MFD00008.bin.2.116	2074716	MQ
MFD00008.bin.2.117	363530	MQ
MFD00008.bin.2.118	134702	MQ
MFD00008.bin.2.120	106936	MQ
MFD00008.bin.2.123	149535	MQ
MFD00008.bin.2.127	729956	MQ
MFD00008.bin.2.129	1348893	MQ
MFD00008.bin.2.132	626583	MQ
MFD00008.bin.2.133	2353867	MQ
MFD00008.bin.2.135	201470	MQ
MFD00008.bin.2.138	1576659	MQ
MFD00008.bin.2.149	785191	MQ
MFD00008.bin.2.151	550863	MQ
MFD00008.bin.2.152	481663	MQ
MFD00008.bin.2.153	947356	MQ
MFD00008.bin.2.164	236189	MQ
MFD00008.bin.2.165	128151	MQ
MFD00008.bin.2.17	3078525	MQ
MFD00008.bin.2.170	1117646	MQ
MFD00008.bin.2.171	186431	MQ
MFD00008.bin.2.178	273556	MQ
MFD00008.bin.2.19	2032566	MQ
MFD00008.bin.2.2	1396826	MQ
MFD00008.bin.2.20	314215	MQ
MFD00008.bin.2.22	834312	MQ
MFD00008.bin.2.26	213091	MQ
MFD00008.bin.2.28	5141344	MQ
MFD00008.bin.2.29	610678	MQ
MFD00008.bin.2.30	464960	MQ
MFD00008.bin.2.35	241408	MQ
MFD00008.bin.2.40	2443144	MQ
MFD00008.bin.2.41	615799	MQ
MFD00008.bin.2.45	522500	MQ
MFD00008.bin.2.49	861381	MQ
MFD00008.bin.2.5	1846868	MQ
MFD00008.bin.2.54	159489	MQ
MFD00008.bin.2.56	183740	MQ
MFD00008.bin.2.63	342981	MQ
MFD00008.bin.2.65	537700	MQ
MFD00008.bin.2.66	408648	MQ
MFD00008.bin.2.70	335323	MQ
MFD00008.bin.2.72	591934	MQ
MFD00008.bin.2.74	91100	MQ
MFD00008.bin.2.80	143367	MQ
MFD00008.bin.2.98	1757557	MQ
MFD00008.bin.3.132	2359028	MQ
MFD00008.bin.3.143	816930	MQ
MFD00008.bin.3.171	316554	MQ
MFD00008.bin.3.313	645309	MQ
MFD00008.bin.3.39	247473	MQ
MFD00008.bin.3.78	457700	MQ
MFD00008.bin.4.505	346963	MQ
MFD00031.bin.1.203	862729	MQ
MFD00031.bin.2.10	412872	MQ
MFD00031.bin.2.102	417789	MQ
MFD00031.bin.2.104	260915	MQ
MFD00031.bin.2.107	312766	MQ
MFD00031.bin.2.11	481041	MQ
MFD00031.bin.2.110	218032	MQ
MFD00031.bin.2.112	550982	MQ
MFD00031.bin.2.114	244502	MQ
MFD00031.bin.2.116	604435	MQ
MFD00031.bin.2.117	228410	MQ
MFD00031.bin.2.119	568449	MQ
MFD00031.bin.2.123	175748	MQ
MFD00031.bin.2.126	380576	MQ
MFD00031.bin.2.135	171311	MQ
MFD00031.bin.2.139	63854	MQ
MFD00031.bin.2.14	438019	MQ
MFD00031.bin.2.140	361720	MQ
MFD00031.bin.2.144	978258	MQ
MFD00031.bin.2.145	2268411	MQ
MFD00031.bin.2.146	712503	MQ
MFD00031.bin.2.147	185618	MQ
MFD00031.bin.2.149	2242221	MQ
MFD00031.bin.2.153	1043503	MQ
MFD00031.bin.2.154	813922	MQ
MFD00031.bin.2.16	953730	MQ
MFD00031.bin.2.164	3244642	MQ
MFD00031.bin.2.166	282296	MQ
MFD00031.bin.2.172	694430	MQ
MFD00031.bin.2.173	606099	MQ
MFD00031.bin.2.175	276462	MQ
MFD00031.bin.2.176	207220	MQ
MFD00031.bin.2.178	1077990	MQ
MFD00031.bin.2.181	440763	MQ
MFD00031.bin.2.19	2082591	MQ
MFD00031.bin.2.23	3381549	MQ
MFD00031.bin.2.24	383915	MQ
MFD00031.bin.2.3	1266500	MQ
MFD00031.bin.2.32	1977785	MQ
MFD00031.bin.2.36	155803	MQ
MFD00031.bin.2.48	378975	MQ
MFD00031.bin.2.49	553328	MQ
MFD00031.bin.2.5	4795655	MQ
MFD00031.bin.2.50	1927490	MQ
MFD00031.bin.2.51	177060	MQ
MFD00031.bin.2.52	415941	MQ
MFD00031.bin.2.58	127783	MQ
MFD00031.bin.2.59	272465	MQ
MFD00031.bin.2.6	842440	MQ
MFD00031.bin.2.61	224721	MQ
MFD00031.bin.2.65	181115	MQ
MFD00031.bin.2.66	163033	MQ
MFD00031.bin.2.7	427583	MQ
MFD00031.bin.2.73	600178	MQ
MFD00031.bin.2.74	526686	MQ
MFD00031.bin.2.75	156607	MQ
MFD00031.bin.2.84	209226	MQ
MFD00031.bin.2.90	255645	MQ
MFD00031.bin.2.92	714272	MQ
MFD00031.bin.2.93	469951	MQ
MFD00031.bin.3.170	184831	MQ
MFD00031.bin.3.182	56885	MQ
MFD00031.bin.3.285	151202	MQ
MFD00031.bin.3.307	214151	MQ
MFD00031.bin.3.59	127543	MQ
MFD00031.bin.3.60	106134	MQ
MFD00031.bin.3.69	517078	MQ
MFD00031.bin.3.7	280067	MQ
MFD00031.bin.3.83	880571	MQ
MFD00031.bin.3.84	93692	MQ
MFD00032.bin.1.209	408529	MQ
MFD00032.bin.1.36	210029	MQ
MFD00032.bin.2.1	120044	MQ
MFD00032.bin.2.104	137016	MQ
MFD00032.bin.2.105	225118	MQ
MFD00032.bin.2.110	415004	MQ
MFD00032.bin.2.121	532979	MQ
MFD00032.bin.2.128	1021900	MQ
MFD00032.bin.2.129	202835	MQ
MFD00032.bin.2.131	293228	MQ
MFD00032.bin.2.132	96592	MQ
MFD00032.bin.2.135	401854	MQ
MFD00032.bin.2.137	116404	MQ
MFD00032.bin.2.138	139008	MQ
MFD00032.bin.2.146	135495	MQ
MFD00032.bin.2.147	292221	MQ
MFD00032.bin.2.149	181081	MQ
MFD00032.bin.2.15	449769	MQ
MFD00032.bin.2.155	141544	MQ
MFD00032.bin.2.158	66991	MQ
MFD00032.bin.2.160	127434	MQ
MFD00032.bin.2.161	147572	MQ
MFD00032.bin.2.163	120238	MQ
MFD00032.bin.2.164	245068	MQ
MFD00032.bin.2.165	125608	MQ
MFD00032.bin.2.166	434381	MQ
MFD00032.bin.2.168	183318	MQ
MFD00032.bin.2.174	166431	MQ
MFD00032.bin.2.178	147477	MQ
MFD00032.bin.2.18	157128	MQ
MFD00032.bin.2.189	312544	MQ
MFD00032.bin.2.19	129104	MQ
MFD00032.bin.2.190	151853	MQ
MFD00032.bin.2.192	675794	MQ
MFD00032.bin.2.194	44177	MQ
MFD00032.bin.2.196	1371261	MQ
MFD00032.bin.2.2	607160	MQ
MFD00032.bin.2.201	198636	MQ
MFD00032.bin.2.202	131531	MQ
MFD00032.bin.2.207	698251	MQ
MFD00032.bin.2.209	150912	MQ
MFD00032.bin.2.210	771068	MQ
MFD00032.bin.2.218	65566	MQ
MFD00032.bin.2.219	92160	MQ
MFD00032.bin.2.221	168773	MQ
MFD00032.bin.2.224	341644	MQ
MFD00032.bin.2.225	387992	MQ
MFD00032.bin.2.227	108588	MQ
MFD00032.bin.2.231	290898	MQ
MFD00032.bin.2.233	391870	MQ
MFD00032.bin.2.234	323589	MQ
MFD00032.bin.2.24	139699	MQ
MFD00032.bin.2.25	217465	MQ
MFD00032.bin.2.26	152947	MQ
MFD00032.bin.2.3	121341	MQ
MFD00032.bin.2.31	508129	MQ
MFD00032.bin.2.33	161227	MQ
MFD00032.bin.2.34	203772	MQ
MFD00032.bin.2.35	466927	MQ
MFD00032.bin.2.39	881969	MQ
MFD00032.bin.2.41	956750	MQ
MFD00032.bin.2.42	382849	MQ
MFD00032.bin.2.43	991493	MQ
MFD00032.bin.2.44	120872	MQ
MFD00032.bin.2.47	283680	MQ
MFD00032.bin.2.48	350897	MQ
MFD00032.bin.2.51	299289	MQ
MFD00032.bin.2.52	85663	MQ
MFD00032.bin.2.54	178021	MQ
MFD00032.bin.2.55	267836	MQ
MFD00032.bin.2.56	125299	MQ
MFD00032.bin.2.57	620021	MQ
MFD00032.bin.2.58	188815	MQ
MFD00032.bin.2.59	1084010	MQ
MFD00032.bin.2.60	126917	MQ
MFD00032.bin.2.63	92793	MQ
MFD00032.bin.2.65	393681	MQ
MFD00032.bin.2.67	104608	MQ
MFD00032.bin.2.68	300268	MQ
MFD00032.bin.2.69	199056	MQ
MFD00032.bin.2.70	162392	MQ
MFD00032.bin.2.71	79846	MQ
MFD00032.bin.2.77	247242	MQ
MFD00032.bin.2.78	208660	MQ
MFD00032.bin.2.8	131471	MQ
MFD00032.bin.2.80	107741	MQ
MFD00032.bin.2.81	128671	MQ
MFD00032.bin.2.86	169184	MQ
MFD00032.bin.2.88	108099	MQ
MFD00032.bin.2.91	126951	MQ
MFD00032.bin.2.92	215420	MQ
MFD00032.bin.2.94	350333	MQ
MFD00032.bin.2.97	149081	MQ
MFD00032.bin.3.102	335260	MQ
MFD00032.bin.3.136	117678	MQ
MFD00032.bin.3.158	102411	MQ
MFD00032.bin.3.166	246652	MQ
MFD00032.bin.3.177	107499	MQ
MFD00032.bin.3.204	341312	MQ
MFD00032.bin.3.205	192674	MQ
MFD00032.bin.3.232	187117	MQ
MFD00032.bin.3.236	102839	MQ
MFD00032.bin.3.254	110839	MQ
MFD00032.bin.3.31	222116	MQ
MFD00032.bin.3.322	143278	MQ
MFD00032.bin.3.335	261157	MQ
MFD00032.bin.3.338	129604	MQ
MFD00032.bin.3.351	74379	MQ
MFD00032.bin.3.371	73996	MQ
MFD00032.bin.3.403	207404	MQ
MFD00032.bin.3.405	103717	MQ
MFD00032.bin.3.452	136323	MQ
MFD00032.bin.3.53	102154	MQ
MFD00032.bin.3.532	155537	MQ
MFD00032.bin.3.64	98795	MQ
MFD00032.bin.3.74	104198	MQ
MFD00032.bin.3.85	52298	MQ
MFD00032.bin.3.97	804916	MQ
MFD00032.bin.4.54	157890	MQ
MFD00072.bin.2.110	137064	MQ
MFD00072.bin.2.112	73246	MQ
MFD00072.bin.2.114	109344	MQ
MFD00072.bin.2.131	345287	MQ
MFD00072.bin.2.166	337620	MQ
MFD00072.bin.2.169	435773	MQ
MFD00072.bin.2.25	98929	MQ
MFD00072.bin.2.49	161032	MQ
MFD00072.bin.2.63	402530	MQ
MFD00072.bin.2.96	198367	MQ
MFD00072.bin.2.98	421244	MQ
MFD00072.bin.3.234	117131	MQ
MFD00082.bin.1.43	913682	MQ
MFD00082.bin.2.1	241149	MQ
MFD00082.bin.2.100	467226	MQ
MFD00082.bin.2.102	935398	MQ
MFD00082.bin.2.104	1443793	MQ
MFD00082.bin.2.107	249850	MQ
MFD00082.bin.2.108	1082931	MQ
MFD00082.bin.2.109	778529	MQ
MFD00082.bin.2.11	1311584	MQ
MFD00082.bin.2.111	989515	MQ
MFD00082.bin.2.115	513031	MQ
MFD00082.bin.2.117	2374784	MQ
MFD00082.bin.2.122	432172	MQ
MFD00082.bin.2.13	285907	MQ
MFD00082.bin.2.14	551084	MQ
MFD00082.bin.2.15	690947	MQ
MFD00082.bin.2.16	390718	MQ
MFD00082.bin.2.17	198734	MQ
MFD00082.bin.2.19	941840	MQ
MFD00082.bin.2.20	1312037	MQ
MFD00082.bin.2.21	488244	MQ
MFD00082.bin.2.22	130303	MQ
MFD00082.bin.2.23	2402006	MQ
MFD00082.bin.2.24	948271	MQ
MFD00082.bin.2.3	810942	MQ
MFD00082.bin.2.31	264033	MQ
MFD00082.bin.2.33	664575	MQ
MFD00082.bin.2.34	591644	MQ
MFD00082.bin.2.35	734434	MQ
MFD00082.bin.2.38	434210	MQ
MFD00082.bin.2.4	1248977	MQ
MFD00082.bin.2.49	816893	MQ
MFD00082.bin.2.52	119471	MQ
MFD00082.bin.2.55	989760	MQ
MFD00082.bin.2.56	6635579	MQ
MFD00082.bin.2.57	2546558	MQ
MFD00082.bin.2.6	525154	MQ
MFD00082.bin.2.60	480680	MQ
MFD00082.bin.2.61	215929	MQ
MFD00082.bin.2.63	1099711	MQ
MFD00082.bin.2.65	778864	MQ
MFD00082.bin.2.67	225857	MQ
MFD00082.bin.2.75	191060	MQ
MFD00082.bin.2.79	111738	MQ
MFD00082.bin.2.81	1938398	MQ
MFD00082.bin.2.82	330916	MQ
MFD00082.bin.2.84	222901	MQ
MFD00082.bin.2.86	1375161	MQ
MFD00082.bin.2.88	335089	MQ
MFD00082.bin.2.9	1514684	MQ
MFD00082.bin.2.91	251899	MQ
MFD00082.bin.2.93	5696626	MQ
MFD00082.bin.2.96	882183	MQ
MFD00082.bin.3.110	199436	MQ
MFD00082.bin.3.17	105867	MQ
MFD00082.bin.3.65	1619652	MQ
MFD00082.bin.3.95	2135175	MQ
MFD00123.bin.2.2	48068	MQ
MFD00123.bin.2.6	34517	MQ
MFD00123.bin.3.2	56439	MQ
MFD00125.bin.1.50	554850	MQ
MFD00125.bin.2.15	250996	MQ
MFD00125.bin.2.36	247820	MQ
MFD00125.bin.2.43	129889	MQ
MFD00125.bin.2.44	160199	MQ
MFD00125.bin.2.47	296176	MQ
MFD00125.bin.2.52	107791	MQ
MFD00125.bin.2.56	471348	MQ
MFD00125.bin.2.61	225046	MQ
MFD00125.bin.2.62	814457	MQ
MFD00125.bin.2.65	460183	MQ
MFD00125.bin.2.70	716493	MQ
MFD00125.bin.2.73	60959	MQ
MFD00125.bin.2.82	352883	MQ
MFD00125.bin.2.84	186410	MQ
MFD00125.bin.2.87	219919	MQ
MFD00125.bin.2.93	48371	MQ
MFD00125.bin.2.97	156621	MQ
MFD00125.bin.2.98	1958747	MQ
MFD00125.bin.3.20	129067	MQ
MFD00125.bin.3.45	70555	MQ
MFD00125.bin.3.95	594405	MQ
MFD00392.bin.1.420	1175953	MQ
MFD00392.bin.2.10	262716	MQ
MFD00392.bin.2.103	317951	MQ
MFD00392.bin.2.108	566644	MQ
MFD00392.bin.2.11	843565	MQ
MFD00392.bin.2.110	370373	MQ
MFD00392.bin.2.112	185713	MQ
MFD00392.bin.2.113	916371	MQ
MFD00392.bin.2.114	1176812	MQ
MFD00392.bin.2.115	288850	MQ
MFD00392.bin.2.118	562946	MQ
MFD00392.bin.2.119	221171	MQ
MFD00392.bin.2.12	188297	MQ
MFD00392.bin.2.120	223648	MQ
MFD00392.bin.2.122	694645	MQ
MFD00392.bin.2.124	538625	MQ
MFD00392.bin.2.125	326553	MQ
MFD00392.bin.2.126	813297	MQ
MFD00392.bin.2.127	277809	MQ
MFD00392.bin.2.129	315011	MQ
MFD00392.bin.2.13	211621	MQ
MFD00392.bin.2.132	650366	MQ
MFD00392.bin.2.134	567657	MQ
MFD00392.bin.2.135	737327	MQ
MFD00392.bin.2.136	245826	MQ
MFD00392.bin.2.137	261841	MQ
MFD00392.bin.2.138	319728	MQ
MFD00392.bin.2.140	102252	MQ
MFD00392.bin.2.141	502119	MQ
MFD00392.bin.2.143	254986	MQ
MFD00392.bin.2.144	310770	MQ
MFD00392.bin.2.145	197948	MQ
MFD00392.bin.2.146	137088	MQ
MFD00392.bin.2.149	206489	MQ
MFD00392.bin.2.15	231407	MQ
MFD00392.bin.2.152	530051	MQ
MFD00392.bin.2.156	237710	MQ
MFD00392.bin.2.160	269069	MQ
MFD00392.bin.2.170	1872246	MQ
MFD00392.bin.2.171	177509	MQ
MFD00392.bin.2.174	263188	MQ
MFD00392.bin.2.175	365234	MQ
MFD00392.bin.2.186	315788	MQ
MFD00392.bin.2.193	203539	MQ
MFD00392.bin.2.194	315985	MQ
MFD00392.bin.2.2	888698	MQ
MFD00392.bin.2.206	699176	MQ
MFD00392.bin.2.213	882741	MQ
MFD00392.bin.2.216	466142	MQ
MFD00392.bin.2.23	482648	MQ
MFD00392.bin.2.235	695383	MQ
MFD00392.bin.2.237	120077	MQ
MFD00392.bin.2.241	179358	MQ
MFD00392.bin.2.245	292636	MQ
MFD00392.bin.2.250	462209	MQ
MFD00392.bin.2.252	366954	MQ
MFD00392.bin.2.254	827223	MQ
MFD00392.bin.2.260	1461513	MQ
MFD00392.bin.2.271	328315	MQ
MFD00392.bin.2.275	352934	MQ
MFD00392.bin.2.276	170386	MQ
MFD00392.bin.2.277	629973	MQ
MFD00392.bin.2.278	1583377	MQ
MFD00392.bin.2.279	150728	MQ
MFD00392.bin.2.280	410911	MQ
MFD00392.bin.2.284	896675	MQ
MFD00392.bin.2.285	301093	MQ
MFD00392.bin.2.289	248247	MQ
MFD00392.bin.2.291	91786	MQ
MFD00392.bin.2.292	379651	MQ
MFD00392.bin.2.294	354081	MQ
MFD00392.bin.2.295	250124	MQ
MFD00392.bin.2.297	449062	MQ
MFD00392.bin.2.300	659635	MQ
MFD00392.bin.2.302	533336	MQ
MFD00392.bin.2.307	421448	MQ
MFD00392.bin.2.313	453299	MQ
MFD00392.bin.2.316	267724	MQ
MFD00392.bin.2.318	451479	MQ
MFD00392.bin.2.319	293040	MQ
MFD00392.bin.2.324	289498	MQ
MFD00392.bin.2.326	893193	MQ
MFD00392.bin.2.330	447700	MQ
MFD00392.bin.2.333	159044	MQ
MFD00392.bin.2.336	125035	MQ
MFD00392.bin.2.340	1751755	MQ
MFD00392.bin.2.342	533582	MQ
MFD00392.bin.2.345	377091	MQ
MFD00392.bin.2.348	182038	MQ
MFD00392.bin.2.353	215353	MQ
MFD00392.bin.2.355	195686	MQ
MFD00392.bin.2.36	817455	MQ
MFD00392.bin.2.360	121026	MQ
MFD00392.bin.2.363	392589	MQ
MFD00392.bin.2.365	171399	MQ
MFD00392.bin.2.371	286996	MQ
MFD00392.bin.2.372	1416261	MQ
MFD00392.bin.2.374	791162	MQ
MFD00392.bin.2.375	141328	MQ
MFD00392.bin.2.381	1115663	MQ
MFD00392.bin.2.384	244285	MQ
MFD00392.bin.2.387	368072	MQ
MFD00392.bin.2.39	281006	MQ
MFD00392.bin.2.40	254806	MQ
MFD00392.bin.2.401	1990961	MQ
MFD00392.bin.2.402	106820	MQ
MFD00392.bin.2.404	349046	MQ
MFD00392.bin.2.405	647379	MQ
MFD00392.bin.2.43	289934	MQ
MFD00392.bin.2.44	283497	MQ
