gene_id	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
MFD01231.bin.1.34.R1.cmag_contig_3_1	MFD01231.bin.1.34.R1.cmag	contig_3	1	184	1230	-1	C	nti:DNFV4_04323		nti:DNFV4_04323 ()  transposase	False	0.517	337.0	5.32e-100								Transposase [PF01548.21]; Transposase IS116/IS110/IS902 family [PF02371.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_2	MFD01231.bin.1.34.R1.cmag	contig_3	2	1374	2210	-1	C	nti:DNFV4_04419		nti:DNFV4_04419 ()  Addiction module toxin RelE	False	0.541	287.0	8.501e-84								Transposase IS200 like [PF01797.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_3	MFD01231.bin.1.34.R1.cmag	contig_3	3	2425	2748	-1	C	pth:PTH_1990	K07464	pth:PTH_1990 (ko:K07464)  Uncharacterized protein	False	0.683	125.0	4.696e-31								Domain of unknown function DUF83 [PF01930.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_4	MFD01231.bin.1.34.R1.cmag	contig_3	4	2741	4000	-1	C	wba:UR17_C0001G0469	K07133	wba:UR17_C0001G0469 (ko:K07133)  putative ATPase (AAA+ superfamily)	False	0.413	293.0	1.875e-83								Domain of unknown function (DUF4143) [PF13635.10]; AAA domain [PF13173.10]; ATPase domain predominantly from Archaea [PF01637.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_5	MFD01231.bin.1.34.R1.cmag	contig_3	5	4561	5202	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_6	MFD01231.bin.1.34.R1.cmag	contig_3	6	5333	5707	-1	C	nti:DNFV4_00043		nti:DNFV4_00043 ()  Rhodanese-like domain-containing protein	False	0.522	126.0	5.387e-31								Rhodanese-like domain [PF00581.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_7	MFD01231.bin.1.34.R1.cmag	contig_3	7	5894	6181	1	C	bgz:XH91_17090	K06218	bgz:XH91_17090 (ko:K06218)  type II toxin-antitoxin system RelE/ParE family toxin	False	0.452	76.0	5.743e-14													0
MFD01231.bin.1.34.R1.cmag_contig_3_8	MFD01231.bin.1.34.R1.cmag	contig_3	8	6184	6429	1	D															Antitoxin Phd_YefM, type II toxin-antitoxin system [PF02604.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_9	MFD01231.bin.1.34.R1.cmag	contig_3	9	6489	7574	-1	C	thug:KNN16_03700	K03575	thug:KNN16_03700 (ko:K03575)  mutY; A/G-specific adenine glycosylase	False	0.465	290.0	1.415e-83								HhH-GPD superfamily base excision DNA repair protein [PF00730.29]; NUDIX domain [PF14815.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_10	MFD01231.bin.1.34.R1.cmag	contig_3	10	7561	8394	-1	C	dte:Dester_0033	K03527	dte:Dester_0033 (ko:K03527)  4-hydroxy-3-methylbut-2-enyl diphosphate reductase	False	0.459	231.0	1.386e-64								LytB protein [PF02401.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_11	MFD01231.bin.1.34.R1.cmag	contig_3	11	8484	8798	-1	C	fso:Fsol_00165	K05524	fso:Fsol_00165 (ko:K05524)  Ferredoxin-2	False	0.537	84.0	8.018e-17								4Fe-4S dicluster domain [PF12838.11]; 4Fe-4S dicluster domain [PF14697.10]; 4Fe-4S dicluster domain [PF13187.10]; 4Fe-4S dicluster domain [PF13247.10]; 4Fe-4S dicluster domain [PF13237.10]; 4Fe-4S binding domain [PF00037.31]; 4Fe-4S binding domain [PF12837.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_12	MFD01231.bin.1.34.R1.cmag	contig_3	12	9268	10074	-1	C	cheb:HH215_08005		cheb:HH215_08005 ()  MBL fold metallo-hydrolase	False	0.322	126.0	8.281999999999998e-29								Metallo-beta-lactamase superfamily [PF00753.31]; Beta-lactamase superfamily domain [PF12706.11]; ODP family beta lactamase [PF19583.3]; Metallo-beta-lactamase superfamily [PF14597.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_13	MFD01231.bin.1.34.R1.cmag	contig_3	13	10078	11145	-1	A	aba:Acid345_0658		aba:Acid345_0658 ()  amidohydrolase 2	True	0.631	426.0	1.419e-130								Amidohydrolase [PF04909.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_14	MFD01231.bin.1.34.R1.cmag	contig_3	14	11165	12013	-1	C	rher:EHE19_006545		rher:EHE19_006545 ()  PIG-L family deacetylase	False	0.628	349.0	2.628e-105													0
MFD01231.bin.1.34.R1.cmag_contig_3_15	MFD01231.bin.1.34.R1.cmag	contig_3	15	12024	13430	-1	A	fpes:NXS98_00020		fpes:NXS98_00020 ()  ROK family protein	True	0.578	514.0	8.642e-159								ROK family [PF00480.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_16	MFD01231.bin.1.34.R1.cmag	contig_3	16	13452	14618	-1	C	whj:H9Q79_05790		whj:H9Q79_05790 ()  Gfo/Idh/MocA family oxidoreductase	False	0.448	267.0	2.874e-75								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.26]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.21]	GH109	GH109 alpha-N-acetylgalactosaminidase (EC 3.2.1.49); beta-N-acetylhexosaminidase (EC 3.2.1.52)	3.2.1.49,3.2.1.52	GH109.hmm	0
MFD01231.bin.1.34.R1.cmag_contig_3_17	MFD01231.bin.1.34.R1.cmag	contig_3	17	14664	15503	-1	C	paun:MJA45_22490		paun:MJA45_22490 ()  sugar phosphate isomerase/epimerase family protein	False	0.619	341.0	1.71e-102								Xylose isomerase-like TIM barrel [PF01261.28]					0
MFD01231.bin.1.34.R1.cmag_contig_3_18	MFD01231.bin.1.34.R1.cmag	contig_3	18	15732	16847	1	A	cheb:HH215_20215		cheb:HH215_20215 ()  DegT/DnrJ/EryC1/StrS family aminotransferase	True	0.53	360.0	1.691e-107								DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.21]; Cys/Met metabolism PLP-dependent enzyme [PF01053.24]; Beta-eliminating lyase [PF01212.25]					0
