file	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_perc	record_desc
LIB-MJ283-H3_04.9	LIB-MJ283-H3_04.9.k127_38299	1	0	7499	True	arylpolyene	APE Vf	BGC0000837	10	LIB-MJ283-H3_04.9.k127_38299
LIB-MJ283-H3_04.9	LIB-MJ283-H3_04.9.k127_39282	1	0	15368	True	betalactone				LIB-MJ283-H3_04.9.k127_39282
LIB-MJ283-H3_04.9	LIB-MJ283-H3_04.9.k127_43406	1	0	4748	True	ranthipeptide				LIB-MJ283-H3_04.9.k127_43406
LIB-MJ283-H3_04.9	LIB-MJ283-H3_04.9.k127_181083	1	0	3590	True	hglE-KS				LIB-MJ283-H3_04.9.k127_181083
LIB-MJ283-H3_04.9	LIB-MJ283-H3_04.9.k127_251720	1	0	3794	True	arylpolyene				LIB-MJ283-H3_04.9.k127_251720
LIB-MJ230-E3_03.8	LIB-MJ230-E3_03.8.k127_61325	1	0	5027	True	RRE-containing				LIB-MJ230-E3_03.8.k127_61325
LIB-MJ230-E3_03.8	LIB-MJ230-E3_03.8.k127_69158	1	0	4573	True	RRE-containing				LIB-MJ230-E3_03.8.k127_69158
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_151782	1	0	10447	True	T3PKS				LIB-MJ193-A2_01.14.k127_151782
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_185157	1	0	2145	True	RRE-containing				LIB-MJ193-A2_01.14.k127_185157
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_275884	1	0	6209	True	ranthipeptide				LIB-MJ193-A2_01.14.k127_275884
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_224548	1	0	2519	True	RiPP-like				LIB-MJ193-A2_01.14.k127_224548
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_136561	1	0	2710	True	betalactone				LIB-MJ193-A2_01.14.k127_136561
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_139905	1	0	1751	True	T1PKS				LIB-MJ193-A2_01.14.k127_139905
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_169750	1	0	1826	True	RiPP-like				LIB-MJ193-A2_01.14.k127_169750
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_261157	1	0	5327	True	lassopeptide				LIB-MJ193-A2_01.14.k127_261157
LIB-MJ193-A2_01.14	LIB-MJ193-A2_01.14.k127_116438	1	0	9231	True	terpene				LIB-MJ193-A2_01.14.k127_116438
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_78957	1	0	49703	True	transAT-PKS	dumulmycin/shuangdaolide A/shuangdaolide C/shuangdaolide B/shuangdaolide D	BGC0002385	9	LIB-MJ197-A8_03.9.k127_78957
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_107056	1	0	3415	True	NRPS				LIB-MJ197-A8_03.9.k127_107056
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_238959	1	0	6576	True	lanthipeptide-class-iii				LIB-MJ197-A8_03.9.k127_238959
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_211244	1	0	24913	True	NRPS	rhizomide A/rhizomide B/rhizomide C	BGC0001758	100	LIB-MJ197-A8_03.9.k127_211244
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_83610	1	0	6225	True	NRPS-like				LIB-MJ197-A8_03.9.k127_83610
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_109516	1	0	7079	True	arylpolyene				LIB-MJ197-A8_03.9.k127_109516
LIB-MJ197-A8_03.9	LIB-MJ197-A8_03.9.k127_212474	1	0	4831	True	T1PKS	kolossin	BGC0001641	100	LIB-MJ197-A8_03.9.k127_212474
