"bin"	"sankey1"	"sankey2"	"sankey3"	"sankey4"
"MFD00008.bin.1.131"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.1.195"	"10 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.1.215"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.1.40"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.1.44"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.1.91"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.1"	"10 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.102"	"Single-contig"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.103"	"50 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.104"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
genus"
"MFD00008.bin.2.105"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.106"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.107"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.11"	"10 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.110"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.111"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.112"	"More than 50
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.113"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.114"	"More than 50
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.115"	"50 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
genus"
"MFD00008.bin.2.116"	"10 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.117"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.118"	"50 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.119"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.120"	"More than 50
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
genus"
"MFD00008.bin.2.121"	"10 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.122"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.123"	"50 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
genus"
"MFD00008.bin.2.124"	"More than 50
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.125"	"10 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.126"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.127"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.128"	"10 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.129"	"10 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.13"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.130"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.131"	"25 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.132"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.133"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.135"	"More than 50
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.136"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.138"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.143"	"More than 50
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.144"	"50 or less
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.148"	"More than 50
contigs"	"MQ"	NA	NA
"MFD00008.bin.2.149"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
"MFD00008.bin.2.151"	"25 or less
contigs"	"MQ"	"Dereplicated
MQ"	"Unassigned
species"
