bin	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	cov	bakta_CDS_all	bakta_CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	barrnap_16S	barrnap_23S	barrnap_5S	uniq_trna_arc	Q_score	MAG_status	gtdb_classification	gtdb_msa	gtdb_ani	gtdb_af	gtdb_red	primary_cluster	secondary_cluster
LIB-MJ334-A8_01.22	85.39	0	0	95.89	0.28	0.913	1118814	311.210766423358	1118814	0.42	1096	1	1118814	68.97909	1041	641	37	21	1	1	1	1	1	1	0	85.39	HQ	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__JABFSX01;s__	78.45	81.25	0.632	0.96241	4714	4714_1
LIB-MJ334-A10_01.4	61.55	0	0	100	1.85	0.936	1020031	314.379310344828	1020031	0.41	1015	1	1020031	49.03678	995	330	47	20	1	1	1	1	1	1	0	61.55	HQ	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__CAIJMI01;s__	66.93	78.87	0.416	0.94092	4633	4633_1
LIB-MJ334-A10_01.47	74.84	0.86	0	96.5	0.3	0.929	998417	261.004198152813	998417	0.4	1191	1	998417	24.675734	1176	588	47	19	1	1	1	1	1	0	0	70.54	HQ	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA12405;f__UBA12405;g__UBA2283;s__	61.07	77.99	0.175	0.93778	4683	4683_1
LIB-MJ305-C6_04.49	70.79	0	0	98.48	0.05	0.9	912256	292.550607287449	1201450	0.49	1235	4	912256	63.667515	1197	642	42	20	1	1	1	1	1	1	0	70.79	HQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	74.74	N/A	N/A	0.83219	155	155_0
LIB-MJ305-C12_04.1	64.25	0.85	0	96.99	0.08	0.919	892176	293.845845845846	956382	0.44	999	2	892176	419.17123	993	304	44	21	1	2	1	1	2	1	0	60	HQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;s__	76.13	79.11	0.264	0.96891	60	60_1
LIB-MJ334-A10_01.65	75.74	0.66	0	100	0.82	0.894	766823	300.006276150628	960874	0.49	956	3	766823	27.191591	919	184	46	20	1	1	1	1	1	1	0	72.44	HQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__UBA1568;s__	76.66	N/A	N/A	0.94742	823	823_1
LIB-MJ334-F9_01.21	64.25	0	0	99.83	0.02	0.915	710317	285.452036793693	710317	0.48	761	1	710317	28.211414	744	199	39	21	1	1	1	1	1	1	0	64.25	HQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;s__	75.59	N/A	N/A	0.93023	69	69_1
LIB-MJ413-G5_01.55	65.53	0.85	0	98.48	0.52	0.922	700895	303.242793791574	888181	0.47	902	2	700895	59.799004	882	261	40	21	1	1	1	1	1	1	0	61.28	HQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;s__	75.17	N/A	N/A	0.92923	68	68_0
LIB-MJ227-F11_02.14	99.95	3.8	10	99.76	3.34	0.89	700845	325.364778487988	4971026	0.56	4537	255	1457547	44.173904	4421	1120	89	22	1	0	1	2	1	1	0	80.95	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__;s__	89.49	N/A	N/A	0.91947	3838	3838_0
LIB-MJ334-G11_01.4	63.39	0	0	99.8	0.24	0.902	557998	277.798994974874	917991	0.47	995	3	557998	298.86356	1001	353	40	21	1	1	1	1	1	1	0	63.39	HQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__;s__	76.7	N/A	N/A	0.84634	65	65_0
