bin	contig	len
2019_TBCBL-01_bin.13.purify	2019_TBCBL-01_bin.13.purify_k141_124050	4777
2019_TBCBL-01_bin.13.purify	2019_TBCBL-01_bin.13.purify_k141_521546	18363
2019_TBCBL-01_bin.20.purify	2019_TBCBL-01_bin.20.purify_k141_196754	8924
2019_TBCBL-01_bin.20.purify	2019_TBCBL-01_bin.20.purify_k141_455635	3578
2019_TBCBL-01_bin.29.purify	2019_TBCBL-01_bin.29.purify_k141_142283	31278
2019_TBCBL-01_bin.29.purify	2019_TBCBL-01_bin.29.purify_k141_266496	56897
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_76287	2725
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_92761	3183
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_112505	1609
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_122116	3638
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_175175	2153
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_298203	7913
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_331560	4373
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_339380	2319
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_361530	2549
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_494084	2759
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_497784	4525
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_502587	3928
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_532479	5696
2019_TBCBL-01_bin.30.purify	2019_TBCBL-01_bin.30.purify_k141_293430	1199
2019_TBCBL-01_bin.31.purify	2019_TBCBL-01_bin.31.purify_k141_168790	105535
2019_TBCBL-01_bin.31.purify	2019_TBCBL-01_bin.31.purify_k141_384980	62961
2019_TBCBL-01_bin.39.purify	2019_TBCBL-01_bin.39.purify_k141_546136	2363
2019_TBCBL-01_bin.6.purify	2019_TBCBL-01_bin.6.purify_k141_221629	12731
