bin	Coding_Density	MAG_status
MFD00008.bin.1.215	0.851	MQ
MFD00008.bin.1.91	0.875	MQ
MFD00008.bin.2.1	0.811	MQ
MFD00008.bin.2.102	0.87	MQ
MFD00008.bin.2.103	0.829	MQ
MFD00008.bin.2.104	0.82	MQ
MFD00008.bin.2.115	0.845	MQ
MFD00008.bin.2.116	0.812	MQ
MFD00008.bin.2.117	0.831	MQ
MFD00008.bin.2.118	0.856	MQ
MFD00008.bin.2.120	0.84	MQ
MFD00008.bin.2.123	0.868	MQ
MFD00008.bin.2.127	0.841	MQ
MFD00008.bin.2.129	0.89	MQ
MFD00008.bin.2.132	0.838	MQ
MFD00008.bin.2.133	0.86	MQ
MFD00008.bin.2.135	0.792	MQ
MFD00008.bin.2.138	0.864	MQ
MFD00008.bin.2.149	0.816	MQ
MFD00008.bin.2.151	0.868	MQ
MFD00008.bin.2.152	0.806	MQ
MFD00008.bin.2.153	0.895	MQ
MFD00008.bin.2.164	0.855	MQ
MFD00008.bin.2.165	0.82	MQ
MFD00008.bin.2.17	0.857	MQ
MFD00008.bin.2.170	0.824	MQ
MFD00008.bin.2.171	0.871	MQ
MFD00008.bin.2.178	0.87	MQ
MFD00008.bin.2.19	0.894	MQ
MFD00008.bin.2.2	0.814	MQ
MFD00008.bin.2.20	0.907	MQ
MFD00008.bin.2.22	0.824	MQ
MFD00008.bin.2.26	0.867	MQ
MFD00008.bin.2.28	0.854	MQ
MFD00008.bin.2.29	0.911	MQ
MFD00008.bin.2.30	0.82	MQ
MFD00008.bin.2.35	0.86	MQ
MFD00008.bin.2.40	0.867	MQ
MFD00008.bin.2.41	0.833	MQ
MFD00008.bin.2.45	0.904	MQ
MFD00008.bin.2.49	0.877	MQ
MFD00008.bin.2.5	0.912	MQ
MFD00008.bin.2.54	0.868	MQ
MFD00008.bin.2.56	0.815	MQ
MFD00008.bin.2.63	0.799	MQ
MFD00008.bin.2.65	0.818	MQ
MFD00008.bin.2.66	0.855	MQ
MFD00008.bin.2.70	0.844	MQ
MFD00008.bin.2.72	0.859	MQ
MFD00008.bin.2.74	0.824	MQ
MFD00008.bin.2.80	0.825	MQ
MFD00008.bin.2.98	0.875	MQ
MFD00008.bin.3.132	0.833	MQ
MFD00008.bin.3.143	0.87	MQ
MFD00008.bin.3.171	0.858	MQ
MFD00008.bin.3.313	0.837	MQ
MFD00008.bin.3.39	0.896	MQ
MFD00008.bin.3.78	0.901	MQ
MFD00008.bin.4.505	0.861	MQ
MFD00031.bin.1.203	0.876	MQ
MFD00031.bin.2.10	0.873	MQ
MFD00031.bin.2.102	0.855	MQ
MFD00031.bin.2.104	0.827	MQ
MFD00031.bin.2.107	0.852	MQ
MFD00031.bin.2.11	0.823	MQ
MFD00031.bin.2.110	0.854	MQ
MFD00031.bin.2.112	0.838	MQ
MFD00031.bin.2.114	0.854	MQ
MFD00031.bin.2.116	0.874	MQ
MFD00031.bin.2.117	0.842	MQ
MFD00031.bin.2.119	0.887	MQ
MFD00031.bin.2.123	0.809	MQ
MFD00031.bin.2.126	0.867	MQ
MFD00031.bin.2.135	0.854	MQ
MFD00031.bin.2.139	0.834	MQ
MFD00031.bin.2.14	0.85	MQ
MFD00031.bin.2.140	0.834	MQ
MFD00031.bin.2.144	0.86	MQ
MFD00031.bin.2.145	0.901	MQ
MFD00031.bin.2.146	0.82	MQ
MFD00031.bin.2.147	0.878	MQ
MFD00031.bin.2.149	0.871	MQ
MFD00031.bin.2.153	0.874	MQ
MFD00031.bin.2.154	0.874	MQ
MFD00031.bin.2.16	0.862	MQ
MFD00031.bin.2.164	0.848	MQ
MFD00031.bin.2.166	0.835	MQ
MFD00031.bin.2.172	0.847	MQ
MFD00031.bin.2.173	0.86	MQ
MFD00031.bin.2.175	0.814	MQ
MFD00031.bin.2.176	0.817	MQ
MFD00031.bin.2.178	0.817	MQ
MFD00031.bin.2.181	0.86	MQ
MFD00031.bin.2.19	0.843	MQ
MFD00031.bin.2.23	0.859	MQ
MFD00031.bin.2.24	0.87	MQ
MFD00031.bin.2.3	0.909	MQ
MFD00031.bin.2.32	0.845	MQ
MFD00031.bin.2.36	0.867	MQ
MFD00031.bin.2.48	0.787	MQ
MFD00031.bin.2.49	0.851	MQ
MFD00031.bin.2.5	0.864	MQ
MFD00031.bin.2.50	0.841	MQ
MFD00031.bin.2.51	0.837	MQ
MFD00031.bin.2.52	0.828	MQ
MFD00031.bin.2.58	0.847	MQ
MFD00031.bin.2.59	0.854	MQ
MFD00031.bin.2.6	0.839	MQ
MFD00031.bin.2.61	0.819	MQ
MFD00031.bin.2.65	0.82	MQ
MFD00031.bin.2.66	0.801	MQ
MFD00031.bin.2.7	0.837	MQ
MFD00031.bin.2.73	0.838	MQ
MFD00031.bin.2.74	0.803	MQ
MFD00031.bin.2.75	0.825	MQ
MFD00031.bin.2.84	0.877	MQ
MFD00031.bin.2.90	0.856	MQ
MFD00031.bin.2.92	0.891	MQ
MFD00031.bin.2.93	0.834	MQ
MFD00031.bin.3.170	0.828	MQ
MFD00031.bin.3.182	0.76	MQ
MFD00031.bin.3.285	0.82	MQ
MFD00031.bin.3.307	0.835	MQ
MFD00031.bin.3.59	0.845	MQ
MFD00031.bin.3.60	0.824	MQ
MFD00031.bin.3.69	0.824	MQ
MFD00031.bin.3.7	0.824	MQ
MFD00031.bin.3.83	0.846	MQ
MFD00031.bin.3.84	0.841	MQ
MFD00032.bin.1.209	0.87	MQ
MFD00032.bin.1.36	0.874	MQ
MFD00032.bin.2.1	0.827	MQ
MFD00032.bin.2.104	0.899	MQ
MFD00032.bin.2.105	0.889	MQ
MFD00032.bin.2.110	0.863	MQ
MFD00032.bin.2.121	0.864	MQ
MFD00032.bin.2.128	0.901	MQ
MFD00032.bin.2.129	0.875	MQ
MFD00032.bin.2.131	0.849	MQ
MFD00032.bin.2.132	0.845	MQ
MFD00032.bin.2.135	0.867	MQ
MFD00032.bin.2.137	0.868	MQ
MFD00032.bin.2.138	0.86	MQ
MFD00032.bin.2.146	0.9	MQ
MFD00032.bin.2.147	0.872	MQ
MFD00032.bin.2.149	0.85	MQ
MFD00032.bin.2.15	0.882	MQ
MFD00032.bin.2.155	0.856	MQ
MFD00032.bin.2.158	0.838	MQ
MFD00032.bin.2.160	0.854	MQ
MFD00032.bin.2.161	0.818	MQ
MFD00032.bin.2.163	0.869	MQ
MFD00032.bin.2.164	0.885	MQ
MFD00032.bin.2.165	0.862	MQ
MFD00032.bin.2.166	0.853	MQ
MFD00032.bin.2.168	0.863	MQ
MFD00032.bin.2.174	0.849	MQ
MFD00032.bin.2.178	0.893	MQ
MFD00032.bin.2.18	0.829	MQ
MFD00032.bin.2.189	0.853	MQ
MFD00032.bin.2.19	0.858	MQ
MFD00032.bin.2.190	0.887	MQ
MFD00032.bin.2.192	0.854	MQ
MFD00032.bin.2.194	0.859	MQ
MFD00032.bin.2.196	0.856	MQ
MFD00032.bin.2.2	0.86	MQ
MFD00032.bin.2.201	0.816	MQ
MFD00032.bin.2.202	0.828	MQ
MFD00032.bin.2.207	0.837	MQ
MFD00032.bin.2.209	0.84	MQ
MFD00032.bin.2.210	0.853	MQ
MFD00032.bin.2.218	0.796	MQ
MFD00032.bin.2.219	0.853	MQ
MFD00032.bin.2.221	0.869	MQ
MFD00032.bin.2.224	0.857	MQ
MFD00032.bin.2.225	0.916	MQ
MFD00032.bin.2.227	0.841	MQ
MFD00032.bin.2.231	0.878	MQ
MFD00032.bin.2.233	0.845	MQ
MFD00032.bin.2.234	0.869	MQ
MFD00032.bin.2.24	0.822	MQ
MFD00032.bin.2.25	0.818	MQ
MFD00032.bin.2.26	0.855	MQ
MFD00032.bin.2.3	0.862	MQ
MFD00032.bin.2.31	0.893	MQ
MFD00032.bin.2.33	0.859	MQ
MFD00032.bin.2.34	0.864	MQ
MFD00032.bin.2.35	0.871	MQ
MFD00032.bin.2.39	0.868	MQ
MFD00032.bin.2.41	0.875	MQ
MFD00032.bin.2.42	0.863	MQ
MFD00032.bin.2.43	0.883	MQ
MFD00032.bin.2.44	0.859	MQ
MFD00032.bin.2.47	0.883	MQ
MFD00032.bin.2.48	0.857	MQ
MFD00032.bin.2.51	0.89	MQ
MFD00032.bin.2.52	0.84	MQ
MFD00032.bin.2.54	0.849	MQ
MFD00032.bin.2.55	0.817	MQ
MFD00032.bin.2.56	0.867	MQ
MFD00032.bin.2.57	0.892	MQ
MFD00032.bin.2.58	0.841	MQ
MFD00032.bin.2.59	0.874	MQ
MFD00032.bin.2.60	0.83	MQ
MFD00032.bin.2.63	0.843	MQ
MFD00032.bin.2.65	0.85	MQ
MFD00032.bin.2.67	0.837	MQ
MFD00032.bin.2.68	0.809	MQ
MFD00032.bin.2.69	0.86	MQ
MFD00032.bin.2.70	0.858	MQ
MFD00032.bin.2.71	0.872	MQ
MFD00032.bin.2.77	0.821	MQ
MFD00032.bin.2.78	0.856	MQ
MFD00032.bin.2.8	0.829	MQ
MFD00032.bin.2.80	0.854	MQ
MFD00032.bin.2.81	0.808	MQ
MFD00032.bin.2.86	0.869	MQ
MFD00032.bin.2.88	0.849	MQ
MFD00032.bin.2.91	0.844	MQ
MFD00032.bin.2.92	0.836	MQ
MFD00032.bin.2.94	0.906	MQ
MFD00032.bin.2.97	0.858	MQ
MFD00032.bin.3.102	0.854	MQ
MFD00032.bin.3.136	0.887	MQ
MFD00032.bin.3.158	0.823	MQ
MFD00032.bin.3.166	0.88	MQ
MFD00032.bin.3.177	0.892	MQ
MFD00032.bin.3.204	0.889	MQ
MFD00032.bin.3.205	0.846	MQ
MFD00032.bin.3.232	0.882	MQ
MFD00032.bin.3.236	0.866	MQ
MFD00032.bin.3.254	0.868	MQ
MFD00032.bin.3.31	0.866	MQ
MFD00032.bin.3.322	0.885	MQ
MFD00032.bin.3.335	0.889	MQ
MFD00032.bin.3.338	0.887	MQ
MFD00032.bin.3.351	0.838	MQ
MFD00032.bin.3.371	0.865	MQ
MFD00032.bin.3.403	0.838	MQ
MFD00032.bin.3.405	0.885	MQ
MFD00032.bin.3.452	0.868	MQ
MFD00032.bin.3.53	0.871	MQ
MFD00032.bin.3.532	0.9	MQ
MFD00032.bin.3.64	0.831	MQ
MFD00032.bin.3.74	0.832	MQ
MFD00032.bin.3.85	0.851	MQ
MFD00032.bin.3.97	0.888	MQ
MFD00032.bin.4.54	0.882	MQ
MFD00072.bin.2.110	0.845	MQ
MFD00072.bin.2.112	0.85	MQ
MFD00072.bin.2.114	0.812	MQ
MFD00072.bin.2.131	0.873	MQ
MFD00072.bin.2.166	0.835	MQ
MFD00072.bin.2.169	0.845	MQ
MFD00072.bin.2.25	0.851	MQ
MFD00072.bin.2.49	0.823	MQ
MFD00072.bin.2.63	0.868	MQ
MFD00072.bin.2.96	0.831	MQ
MFD00072.bin.2.98	0.852	MQ
MFD00072.bin.3.234	0.799	MQ
MFD00082.bin.1.43	0.914	MQ
MFD00082.bin.2.1	0.825	MQ
MFD00082.bin.2.100	0.802	MQ
MFD00082.bin.2.102	0.871	MQ
MFD00082.bin.2.104	0.848	MQ
MFD00082.bin.2.107	0.814	MQ
MFD00082.bin.2.108	0.842	MQ
MFD00082.bin.2.109	0.812	MQ
MFD00082.bin.2.11	0.882	MQ
MFD00082.bin.2.111	0.844	MQ
MFD00082.bin.2.115	0.845	MQ
MFD00082.bin.2.117	0.91	MQ
MFD00082.bin.2.122	0.826	MQ
MFD00082.bin.2.13	0.908	MQ
MFD00082.bin.2.14	0.86	MQ
MFD00082.bin.2.15	0.806	MQ
MFD00082.bin.2.16	0.848	MQ
MFD00082.bin.2.17	0.833	MQ
MFD00082.bin.2.19	0.831	MQ
MFD00082.bin.2.20	0.8	MQ
MFD00082.bin.2.21	0.896	MQ
MFD00082.bin.2.22	0.787	MQ
MFD00082.bin.2.23	0.874	MQ
MFD00082.bin.2.24	0.823	MQ
MFD00082.bin.2.3	0.881	MQ
MFD00082.bin.2.31	0.776	MQ
MFD00082.bin.2.33	0.899	MQ
MFD00082.bin.2.34	0.858	MQ
MFD00082.bin.2.35	0.808	MQ
MFD00082.bin.2.38	0.843	MQ
MFD00082.bin.2.4	0.874	MQ
MFD00082.bin.2.49	0.859	MQ
