bin	contig	len
2012990006_1	2012990006.a:JC3AJCVIAssemblies_1106445189687	72967
2012990006_1	2012990006.a:JC3AJCVIAssemblies_1106445189499	170502
2013843002_1	2013843002.a:DCKB1_C1503	7996
2013843002_1	2013843002.a:DCKB1_C4833	16607
2013843002_1	2013843002.a:DCKB1_C4832	34175
2013843002_1	2013843002.a:DCKB1_C4912	5736
2013843002_1	2013843002.a:DCKB1_C617	9144
2013843002_1	2013843002.a:DCKB1_C2745	8393
2013843002_1	2013843002.a:DCKB1_C2438	18521
2013843002_2	2013843002.a:DCKB1_C268	14437
2013843002_2	2013843002.a:DCKB1_C452	24195
2013843002_2	2013843002.a:DCKB1_C844	16034
2013843002_2	2013843002.a:DCKB1_C4569	38215
2013843002_2	2013843002.a:DCKB1_C165	25461
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098838	254249
2025206003_5	2025206003.a:LTJ07As871_J07ABscf098878	2285274
2025206003_7	2025206003.a:LTJ07As871_J07ABscf098847	468385
2029527003_1	2029527003.a:APTF_contig22044	54764
2029527003_1	2029527003.a:APTF_contig35320	73089
2029527003_1	2029527003.a:APTF_contig37994	6174
2029527003_1	2029527003.a:APTF_contig38812	86055
2030936003_1	2030936003.a:ANAMFRP_C13404	3988
2030936003_1	2030936003.a:ANAMFRP_C6309	3001
2030936003_1	2030936003.a:ANAMFRP_C7761	3819
2030936003_1	2030936003.a:ANAMFRP_C13414	27670
2030936003_1	2030936003.a:ANAMFRP_C5651	27757
2030936003_1	2030936003.a:ANAMFRP_C4201	5522
2030936003_1	2030936003.a:ANAMFRP_C6056	37552
2030936003_1	2030936003.a:ANAMFRP_C3539	18371
2030936003_2	2030936003.a:ANAMFRP_C5850	7893
2030936003_2	2030936003.a:ANAMFRP_C7957	7359
2032320001_1	2032320001.a:PCEOT_contig02314	67674
2032320001_1	2032320001.a:PCEOT_contig02313	67142
2032320007_1	2032320007.a:ATED1026_contig10308	5224
2035918000_1	2035918000.a:AECF_contig34178	181275
2035918000_1	2035918000.a:AECF_contig00402	59123
2035918000_1	2035918000.a:AECF_contig15458	152555
2035918000_1	2035918000.a:AECF_contig00434	134664
2035918000_1	2035918000.a:AECF_contig02884	136545
2035918003_1	2035918003.a:DPOL_contig16908	18526
2035918003_2	2035918003.a:DPOL_contig02732	18090
2035918003_2	2035918003.a:DPOL_contig03704	17828
2035918003_2	2035918003.a:DPOL_contig01896	19080
2044078007_2	2044078007.a:SPBFG_contig08687	7469
2044078007_2	2044078007.a:SPBFG_contig07780	8953
2044078007_4	2044078007.a:SPBFG_contig15941	63285
2049941000_36	2049941000.a:900MB_Assembly_NODE_1022672_len_260683_cov_7_072732	260733
2049941000_36	2049941000.a:900MB_Assembly_NODE_987449_len_179176_cov_7_245200	179226
2049941000_36	2049941000.a:900MB_Assembly_NODE_219321_len_1604791_cov_5_927423	1604841
2049941000_44	2049941000.a:900MB_Assembly_NODE_1043140_len_80981_cov_8_566689	81031
2049941000_44	2049941000.a:900MB_Assembly_NODE_1042867_len_430683_cov_12_447879	430733
2049941000_44	2049941000.a:900MB_Assembly_NODE_739678_len_628335_cov_15_465787	628385
2049941000_68	2049941000.a:900MB_Assembly_NODE_957467_len_449529_cov_11_208798	449579
2049941000_68	2049941000.a:900MB_Assembly_NODE_745530_len_114232_cov_10_744581	114282
2049941000_74	2049941000.a:900MB_Assembly_NODE_1046366_len_1339642_cov_15_189746	1339692
2049941000_82	2049941000.a:900MB_Assembly_NODE_1036075_len_300101_cov_7_351692	300151
