bin	Completeness	Contamination	Completeness_Model_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	N90	auN	N_per_100kb	cov	r_abund	wf_name	wf_mode	wf_v	wf_date
MFD00392_20.bin.2.1	76.48	3.31	Gradient Boost (General Model)	0.857	242464	256.538533834586	2850741	0.71	3192	18	330947	65471	216940.8	0	10.474939	0.40761748	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.10	57.03	3.66	Gradient Boost (General Model)	0.832	246563	242.40337524818	2618837	0.71	3022	19	359375	84899	219586.3	0	19.466167	0.75749844	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.12	68.9	1.54	Gradient Boost (General Model)	0.855	416461	241.474175663846	2882544	0.69	3427	9	651124	167351	451472.3	0	17.781439	0.69193953	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.13	62.33	4.5	Gradient Boost (General Model)	0.816	100807	227.826342161775	5808230	0.57	6985	63	375941	53771	124000.7	0	9.2930565	0.36162618	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.15	50.45	1.01	Gradient Boost (General Model)	0.838	127166	218.908979591837	1901116	0.69	2450	16	214944	83219	132042.5	0	8.805552	0.34265557	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.22	54.03	2.42	Gradient Boost (General Model)	0.824	259392	220.43110885562	3130108	0.71	3941	12	513764	200948	303176.4	0	20.139135	0.78368604	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.3	55.93	4.59	Gradient Boost (General Model)	0.835	152457	222.456083803384	1964154	0.7	2482	16	245280	87141	160416.4	0	14.114784	0.5492569	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.31	58.54	6.34	Gradient Boost (General Model)	0.818	154704	223.791728212703	4405858	0.72	5416	54	348018	31381	148856.7	0	12.458565	0.48480743	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.33	80.64	8.34	Gradient Boost (General Model)	0.83	147354	217.2684169279	3970406	0.6	5104	58	398179	26696	155171.6	0	14.120245	0.5494694	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.35	51.21	0.62	Gradient Boost (General Model)	0.84	592777	230.512763945793	2588178	0.69	3173	6	756950	210672	541477.7	0	17.853586	0.69474703	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.36	54.57	2.6	Gradient Boost (General Model)	0.832	322908	226.256185953512	3236961	0.71	4001	15	591193	171460	353908.5	0	18.634127	0.7251208	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.37	77.29	1.1	Neural Network (Specific Model)	0.731	162839	183.802497162316	2634398	0.38	3524	20	554051	67590	242067.6	0	19.13892	0.74476403	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.38	55.04	3.81	Neural Network (Specific Model)	0.828	87945	218.533515731874	2299390	0.56	2924	31	257288	37921	111981.8	0	5.135568	0.19984336	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.4	62.27	1.6	Gradient Boost (General Model)	0.828	207078	232.83353703251	3418874	0.66	4091	18	475186	96253	248622.7	0	12.328305	0.47973856	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.40	75.01	9.33	Gradient Boost (General Model)	0.858	311557	255.168742586002	2996389	0.61	3372	12	632038	175341	364247	0	15.436279	0.60068095	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.41	73.52	0.17	Gradient Boost (General Model)	0.836	489239	251.548049745619	3177515	0.71	3538	14	612700	169895	409274.2	0	14.430003	0.5615232	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.42	54.61	2.94	Gradient Boost (General Model)	0.829	191136	213.620143149284	5984517	0.64	7824	51	492231	59882	212958.8	0	13.486734	0.5248172	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.2.8	63.76	0.37	Neural Network (Specific Model)	0.836	321314	242.099829143276	3544153	0.59	4097	15	649091	150590	344936.2	0	16.853333	0.6558236	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.3.16	65.7	7.98	Gradient Boost (General Model)	0.734	87389	163.658503857766	1969905	0.35	2981	31	155849	34349	87822.4	0	9.280271	0.36112863	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.3.187	53.32	1.91	Gradient Boost (General Model)	0.805	112557	213.731562588302	2789869	0.7	3539	30	324896	57248	157285.6	0	12.740721	0.49578714	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.3.27	57.32	2.51	Gradient Boost (General Model)	0.822	181218	225.688465499485	4757350	0.67	5826	32	426556	88089	216187.3	0	16.163618	0.6289844	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
