bin	longshot_var
MFD00392_100.bin.1.148	61714
MFD00392_100.bin.1.152	45084
MFD00392_100.bin.1.190	47046
MFD00392_100.bin.1.234	74226
MFD00392_100.bin.1.302	48064
MFD00392_100.bin.1.39	34372
MFD00392_100.bin.1.46	13157
MFD00392_100.bin.1.71	69758
MFD00392_100.bin.1.90	49229
MFD00392_100.bin.1.91	19906
MFD00392_100.bin.2.10	54026
MFD00392_100.bin.2.100	57424
MFD00392_100.bin.2.109	21752
MFD00392_100.bin.2.11	93542
MFD00392_100.bin.2.110	58977
MFD00392_100.bin.2.117	51304
MFD00392_100.bin.2.120	26854
MFD00392_100.bin.2.124	26747
MFD00392_100.bin.2.127	35560
MFD00392_100.bin.2.130	34385
MFD00392_100.bin.2.132	52947
MFD00392_100.bin.2.133	23041
MFD00392_100.bin.2.136	47546
MFD00392_100.bin.2.138	13440
MFD00392_100.bin.2.14	15207
MFD00392_100.bin.2.140	28754
MFD00392_100.bin.2.141	15752
MFD00392_100.bin.2.143	10133
MFD00392_100.bin.2.145	8489
MFD00392_100.bin.2.146	38191
MFD00392_100.bin.2.148	52382
MFD00392_100.bin.2.149	46329
MFD00392_100.bin.2.15	53684
MFD00392_100.bin.2.150	21364
MFD00392_100.bin.2.151	31191
MFD00392_100.bin.2.152	73735
MFD00392_100.bin.2.153	128452
MFD00392_100.bin.2.154	19904
MFD00392_100.bin.2.156	19839
MFD00392_100.bin.2.157	56616
MFD00392_100.bin.2.158	11220
MFD00392_100.bin.2.159	25450
MFD00392_100.bin.2.160	6803
MFD00392_100.bin.2.161	24670
MFD00392_100.bin.2.164	40873
MFD00392_100.bin.2.165	59743
MFD00392_100.bin.2.166	25742
MFD00392_100.bin.2.168	77219
MFD00392_100.bin.2.169	51370
MFD00392_100.bin.2.17	52986
MFD00392_100.bin.2.171	35122
MFD00392_100.bin.2.172	16411
MFD00392_100.bin.2.173	85030
MFD00392_100.bin.2.174	42024
MFD00392_100.bin.2.175	20265
MFD00392_100.bin.2.176	40722
MFD00392_100.bin.2.177	31124
MFD00392_100.bin.2.178	17050
MFD00392_100.bin.2.179	79587
MFD00392_100.bin.2.18	24241
MFD00392_100.bin.2.180	18799
MFD00392_100.bin.2.182	45911
MFD00392_100.bin.2.183	57450
MFD00392_100.bin.2.184	41581
MFD00392_100.bin.2.185	28060
MFD00392_100.bin.2.186	59633
MFD00392_100.bin.2.187	33943
MFD00392_100.bin.2.188	44624
MFD00392_100.bin.2.189	24701
MFD00392_100.bin.2.19	39670
MFD00392_100.bin.2.191	29178
MFD00392_100.bin.2.194	30479
MFD00392_100.bin.2.195	42623
MFD00392_100.bin.2.197	43905
MFD00392_100.bin.2.198	6967
MFD00392_100.bin.2.20	50448
MFD00392_100.bin.2.200	60193
MFD00392_100.bin.2.201	7385
MFD00392_100.bin.2.202	74039
MFD00392_100.bin.2.204	63193
MFD00392_100.bin.2.207	41505
MFD00392_100.bin.2.208	21506
MFD00392_100.bin.2.21	35373
MFD00392_100.bin.2.212	75574
MFD00392_100.bin.2.214	49264
MFD00392_100.bin.2.215	56482
MFD00392_100.bin.2.218	17934
MFD00392_100.bin.2.219	23874
MFD00392_100.bin.2.220	65025
MFD00392_100.bin.2.223	42163
MFD00392_100.bin.2.224	48598
MFD00392_100.bin.2.225	47590
MFD00392_100.bin.2.227	13999
MFD00392_100.bin.2.228	109950
MFD00392_100.bin.2.230	69552
MFD00392_100.bin.2.233	45435
MFD00392_100.bin.2.234	78424
MFD00392_100.bin.2.235	71414
MFD00392_100.bin.2.238	47675
MFD00392_100.bin.2.240	48055
MFD00392_100.bin.2.241	20379
MFD00392_100.bin.2.243	56527
MFD00392_100.bin.2.245	41279
MFD00392_100.bin.2.246	40151
MFD00392_100.bin.2.248	37719
MFD00392_100.bin.2.251	69985
MFD00392_100.bin.2.253	46099
MFD00392_100.bin.2.255	61998
MFD00392_100.bin.2.256	36648
MFD00392_100.bin.2.259	30571
MFD00392_100.bin.2.260	37274
MFD00392_100.bin.2.261	28656
MFD00392_100.bin.2.262	46357
MFD00392_100.bin.2.263	43539
MFD00392_100.bin.2.269	10501
MFD00392_100.bin.2.27	62002
MFD00392_100.bin.2.271	48416
MFD00392_100.bin.2.276	96052
MFD00392_100.bin.2.278	65822
MFD00392_100.bin.2.280	95084
MFD00392_100.bin.2.286	20918
MFD00392_100.bin.2.289	106753
MFD00392_100.bin.2.290	63878
MFD00392_100.bin.2.292	50415
MFD00392_100.bin.2.293	47666
MFD00392_100.bin.2.294	25626
MFD00392_100.bin.2.295	4986
MFD00392_100.bin.2.30	60027
MFD00392_100.bin.2.31	73163
MFD00392_100.bin.2.33	29914
MFD00392_100.bin.2.40	79728
MFD00392_100.bin.2.41	52124
MFD00392_100.bin.2.43	52862
MFD00392_100.bin.2.45	43815
MFD00392_100.bin.2.47	35358
MFD00392_100.bin.2.51	50055
MFD00392_100.bin.2.52	49000
MFD00392_100.bin.2.53	36651
MFD00392_100.bin.2.55	27263
MFD00392_100.bin.2.61	59137
MFD00392_100.bin.2.62	42776
MFD00392_100.bin.2.63	51201
MFD00392_100.bin.2.65	51204
MFD00392_100.bin.2.66	11593
MFD00392_100.bin.2.67	69397
MFD00392_100.bin.2.7	58823
MFD00392_100.bin.2.70	38885
MFD00392_100.bin.2.71	28137
MFD00392_100.bin.2.72	53384
MFD00392_100.bin.2.76	70852
MFD00392_100.bin.2.80	22999
MFD00392_100.bin.2.81	18847
MFD00392_100.bin.2.82	68627
MFD00392_100.bin.2.83	66417
MFD00392_100.bin.2.87	89023
MFD00392_100.bin.2.9	5343
MFD00392_100.bin.2.93	76096
MFD00392_100.bin.2.98	130533
MFD00392_100.bin.3.103	50663
MFD00392_100.bin.3.1047	65617
MFD00392_100.bin.3.1066	9727
MFD00392_100.bin.3.1075	89549
MFD00392_100.bin.3.1091	34316
MFD00392_100.bin.3.1107	105212
MFD00392_100.bin.3.1115	30105
MFD00392_100.bin.3.1124	47910
MFD00392_100.bin.3.1130	55549
MFD00392_100.bin.3.1163	32683
MFD00392_100.bin.3.1169	30165
MFD00392_100.bin.3.1206	16401
MFD00392_100.bin.3.121	25619
MFD00392_100.bin.3.123	75251
MFD00392_100.bin.3.1271	45505
MFD00392_100.bin.3.1277	10544
MFD00392_100.bin.3.1357	20314
MFD00392_100.bin.3.1365	209670
MFD00392_100.bin.3.1368	27323
MFD00392_100.bin.3.1372	66362
MFD00392_100.bin.3.1374	28981
MFD00392_100.bin.3.1405	15541
MFD00392_100.bin.3.1431	91172
MFD00392_100.bin.3.1450	119372
MFD00392_100.bin.3.1489	55296
MFD00392_100.bin.3.1531	17346
MFD00392_100.bin.3.1539	18080
MFD00392_100.bin.3.1553	66096
MFD00392_100.bin.3.1555	53126
MFD00392_100.bin.3.1567	64086
MFD00392_100.bin.3.1570	60805
MFD00392_100.bin.3.1587	34763
MFD00392_100.bin.3.1593	7579
MFD00392_100.bin.3.1598	14432
MFD00392_100.bin.3.173	62382
MFD00392_100.bin.3.29	20071
MFD00392_100.bin.3.345	28205
MFD00392_100.bin.3.349	12641
MFD00392_100.bin.3.359	51917
MFD00392_100.bin.3.366	43283
MFD00392_100.bin.3.423	21334
MFD00392_100.bin.3.457	45964
MFD00392_100.bin.3.464	32778
MFD00392_100.bin.3.475	39413
MFD00392_100.bin.3.499	23858
MFD00392_100.bin.3.513	25766
MFD00392_100.bin.3.516	49912
MFD00392_100.bin.3.524	95468
MFD00392_100.bin.3.559	42082
MFD00392_100.bin.3.584	42078
MFD00392_100.bin.3.585	71045
MFD00392_100.bin.3.678	38869
MFD00392_100.bin.3.733	38503
MFD00392_100.bin.3.778	31878
MFD00392_100.bin.3.779	71769
MFD00392_100.bin.3.780	31619
MFD00392_100.bin.3.799	11615
MFD00392_100.bin.3.822	5402
MFD00392_100.bin.3.825	76163
MFD00392_100.bin.3.864	28722
MFD00392_100.bin.3.878	33204
MFD00392_100.bin.3.906	28148
MFD00392_100.bin.3.913	23565
MFD00392_100.bin.3.937	15884
MFD00392_100.bin.3.972	24001
MFD00392_100.bin.4.106	7907
MFD00392_100.bin.4.349	54690
MFD00392_100.bin.4.373	40308
MFD00392_100.bin.4.533	2095
MFD00392_100.bin.4.594	13175
MFD00392_100.bin.4.617	62373
MFD00392_100.bin.4.801	71038
MFD00392_100.bin.4.971	7065
MFD00392_20.bin.2.1	23762
MFD00392_20.bin.2.10	64342
MFD00392_20.bin.2.12	60634
MFD00392_20.bin.2.13	71967
MFD00392_20.bin.2.15	23808
MFD00392_20.bin.2.22	79789
MFD00392_20.bin.2.3	50230
MFD00392_20.bin.2.31	84321
MFD00392_20.bin.2.33	86655
MFD00392_20.bin.2.35	67535
MFD00392_20.bin.2.36	62234
MFD00392_20.bin.2.37	31889
MFD00392_20.bin.2.38	1453
MFD00392_20.bin.2.4	65840
MFD00392_20.bin.2.40	21691
MFD00392_20.bin.2.41	44371
MFD00392_20.bin.2.42	95565
MFD00392_20.bin.2.8	24303
MFD00392_20.bin.3.16	28005
MFD00392_20.bin.3.187	57579
MFD00392_20.bin.3.27	64911
MFD00392_20.bin.3.46	16636
MFD00392_20.bin.3.47	24286
MFD00392_20.bin.3.59	33594
MFD00392_20.bin.4.139	123842
MFD00392_20.bin.4.31	106577
MFD00392_20.bin.4.54	28405
MFD00392_40.bin.1.23	63107
MFD00392_40.bin.2.10	65838
MFD00392_40.bin.2.101	8983
MFD00392_40.bin.2.103	6332
MFD00392_40.bin.2.104	42065
MFD00392_40.bin.2.106	45803
MFD00392_40.bin.2.108	55603
MFD00392_40.bin.2.109	107735
MFD00392_40.bin.2.11	86663
MFD00392_40.bin.2.110	57806
MFD00392_40.bin.2.111	34107
MFD00392_40.bin.2.113	22215
MFD00392_40.bin.2.114	24685
MFD00392_40.bin.2.13	28479
MFD00392_40.bin.2.14	19224
MFD00392_40.bin.2.16	51361
MFD00392_40.bin.2.17	35915
MFD00392_40.bin.2.21	52608
MFD00392_40.bin.2.24	107142
MFD00392_40.bin.2.25	141392
MFD00392_40.bin.2.28	56035
MFD00392_40.bin.2.31	6133
MFD00392_40.bin.2.32	17281
MFD00392_40.bin.2.33	52473
MFD00392_40.bin.2.36	27144
MFD00392_40.bin.2.44	68419
MFD00392_40.bin.2.51	7754
MFD00392_40.bin.2.62	49166
MFD00392_40.bin.2.66	29465
MFD00392_40.bin.2.7	38064
MFD00392_40.bin.2.81	94492
MFD00392_40.bin.2.84	66152
MFD00392_40.bin.2.85	46550
MFD00392_40.bin.2.86	102295
MFD00392_40.bin.2.87	39069
MFD00392_40.bin.2.89	45263
MFD00392_40.bin.2.9	17792
MFD00392_40.bin.2.93	47745
MFD00392_40.bin.2.94	27975
MFD00392_40.bin.2.95	29411
MFD00392_40.bin.2.99	65463
MFD00392_40.bin.3.111	33253
MFD00392_40.bin.3.12	25104
MFD00392_40.bin.3.120	23812
MFD00392_40.bin.3.142	65300
MFD00392_40.bin.3.143	4854
MFD00392_40.bin.3.149	15114
MFD00392_40.bin.3.15	30992
MFD00392_40.bin.3.150	10979
MFD00392_40.bin.3.182	36307
MFD00392_40.bin.3.283	66546
MFD00392_40.bin.3.345	25104
MFD00392_40.bin.3.348	23116
MFD00392_40.bin.3.362	34403
MFD00392_40.bin.3.401	25748
MFD00392_40.bin.3.423	110889
MFD00392_40.bin.3.456	12959
MFD00392_40.bin.3.461	97623
MFD00392_40.bin.3.481	92908
MFD00392_40.bin.3.586	26407
MFD00392_40.bin.4.160	7869
MFD00392_40.bin.4.172	28772
MFD00392_40.bin.4.236	204251
MFD00392_60.bin.1.121	44432
MFD00392_60.bin.1.136	66875
MFD00392_60.bin.1.192	86167
MFD00392_60.bin.1.53	57503
MFD00392_60.bin.1.54	76193
MFD00392_60.bin.2.101	14122
MFD00392_60.bin.2.102	40570
MFD00392_60.bin.2.103	18905
MFD00392_60.bin.2.104	92155
MFD00392_60.bin.2.108	97520
MFD00392_60.bin.2.110	58954
MFD00392_60.bin.2.111	30998
MFD00392_60.bin.2.112	47049
MFD00392_60.bin.2.114	11783
MFD00392_60.bin.2.118	65839
MFD00392_60.bin.2.119	31015
MFD00392_60.bin.2.122	40832
MFD00392_60.bin.2.123	124722
MFD00392_60.bin.2.124	23325
MFD00392_60.bin.2.126	82592
MFD00392_60.bin.2.128	31882
MFD00392_60.bin.2.129	114902
MFD00392_60.bin.2.130	134731
MFD00392_60.bin.2.135	25213
MFD00392_60.bin.2.144	59744
MFD00392_60.bin.2.147	85453
MFD00392_60.bin.2.148	39410
MFD00392_60.bin.2.151	31891
MFD00392_60.bin.2.155	22888
MFD00392_60.bin.2.156	13754
MFD00392_60.bin.2.159	67054
MFD00392_60.bin.2.160	74732
MFD00392_60.bin.2.161	105282
MFD00392_60.bin.2.162	45353
MFD00392_60.bin.2.164	60248
MFD00392_60.bin.2.165	40944
MFD00392_60.bin.2.166	59309
MFD00392_60.bin.2.169	108962
MFD00392_60.bin.2.17	47015
MFD00392_60.bin.2.171	55062
MFD00392_60.bin.2.174	15822
MFD00392_60.bin.2.175	21098
MFD00392_60.bin.2.176	45324
MFD00392_60.bin.2.177	27945
MFD00392_60.bin.2.18	29429
MFD00392_60.bin.2.181	74363
MFD00392_60.bin.2.183	74430
MFD00392_60.bin.2.184	18665
MFD00392_60.bin.2.185	18160
MFD00392_60.bin.2.189	21014
MFD00392_60.bin.2.192	28128
MFD00392_60.bin.2.194	26104
MFD00392_60.bin.2.200	81718
MFD00392_60.bin.2.201	86477
MFD00392_60.bin.2.21	30741
MFD00392_60.bin.2.22	20529
MFD00392_60.bin.2.24	73071
MFD00392_60.bin.2.26	46430
MFD00392_60.bin.2.29	21290
MFD00392_60.bin.2.3	36708
MFD00392_60.bin.2.30	18526
MFD00392_60.bin.2.32	30135
MFD00392_60.bin.2.34	73059
MFD00392_60.bin.2.35	91400
MFD00392_60.bin.2.40	30675
MFD00392_60.bin.2.43	50339
MFD00392_60.bin.2.47	77370
MFD00392_60.bin.2.50	22880
MFD00392_60.bin.2.52	23213
MFD00392_60.bin.2.53	76258
MFD00392_60.bin.2.54	23130
MFD00392_60.bin.2.62	60657
MFD00392_60.bin.2.65	6158
MFD00392_60.bin.2.68	19204
MFD00392_60.bin.2.71	39758
MFD00392_60.bin.2.73	36330
MFD00392_60.bin.2.76	17457
MFD00392_60.bin.2.79	19866
MFD00392_60.bin.2.8	14196
MFD00392_60.bin.2.81	12338
MFD00392_60.bin.2.84	54434
MFD00392_60.bin.2.85	36537
MFD00392_60.bin.2.86	44184
MFD00392_60.bin.2.88	47156
MFD00392_60.bin.2.90	64576
MFD00392_60.bin.2.91	86442
MFD00392_60.bin.2.93	29001
MFD00392_60.bin.2.94	25080
MFD00392_60.bin.2.96	62041
MFD00392_60.bin.2.98	20271
MFD00392_60.bin.3.201	60973
MFD00392_60.bin.3.211	20705
MFD00392_60.bin.3.213	28658
MFD00392_60.bin.3.224	45832
MFD00392_60.bin.3.255	32460
MFD00392_60.bin.3.257	58769
MFD00392_60.bin.3.310	30376
MFD00392_60.bin.3.311	60246
MFD00392_60.bin.3.326	37874
MFD00392_60.bin.3.357	29820
MFD00392_60.bin.3.436	20694
MFD00392_60.bin.3.647	135468
MFD00392_60.bin.3.683	122895
MFD00392_60.bin.3.724	29038
MFD00392_60.bin.3.733	74980
MFD00392_60.bin.3.746	42296
MFD00392_60.bin.3.747	19134
MFD00392_60.bin.3.762	51608
MFD00392_60.bin.3.778	114415
MFD00392_60.bin.3.829	23831
MFD00392_60.bin.3.892	32649
MFD00392_60.bin.3.899	40966
MFD00392_60.bin.3.900	28786
MFD00392_60.bin.3.913	14720
MFD00392_60.bin.4.10	83727
MFD00392_60.bin.4.154	88747
MFD00392_60.bin.4.167	68859
MFD00392_60.bin.4.178	212822
MFD00392_60.bin.4.217	80211
MFD00392_60.bin.4.276	36230
MFD00392_60.bin.4.348	44826
MFD00392_60.bin.4.365	57216
MFD00392_60.bin.4.555	56244
MFD00392_60.bin.4.593	78917
MFD00392_60.bin.4.92	37513
MFD00392_80.bin.1.126	41348
MFD00392_80.bin.1.138	45662
MFD00392_80.bin.1.15	66473
MFD00392_80.bin.1.179	20164
MFD00392_80.bin.1.55	53275
MFD00392_80.bin.2.105	39008
MFD00392_80.bin.2.11	20230
MFD00392_80.bin.2.110	25896
MFD00392_80.bin.2.114	66816
MFD00392_80.bin.2.118	63957
MFD00392_80.bin.2.12	46722
MFD00392_80.bin.2.120	93780
MFD00392_80.bin.2.123	8043
MFD00392_80.bin.2.128	21320
MFD00392_80.bin.2.129	18443
MFD00392_80.bin.2.130	64381
MFD00392_80.bin.2.131	37591
MFD00392_80.bin.2.132	22202
MFD00392_80.bin.2.133	15152
MFD00392_80.bin.2.134	96792
MFD00392_80.bin.2.135	11569
MFD00392_80.bin.2.136	66614
MFD00392_80.bin.2.137	33391
MFD00392_80.bin.2.138	50150
MFD00392_80.bin.2.139	47817
MFD00392_80.bin.2.14	52512
MFD00392_80.bin.2.140	64961
MFD00392_80.bin.2.141	50436
MFD00392_80.bin.2.142	20378
MFD00392_80.bin.2.143	53683
MFD00392_80.bin.2.144	59360
MFD00392_80.bin.2.145	26807
MFD00392_80.bin.2.146	22020
MFD00392_80.bin.2.147	58823
MFD00392_80.bin.2.148	45259
MFD00392_80.bin.2.149	7400
MFD00392_80.bin.2.151	6623
MFD00392_80.bin.2.153	67633
MFD00392_80.bin.2.154	46661
MFD00392_80.bin.2.155	67966
MFD00392_80.bin.2.156	36617
MFD00392_80.bin.2.157	67347
MFD00392_80.bin.2.159	31247
MFD00392_80.bin.2.160	87871
MFD00392_80.bin.2.162	62338
MFD00392_80.bin.2.165	44030
MFD00392_80.bin.2.166	28814
MFD00392_80.bin.2.168	23606
MFD00392_80.bin.2.175	16625
MFD00392_80.bin.2.176	14472
MFD00392_80.bin.2.177	13571
MFD00392_80.bin.2.18	81131
MFD00392_80.bin.2.181	68141
MFD00392_80.bin.2.182	73206
MFD00392_80.bin.2.183	30844
MFD00392_80.bin.2.184	31749
MFD00392_80.bin.2.186	18693
MFD00392_80.bin.2.188	26642
MFD00392_80.bin.2.189	72442
MFD00392_80.bin.2.190	2231
MFD00392_80.bin.2.191	92159
MFD00392_80.bin.2.192	37025
MFD00392_80.bin.2.193	11802
MFD00392_80.bin.2.199	28580
MFD00392_80.bin.2.202	49699
MFD00392_80.bin.2.203	51479
MFD00392_80.bin.2.208	29713
MFD00392_80.bin.2.21	90804
MFD00392_80.bin.2.211	48174
MFD00392_80.bin.2.212	40674
MFD00392_80.bin.2.213	84649
MFD00392_80.bin.2.215	13121
MFD00392_80.bin.2.216	26375
MFD00392_80.bin.2.217	80480
MFD00392_80.bin.2.218	36677
MFD00392_80.bin.2.220	54860
MFD00392_80.bin.2.225	121449
MFD00392_80.bin.2.226	117753
MFD00392_80.bin.2.227	85544
MFD00392_80.bin.2.229	82582
MFD00392_80.bin.2.230	103387
MFD00392_80.bin.2.231	17091
MFD00392_80.bin.2.233	10005
