bin	sub	contig	type	start	end	strand	prot	prot_abrv	prot_name	prot_db
OWC_0000	RM_Type_IIG	OWC_0000_k121_11966362	cds	250	3504	+	COJMLO_05580		site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A124FVA7
OWC_0000	RM_Type_II	OWC_0000_k121_11989202	cds	335	1408	+	COJMLO_05585		Type II methyltransferase M-AplI	SO:0001217, UniRef:UniRef50_D4ZX35
OWC_0000	RM_Type_II	OWC_0000_k121_11989202	cds	1411	2385	+	COJMLO_05590		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A1G2Z8A0
OWC_0000	RM_Type_IIG	OWC_0000_k121_13641091	cds	2158	4863	+	COJMLO_06345		hypothetical protein	PFAM:PF18135.5, PFAM:PF20473.2
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	19996	20286	-	LOIHGM_05100		CRISPR-associated endoribonuclease Cas2 1	SO:0001217, UniRef:UniRef50_Q2RL67
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	20295	21317	-	LOIHGM_05105		CRISPR-associated endonuclease Cas1 1	SO:0001217, UniRef:UniRef50_Q8KDC4
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	21322	21966	-	LOIHGM_05110		CRISPR-associated exonuclease Cas4	SO:0001217, UniRef:UniRef50_A0A419E0I3
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	21963	22826	-	LOIHGM_05115		Type I-C CRISPR-associated protein Cas7/Csd2	SO:0001217, UniRef:UniRef50_E4ZC93
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	22819	24552	-	LOIHGM_05120		hypothetical protein	
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	24553	25206	-	LOIHGM_05125		pre-crRNA processing endonuclease	SO:0001217, UniRef:UniRef50_A0A174SCK3
OWC_0010	CAS_Class1-Subtype-I-C	OWC_0010_k121_7880469	cds	25290	27416	-	LOIHGM_05130		hypothetical protein	PFAM:PF00270.33, PFAM:PF00271.35, PFAM:PF18019.5
OWC_0011	RM_Type_II	OWC_0011_k121_19607391	cds	505	993	-	ICNFAJ_00895		Restriction endonuclease	SO:0001217, UniRef:UniRef50_A0A511TN76
OWC_0011	RM_Type_II	OWC_0011_k121_19607391	cds	1301	2320	+	ICNFAJ_00900		hypothetical protein	
