bin	Genome_Size	MAG_status
MFD00008.bin.1.215	5839762	MQ
MFD00008.bin.1.91	5173286	MQ
MFD00008.bin.2.1	4819025	MQ
MFD00008.bin.2.102	3146098	MQ
MFD00008.bin.2.103	7104513	MQ
MFD00008.bin.2.104	5299522	MQ
MFD00008.bin.2.115	5083659	MQ
MFD00008.bin.2.116	3915552	MQ
MFD00008.bin.2.117	4929930	MQ
MFD00008.bin.2.118	4185316	MQ
MFD00008.bin.2.120	5836492	MQ
MFD00008.bin.2.123	4606424	MQ
MFD00008.bin.2.127	6461369	MQ
MFD00008.bin.2.129	4443136	MQ
MFD00008.bin.2.132	4212340	MQ
MFD00008.bin.2.133	7787853	MQ
MFD00008.bin.2.135	6720352	MQ
MFD00008.bin.2.138	6804739	MQ
MFD00008.bin.2.149	4048735	MQ
MFD00008.bin.2.151	6956229	MQ
MFD00008.bin.2.152	7250690	MQ
MFD00008.bin.2.153	6711043	MQ
MFD00008.bin.2.164	5634222	MQ
MFD00008.bin.2.165	3455436	MQ
MFD00008.bin.2.17	4421030	MQ
MFD00008.bin.2.170	6430008	MQ
MFD00008.bin.2.171	3772558	MQ
MFD00008.bin.2.178	5544449	MQ
MFD00008.bin.2.19	2043972	MQ
MFD00008.bin.2.2	5585022	MQ
MFD00008.bin.2.20	3062633	MQ
MFD00008.bin.2.22	3604929	MQ
MFD00008.bin.2.26	2922308	MQ
MFD00008.bin.2.28	5170327	MQ
MFD00008.bin.2.29	3247481	MQ
MFD00008.bin.2.30	6945543	MQ
MFD00008.bin.2.35	5156034	MQ
MFD00008.bin.2.40	3419861	MQ
MFD00008.bin.2.41	4115010	MQ
MFD00008.bin.2.45	2849277	MQ
MFD00008.bin.2.49	2176714	MQ
MFD00008.bin.2.5	3272312	MQ
MFD00008.bin.2.54	835300	MQ
MFD00008.bin.2.56	2970533	MQ
MFD00008.bin.2.63	4550060	MQ
MFD00008.bin.2.65	5294240	MQ
MFD00008.bin.2.66	3191939	MQ
MFD00008.bin.2.70	4437410	MQ
MFD00008.bin.2.72	2367749	MQ
MFD00008.bin.2.74	5352391	MQ
MFD00008.bin.2.80	3008811	MQ
MFD00008.bin.2.98	3354393	MQ
MFD00008.bin.3.132	10486013	MQ
MFD00008.bin.3.143	2781501	MQ
MFD00008.bin.3.171	3212689	MQ
MFD00008.bin.3.313	4540116	MQ
MFD00008.bin.3.39	6381483	MQ
MFD00008.bin.3.78	7040207	MQ
MFD00008.bin.4.505	3697673	MQ
MFD00031.bin.1.203	5857606	MQ
MFD00031.bin.2.10	4055498	MQ
MFD00031.bin.2.102	4674688	MQ
MFD00031.bin.2.104	4055775	MQ
MFD00031.bin.2.107	4692648	MQ
MFD00031.bin.2.11	3790241	MQ
MFD00031.bin.2.110	5289229	MQ
MFD00031.bin.2.112	4639513	MQ
MFD00031.bin.2.114	4670821	MQ
MFD00031.bin.2.116	4900878	MQ
MFD00031.bin.2.117	3833313	MQ
MFD00031.bin.2.119	6214060	MQ
MFD00031.bin.2.123	3551103	MQ
MFD00031.bin.2.126	3595842	MQ
MFD00031.bin.2.135	4401056	MQ
MFD00031.bin.2.139	2662296	MQ
MFD00031.bin.2.14	4199098	MQ
MFD00031.bin.2.140	3172667	MQ
MFD00031.bin.2.144	3712435	MQ
MFD00031.bin.2.145	3257939	MQ
MFD00031.bin.2.146	4466064	MQ
