bin	contig	start	end	strand	rrna
BL1bin.14	BL1bin.14k141_1686675	498	614	+	5S
BL1bin.15	BL1bin.15k141_1496351	3793	3909	-	5S
BL1bin.4	BL1bin.4k141_41354	2431	2550	+	5S
BL1bin.6	BL1bin.6k141_1066237	961	2449	-	16S
BL1bin.6	BL1bin.6k141_2879100	491	605	+	5S
BL1bin.7	BL1bin.7k141_1305364	8728	8842	-	5S
BL2bin.13	BL2bin.13k141_2888568	3611	3725	-	5S
BL2bin.3	BL2bin.3k141_1161572	443	557	+	5S
BL2bin.3	BL2bin.3k141_364185	1953	2067	-	5S
BL2bin.6	BL2bin.6k141_2363591	4194	4307	-	5S
BL2bin.6	BL2bin.6k141_1841200	2106	2219	-	5S
BL2bin.9	BL2bin.9k141_1474817	3368	3486	+	5S
BL3bin.12	BL3bin.12k141_971606	1	546	-	(partial) 16S
BL3bin.5	BL3bin.5k141_2624938	1	504	-	(partial) 16S
BRice_129bin.5	BRice_129bin.5k141_107507	18303	18417	-	5S
BRice_130bin.12	BRice_130bin.12k141_119587	1173	1292	+	5S
BRice_130bin.6	BRice_130bin.6k141_595053	7375	7487	-	5S
BRice_130bin.6	BRice_130bin.6k141_180086	2452	2564	-	5S
BRice_130bin.6	BRice_130bin.6k141_964878	363	476	+	5S
BRice_130bin.7	BRice_130bin.7k141_90178	7045	7161	-	5S
BRice_131bin.7	BRice_131bin.7k141_1216590	13	126	+	5S
BRice_134bin.1	BRice_134bin.1k141_334477	1	95	+	(partial) 5S
BRice_139bin.2	BRice_139bin.2k141_259268	5642	5758	-	5S
BRice_139bin.2	BRice_139bin.2k141_259425	490	606	+	5S
BRice_140bin.2	BRice_140bin.2k141_162737	236010	237583	+	16S
BRice_140bin.2	BRice_140bin.2k141_901799	73677	76674	+	23S
BRice_140bin.2	BRice_140bin.2k141_901799	76758	76873	+	5S
BRice_140bin.4	BRice_140bin.4k141_156161	1689	1803	-	5S
BRice_17rbin.1	BRice_17rbin.1k141_697179	1	94	+	(partial) 5S
BRice_17rbin.3	BRice_17rbin.3k141_864246	33215	33331	-	5S
BRice_17rbin.3	BRice_17rbin.3k141_787664	7799	7915	-	5S
BRice_17rbin.3	BRice_17rbin.3k141_185275	5	121	+	5S
BRice_18rbin.14	BRice_18rbin.14k141_89627	12890	13004	-	5S
BRice_18rbin.7	BRice_18rbin.7k141_208914	48265	48378	-	5S
BRice_19rbin.11	BRice_19rbin.11k141_704698	30972	31088	-	5S
BRice_19rbin.11	BRice_19rbin.11k141_154146	23440	24431	+	(partial) 16S
BRice_19rbin.2	BRice_19rbin.2k141_117929	1906	2022	-	5S
BRice_21rbin.1	BRice_21rbin.1k141_1417566	11	127	+	5S
BRice_21rbin.3	BRice_21rbin.3k141_1671986	6575	6691	-	5S
BRice_21rbin.3	BRice_21rbin.3k141_1671986	7217	8750	-	16S
BRice_40rbin.1	BRice_40rbin.1k141_460336	1	475	-	(partial) 16S
Cjian1_bin.2	Cjian1_bin.2k141_504192	113392	113492	-	(5' truncated) 5S
Cjian2_bin.5	Cjian2_bin.5k141_412781	391	507	+	5S
Cjian2_bin.5	Cjian2_bin.5k141_154981	7828	9333	+	16S
Cshang1bin.16	Cshang1bin.16k141_942567	523	2081	-	16S
Cshang1bin.3	Cshang1bin.3k141_215614	1	516	-	(partial) 16S
Cshang1bin.3	Cshang1bin.3k141_488542	600	714	+	5S
Cshang1bin.5	Cshang1bin.5k141_728870	1	783	-	(partial) 16S
Cshang1bin.7	Cshang1bin.7k141_444878	491	605	+	5S
Cshang1bin.8	Cshang1bin.8k141_1002934	7063	7178	-	5S
Cshang1bin.9	Cshang1bin.9k141_647693	357	471	+	5S
Cshang1bin.9	Cshang1bin.9k141_969830	1	820	-	(partial) 16S
Cshang2bin.11	Cshang2bin.11k141_574063	254	370	+	5S
Cshang2bin.11	Cshang2bin.11k141_1030715	1	540	-	(partial) 16S
Cshang2bin.13	Cshang2bin.13k141_1388301	9574	9689	-	5S
Cshang2bin.18	Cshang2bin.18k141_309275	1069	1184	+	5S
